global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
3011.5999918737084	n/a	n/a	9069734.51105372	3845.790379853919	n/a	14790103.645776952	n/a	3179.6593782917603	n/a	10110233.761958744	n/a	3219.1509118897607	2836.2919100065246	n/a	n/a	n/a	n/a	-0.1556457344	-0.0019091356	0.0727974053	-0.0876758444	0.0110519517	0.1301538181	-0.0153058657	0.1065682451	-0.02803873	0.0684416171	-0.0073601109	0.0106836215	-0.0724149211	-0.0477593174	0.0220738521	-0.1699558356	0.0579352143	-0.1160772758	0.0294253641	-0.0479031394	0.0007814612	-0.0706777449	0.1303541753	-0.0616855966	0.1302188836	-0.0470664601	-0.0554055215	0.0017577557	-0.1313546514	0.0678402433	-0.1204909147	0.0167732397	-0.0213932794	0.0221689975	-0.0324649338	0.0261504565	-0.0336478708	0.1138164557	-0.0884310336	0.0039889498	0.0561455301	-0.0246521661	0.0088311456	0.0627372374	-0.0149115908	-0.2045268087	0.0523929363	-0.1352401834	0.0279446381	0.0270143683	-0.0162373797	-0.0642598732	-0.1121792408	0.1316369267	-0.0351237576	0.0149167958	-0.1229691427	0.0447497577	-0.0367295576	0.0492925669	-0.0469367536	0.0013549637	-0.0313485941	0.0498235285	-0.1775730856	0.1207003746	-0.0357146564	0.0236562614	-0.1815249072	0.0586070455	-0.0042223273	0.0464878911	-0.0539660939	0.0687080406	-0.1082460469	0.0330928815	-0.0823329547	0.1426860041	-0.0213012923	0.0065684863	-0.0708963137	-0.1222257506	0.0131831917	0.0361056911	-0.1475372165	-0.0228900405	-0.1736765548	0.0012573211	-0.0747198067	0.00222686	-0.0849814428	0.0851633123	-0.0207183858	0.1444676867	-0.0982754791	0.0642590691	-0.0136750597	0.0853599424	-0.134636625	0.0570966092	-0.0579623293	0.0420472509	-0.016781647	0.0665766406	-0.073509982	0.0051353332	0.0853809788	-0.135295599	0.0213521523	-0.0616059306	0.1154637225	0.1154447293	0.1154130763	0.0492351	n/a	n/a	0.0024240950720099	0.0283512	n/a	n/a	0.00080379054144	-0.167893	n/a	n/a	0.0281880594489999	0.0040377	n/a	n/a	1.630302129e-05	0.0016548	n/a	n/a	2.7383630400000005e-06	0.000245019	n/a	n/a	6.003431036100001e-08	0.0	0.0	0.0	0.0
3011.8973840273493	0.2973921536408852	0.0884420930471638	9071525.85191079	3861.6841767422857	15.893796888366523	14912604.680901743	252.61277952864936	3181.591650402296	1.932272110535905	10122525.429909607	3.733675509154881	3220.027081428484	2838.2070573575647	0.941356	16.033234	0.1420958	0.0698891	-0.171001429	-0.0418427223	-0.0315523658	0.073558987	0.0930294686	0.0429755251	0.0939635005	0.0983122411	-0.021400676	0.0243578737	-0.081220393	0.0652903194	-0.1182256171	-0.0590616151	-0.036626328	-0.127763668	0.0333644835	-0.0484079312	-0.0407229383	0.0617680332	0.0200255659	-0.0662387336	0.1018733775	0.0882607464	-0.0228903461	-0.0780235109	-0.1200490645	0.0440591207	-0.1544483113	-0.0146096507	0.087050631	0.0130464216	0.0268848033	0.14007866	-0.0188147847	0.1173237141	0.1707367649	-0.0767311303	-0.0431955599	0.0479712646	0.0900996511	0.0430244874	0.0761191159	0.0026495788	-0.0137915133	0.1138799586	-0.0013710325	-0.0323766145	0.1661447797	-0.0503090129	0.0540271154	-0.0550985553	-0.0185544426	0.1274939406	0.0197276128	0.0234975519	-0.0581744613	-0.1024104095	0.0039550062	0.0375405981	-0.0714862234	0.0193053204	0.0081483079	0.0399423528	-0.1078375284	-0.1219712276	-0.0450173023	0.0583482543	-0.1096903512	0.117201757	-0.0051440494	0.0495894288	0.0622579625	-0.0180096031	0.0631989199	-0.0129955986	0.1460989484	0.1438937404	0.0261125752	-0.134659891	0.0620328901	0.0438782192	-0.0551416111	-0.0014912234	0.0378841718	0.042258345	-0.1743015496	-0.0106765739	0.0198058282	-0.0830361511	0.0348401601	-0.0054888103	0.0378940265	0.1259256254	-0.1489820862	0.0381607608	0.0164558707	0.1277757515	-0.0008865774	-0.0238210425	-0.0330921855	0.0204385833	-0.0659579588	0.0989913109	-0.017895177	0.0222767965	-0.0015924	-0.1083926075	0.0083472203	-0.0612841077	0.1154130763	0.1152422001	0.1149575937	0.0290985	-0.0201365999999999	0.0004054826595599	0.00084672270225	0.0284008	4.960000000000034e-05	2.460160000000033e-09	0.00080660544064	-0.149218	0.0186749999999999	0.0003487556249999	0.022266011524	0.00308521	-0.0009524899999999	9.072372000999996e-07	9.5185207441e-06	0.00115349	-0.00050131	2.5131171610000004e-07	1.3305391801e-06	-0.000365873	-0.000610892	3.731890356640001e-07	1.33863052129e-07	0.0	0.0	0.0	0.0
3006.7175652716687	-5.179818755680572	26.830522341700224	9040350.517313192	3844.967365489155	-16.7168112531308	14783774.041676613	279.4517784728005	3171.1685243735205	-10.42312602877564	10056309.809977332	108.64155621174028	3208.049802365665	2813.378803668848	0.971356	16.544193	0.0808335299999999	0.0441048	-0.2051314609	-0.0033625448	-0.0131639894	-0.1192402207	0.046408879	0.1218505614	0.0370437936	0.1250315373	0.0084565426	0.0385511572	0.0598905123	-0.1061576252	-0.1189031153	0.038706361	0.0931993926	-0.1234556364	0.130663408	-0.0945154776	-0.1191558553	0.0885885777	0.0556625029	0.045092634	-0.0632195228	-0.0036454196	0.1074406184	-0.1123811864	-0.1102863405	-0.0026089117	0.1295081037	0.0852825858	-0.0925317115	-0.0221054735	0.0554679726	-0.0552069622	0.0308611299	0.0484226464	-0.0705813568	0.0287403667	-0.0432643826	-0.0454082293	0.0508769742	0.0168528656	-0.065102776	-0.0006524006	-0.100609805	0.0874701051	-0.0145141553	0.0979538427	-0.0338072793	-0.0362850849	-0.0592761486	0.0310435132	-0.1373266533	0.0302561177	0.0183119227	0.1195043838	-0.1457281579	-0.0271145384	0.0922678396	-0.0251117155	-0.0176260894	0.0577381288	-0.0723167452	0.1814577606	-0.1046452722	-0.0634569326	-0.0005613489	-0.0503554639	0.0512396378	-0.1271596817	-0.0178414271	-0.0794528911	-0.0168105676	-0.0057913202	-0.0977213045	0.0673787474	0.0051659718	0.0048660733	0.0465439684	-0.051227051	-0.0141244968	0.0841272222	-0.010646481	-0.0316549119	-0.0075550519	-0.0824626303	-0.2134190907	0.0164012616	-0.0005199737	0.0591338177	0.1014582245	0.0900998924	-0.0417059719	0.10994441	-0.0250272412	-0.0040161567	0.0663213818	-0.0066430494	-0.0345352886	0.0268347291	-0.0426252178	-0.0102549962	-0.0365142187	-0.0105303741	-0.0661770607	-0.0316762685	0.0106883656	-0.1358898224	0.0232429665	-0.0340315344	0.1153118061	0.1148374968	0.1140484259	0.0211422	-0.0079563	6.330270968999999e-05	0.00044699262084	0.0283335	-6.72999999999993e-05	4.529289999999907e-09	0.00080278722225	-0.177118	-0.0279	0.00077841	0.031370785924	0.00354006	0.0004548499999999	2.068885224999997e-07	1.2532024803599998e-05	0.00115349	0.0	0.0	1.3305391801e-06	7.74756e-05	0.0004433486	1.9655798112196005e-07	6.00246859536e-09	0.0	0.0	0.0	0.0
3011.3513639298712	4.633798658202522	21.472090004759497	9068237.037042296	3858.754764759354	13.78739927019933	14889988.334553018	190.09237863589303	3172.722556143594	1.5540317700733794	10066168.41826234	2.415014742397401	3210.6363685860665	2820.660155973793	0.8978169999999999	15.29168	0.0751177599999999	0.0374034	-0.2228777755	-0.0273285574	0.0447514324	0.0469776669	0.0102733986	0.0716832108	0.0689629627	0.1080537504	-0.1406362855	-0.0209356212	0.0393373982	-0.1255653924	-0.0679376154	0.0214787611	0.1339156959	-0.0376634529	0.0589302948	0.0048957915	-0.0761160848	-0.1112175188	0.0668316077	-0.0451052623	0.0337003108	0.0209157246	0.1113335876	-0.1134187187	0.013811933	0.0003707386	0.0296768832	0.0239210518	0.1037541485	0.0497563145	0.0513298712	0.0538134408	-0.0484835854	0.0840777246	0.0189978324	-0.0661453883	0.0346669214	0.0284426419	0.0276751639	0.0500122056	-0.0171676908	-0.0627952201	-0.0350381762	0.0008166849	-0.2539054953	0.0341608497	-0.0294282728	0.110115703	0.0110768365	0.0112089651	-0.1486834995	-0.0101440335	0.133281912	-0.0562149591	-0.0693072908	-0.0108404658	0.0683824957	-0.1204587896	-0.0611052278	0.015967117	-0.0952249085	0.1103316361	-0.0781726532	-0.0197559294	-0.0197398225	-0.0748424349	-0.0060889338	0.0645309683	0.0343658281	0.0312851888	0.0053073906	-0.1485122	0.0708972399	-0.1427616472	-0.0402876362	0.0453687806	-0.0663630645	-0.047464361	-0.0003171096	0.0593245704	0.0697808862	-0.1518680658	-0.1724435375	0.0856489055	-0.2042420837	0.0185409943	-0.0106802258	-0.0002561867	0.1169737661	-0.0544823147	-0.0701926027	0.1184450246	-0.052328122	0.0185757683	0.0689909339	-0.0638812183	-0.045609751	0.0392340619	0.0404422286	0.0241071807	0.0230873445	-0.0284116197	0.0206714927	-0.0525687984	-0.0696037934	-0.0837890271	0.1861529649	-0.0626122118	0.1151599564	0.1142313295	0.112689161	0.0210927	-4.950000000000093e-05	2.450250000000092e-09	0.0004449019932899	0.00550292	-0.02283058	0.0005212353831364	3.0282128526399995e-05	-0.155007	0.0221109999999999	0.0004888963209999	0.024027170049	0.0034868	-5.325999999999985e-05	2.8366275999999843e-09	1.215777424e-05	0.000857255	-0.000296235	8.775517522500004e-08	7.34886135025e-07	-0.000175563	-0.0002530386	6.402853308996e-08	3.0822366969e-08	0.0	0.0	0.0	0.0
3010.2641785788114	-1.0871853510598155	1.1819719875590549	9061690.424834764	3857.4751988267526	-1.2795659326015991	14880114.909563497	1.6372889758746008	3171.565336994173	-1.1572191494210529	10058826.686822962	1.3391561597867851	3209.333310764988	2822.395065903469	0.893725	15.221983	0.05507477	0.0335519	-0.205282147	-0.0405578512	-0.0350507357	-0.107383905	-0.0015076676	0.0748109633	0.0886217622	0.1596650229	-0.0255649613	-0.0465610498	0.1225461227	-0.1090074846	-0.0834208744	0.0268275965	0.1739829319	-0.0918031287	0.0216696822	0.0162235927	-0.0642238801	0.0875035814	0.048076898	-0.0282021186	-0.0041526431	0.0823104643	0.0430012645	0.184564646	-0.099266033	-0.0035474767	-0.0588927673	-0.019485957	0.1587146996	-0.132255274	-0.0895848277	-0.0622982246	-0.1238780692	-0.1190547633	0.0167928529	-0.0295673738	0.0197168894	-0.047767387	0.0117053694	0.0018959394	-0.0273568411	-0.1336575741	0.1404326899	-0.0305606712	-0.0088682474	0.1245276664	-0.1236356945	0.0464535555	-0.0573935291	0.0194524935	-0.175610614	-0.0202197175	0.018941753	0.1100744125	-0.0366413169	-0.0436424308	0.0442966763	-0.0489097458	-0.1052135736	-0.0043072685	-0.1023595613	0.0486841475	0.02619669	-0.0238825362	0.104109786	0.1793824912	0.0991208908	0.1275699127	0.0617812876	0.0770864945	0.1284846106	0.0761957041	0.0980251854	-0.0148807348	-0.0047669457	-0.1051383111	0.1291242034	0.1407872096	-0.019629563	0.0055892357	-0.0219237176	-0.0167017013	-0.0630522113	-0.0490938869	-0.1793046286	0.0388927594	-0.0548815566	-0.0120988681	0.1056295323	0.0760902296	-0.0679237597	0.0527217198	-0.0659848164	-0.0169858427	0.0197648019	-0.056515688	-0.0358053097	0.0028832358	-0.0386285138	0.0505548874	0.014751736	-0.040046235	0.0575728304	-0.087259099	0.0790192608	-0.0157073012	0.096612465	0.0602058611	0.1149575937	0.1134247617	0.1108851636	0.0211399	4.720000000000072e-05	2.2278400000000674e-09	0.00044689537201	0.00556631	6.338999999999997e-05	4.018292099999996e-09	3.0983807016099995e-05	-0.153642	0.001365	1.8632250000000136e-06	0.023605864164	0.00294531	-0.0005414899999999	2.932114201e-07	8.674850996100001e-06	0.00113471	0.0002774549999999	7.698127702499994e-08	1.2875667840999998e-06	7.74756e-05	0.0002530386	6.402853308996e-08	6.00246859536e-09	0.0	0.0	0.0	0.0
3006.052096035559	-4.212082543252564	17.741639351172985	9036349.204079775	3848.559464363195	-8.915734463557783	14811409.950739522	79.49032102467199	3172.424946678105	0.8596096839319216	10064280.042305576	0.7389288087095381	3209.8604342643494	2809.99281516827	0.94156	16.036703	0.0567361099999999	0.0322503	-0.1945667397	0.055046269	0.0838523491	0.0481532242	0.013640104	0.1154635048	0.0029733262	0.0823746146	-0.116268379	0.0357975145	-0.0480238791	-0.097809251	0.0563090438	0.0270455493	0.1836275257	-0.0844930693	-0.0973622057	-0.1535577646	-0.064552537	-0.0503728051	0.1621401484	-0.0378758319	-0.0698907286	0.043268178	-0.0304162657	-0.2295087842	-0.036250282	-0.0636531896	0.0185828343	0.0110064511	0.0682910272	0.0478063056	-0.0844170681	-0.0209787824	-0.0433593483	0.0877596067	-0.0512602876	0.0049797173	0.0251891895	-0.040924935	0.0442100756	-0.0987814851	-0.0481514376	-0.0916998535	0.0800716661	0.0703228968	-0.0476963195	-0.0919667639	0.0917799895	-0.0684287351	-0.0044947424	0.0149062643	-0.2235809814	0.0159034116	-0.0251046863	-0.0801444088	-0.0435762724	-0.0108727363	-0.0218309329	-0.1370461331	-0.0875539468	0.1293538133	-0.0710954643	0.0418256374	-0.0808458164	-0.2048623233	0.0203643793	-0.1289320942	0.0852359554	-0.0386779554	0.012050986	0.0958298345	-0.0146155271	0.0469669052	0.0235240577	-0.1104309212	-0.0369087328	0.0245782197	0.0059654357	-0.0995949228	-0.078793232	0.1350358789	-0.0580117845	0.0536859404	0.069142346	-0.0343198204	-0.1759087311	0.0616706189	-0.1141286952	0.0297015627	0.0026600852	0.0084766466	-0.0851614199	0.045616051	0.0349707076	0.0007653984	0.03469747	-0.0810486925	0.0944082908	-0.0803247944	0.0182257602	-0.0799674172	-0.095279677	0.0118019873	0.0008786248	-0.0274094131	0.0850083	-0.0015652905	-0.0066572173	-0.017898192	0.1147048067	0.1124192083	0.108643553	0.0210588	-8.110000000000062e-05	6.5772100000001e-09	0.0004434730574399	0.0085687999999999	0.0030024899999999	9.014946200099406e-06	7.34243334399983e-05	-0.173542	-0.0199	0.00039601	0.030116825764	0.00299396	4.864999999999991e-05	2.366822499999991e-09	8.963796481599999e-06	0.00067785	-0.0004568599999999	2.0872105959999998e-07	4.594806225e-07	-9.20648e-05	-0.0001695404	2.8743947232160004e-08	8.475927399040002e-09	0.0	0.0	0.0	0.0
3012.3391108898163	6.28701485425745	39.52655577765383	9074186.91899645	3866.07104180716	17.511577443965052	14946505.300299898	306.6553445759856	3180.799837090766	8.374890412660989	10117487.603636645	70.13878942408094	3218.7156114319823	2823.0415653583955	1.012438	17.24391	0.0391509	0.0227889	-0.1342336624	-0.0021873126	-0.014287187	-0.0189591385	0.0746138471	-0.0065228492	0.0892772355	0.0819831652	-0.0187482283	-0.0835675339	0.1941552221	-0.0985541256	-0.1291533256	-0.048731495	0.0345507826	-0.0391519197	0.0350086668	-0.1379483633	-0.0242796519	-0.0185864663	0.1176435994	0.0340390301	0.011443799	0.0168738119	0.0821254933	0.0004554224	0.0194394551	-0.0937345626	-0.0596793555	-0.0743922027	-0.0536904639	0.0485643302	0.0472239565	0.0238048714	0.0802790771	-0.0770530983	-0.0092645515	-0.0847416804	-0.0105002723	0.0385206807	-0.0466753036	-0.121171775	-0.0723140499	-0.0246557097	-0.0592939859	0.0378604321	-0.0349913084	0.0422065626	0.1093500928	0.0105098559	-0.0815225691	-0.0540228466	-0.0679880371	-0.0048272186	-0.0638501357	0.0454617172	-0.1292866767	0.0413379074	0.0492629504	-0.0056782126	-0.1097834098	0.0719252987	-0.0422421037	-0.0138513802	0.0160516666	0.1300359222	-0.038768855	-0.0680633129	-0.0068210978	-0.0027079279	0.0751590105	-0.0926053515	-0.0746319342	0.0115515915	0.0424918038	0.0016990235	0.0384580885	-0.0611298697	0.1880588932	-0.0844859349	0.1019689131	-0.0468678695	0.0664871343	0.0518764025	0.1232664985	-0.0114118451	-0.1232712698	0.0157868466	-0.1075764879	-0.1014080358	-0.0480396709	0.0458642487	4.18732e-05	0.033802028	-0.0995694583	-0.0370408927	-0.0146824162	-0.0030260969	-0.0275593931	0.1640575642	-1.21347e-05	0.0673262959	0.1059806432	-0.1186272305	0.0536097097	-0.1379627568	0.0022144435	0.0418086352	-0.0852112999	0.1141819674	0.1144017065	0.1112164334	0.105973176	0.021042	-1.6799999999997373e-05	2.822399999999117e-10	0.000442765764	0.00565441	-0.0029143899999999	8.49366907209942e-06	3.197235244810001e-05	-0.173554	-1.2000000000012e-05	1.4400000000028803e-10	0.030120990916	0.00263634	-0.0003576199999999	1.2789206439999994e-07	6.9502885956e-06	0.000538421	-0.000139429	1.9440446041000012e-08	2.89897173241e-07	-0.00031917	-0.0002271052	5.157677186704001e-08	1.0186948890000003e-07	0.0	0.0	0.0	0.0
3017.4811297909623	5.1420189011460025	26.440358379742744	9105192.368644545	3871.933683093824	5.862641286664257	14991870.446276506	34.370562856100335	3184.4291324294245	3.6292953386587214	10140588.899465216	13.171784655209924	3223.194917122446	2848.531487986007	1.055507	17.977465	0.04405868	0.0300259	-0.0329027946	-0.0335482832	0.098571658	-0.0327508896	0.114090146	-0.0467325197	-0.0559088146	-0.0125809684	-0.0842879228	0.037643123	0.0016411349	-0.0103215233	-0.1956202856	-0.0793595421	-0.0690662554	-0.0950868527	0.0136118703	-0.1316860715	0.0685585832	0.0888843157	-0.1313443796	0.047651648	0.0910036497	0.0489196702	-0.0260428337	-0.0078394898	-0.0656448136	0.0164185104	-0.0447712391	0.083498226	0.0601750588	0.0280918109	-0.0331614443	-0.0863772997	-0.1159604562	-0.0382525792	0.0079432328	-0.0612699164	0.0876392993	0.1720895436	-0.1294086285	0.0550435539	0.0455236332	0.0650929708	-0.0142577013	-0.0644228818	-0.0262910852	-0.0004486025	0.0953312932	0.1389305796	0.0098495661	-0.0814610658	-0.0019230664	0.1100571749	-0.0787808489	0.0186098329	-0.0936175847	-0.0255606463	-0.0220877756	0.1776409532	0.0842532562	0.1737201282	-0.0187709497	0.0264074976	-0.0589424644	-0.1041965727	-0.0271151827	0.0992797441	-0.0286961397	-0.1030665218	-0.0583305705	-0.0051972298	0.1111768066	0.0930682998	0.0753153536	-0.0871947682	0.0193880083	0.0261347639	-0.0677716907	0.0934069503	0.0694794567	-0.2068606968	0.0249884797	0.0100266028	-0.0065062642	0.1402690656	-0.1220033222	-0.0042493548	0.0293892818	0.0310203468	-0.0761843651	-0.0190406463	0.0368542422	-0.0076071801	-0.0206975422	0.0376923699	0.0045726926	0.165607357	-0.0018953462	-0.129323026	0.0427852418	0.0462970933	-0.1213410358	-0.0003342398	-0.1679945354	-0.0367351207	-0.0985257626	-0.0477464556	-0.0578974521	0.1524037717	0.1140484259	0.1098185471	0.1028845713	0.0210918	4.979999999999915e-05	2.4800399999999153e-09	0.00044486402724	0.00573279	7.837999999999942e-05	6.143424399999909e-09	3.2864881184099995e-05	-0.173538	1.6000000000016e-05	2.5600000000051207e-10	0.030115437444	0.00215395	-0.00048239	2.327001121000001e-07	4.6395006025e-06	0.000876942	0.000338521	1.1459646744100004e-07	7.69027271364e-07	-0.000376549	-5.737899999999998e-05	3.2923496409999982e-09	1.41789149401e-07	0.0	0.0	0.0	0.0
3013.130034886266	-4.351094904696311	18.9320268696742	9078952.60713371	3854.283155172691	-17.65052792113329	14855498.640247952	311.5411358947058	3175.8750119632195	-8.55412046620495	10086182.09161238	73.17297695034638	3213.499825707346	2849.4688024164902	1.02357	17.433498	0.11013769	0.0568159	-0.0640653773	-0.0266567072	0.0906311252	0.0014899583	0.0834416306	0.0749898113	0.0321985189	0.016859936	0.0098266935	0.0497863957	0.0541775421	-0.0291133148	0.0052442403	-0.0088470702	0.0170733089	0.003704069	-0.1396669175	-0.2039397884	-0.0191122398	-0.1631748676	-0.0183109087	0.0378816627	-0.0420162505	0.092167672	-0.1221388967	0.0554030146	-0.0628600132	-0.054938127	0.084889459	0.1762655286	0.0135230295	-0.0543606913	0.0523500561	-0.071414181	0.0544152889	0.0720589086	0.0898111757	-0.0912849672	-0.0616954805	-0.0420492603	0.0591847335	-0.0232267303	-0.0082700797	0.0425562435	-0.0398981435	0.1034557455	0.0231378248	0.0356850565	0.0004670479	0.0167159349	0.033343105	-0.0082558094	-0.0779185555	0.0347210353	-0.1464860715	-0.1379581042	-0.0591835079	-0.0527061396	-0.0358877357	-0.1319540515	0.0588243485	0.1778058359	0.0269880199	-0.0772492198	0.0422223211	-0.0296116772	-0.039278946	0.1132234966	-0.0711619532	-0.0386290264	-0.0666373425	-0.050556617	0.0848927478	-0.154121296	-0.093066853	0.059469369	0.0271553005	-0.0490684116	0.042010274	-0.0450310896	-0.0267669082	-0.0471039083	-0.1516772	-0.101523356	0.0594759271	-0.1597653964	-0.1360499959	-0.0194836216	-0.0194709874	0.0012803031	0.0012905724	0.026267091	0.1021611807	0.0116810387	0.0620403619	-0.044728698	0.006641669	-0.0504526282	0.2027929968	0.1492224828	0.0748992877	-0.1857846743	-0.13850331	0.0976322951	0.0255195935	0.0230232388	0.1865882794	0.0093075301	-0.0931751868	0.1492383527	0.1136451198	0.1082280018	0.0993899282	0.0370029	0.0159110999999999	0.0002531631032099	0.0013692146084099	0.00568165	-5.1139999999999866e-05	2.615299599999986e-09	3.22811467225e-05	-0.215539	-0.042001	0.001764084001	0.046457060521	0.00234414	0.00019019	3.617223610000009e-08	5.494992339600001e-06	0.000538421	-0.000338521	1.1459646744100004e-07	2.89897173241e-07	0.000138229	0.000514778	2.64996389284e-07	1.9107256441e-08	0.0	0.0	0.0	0.0
3022.761557694352	9.631522808086174	92.7662316026842	9137087.434674786	3880.305067611114	26.021912438422987	15056767.417728491	677.1399269529529	3180.1457304421106	4.270718478891013	10113326.866849184	18.239036325941164	3220.312976911505	2872.157160873263	1.012816	17.250345	0.06260179	0.0375763	-0.0984250402	-0.1235744274	0.0564929014	0.0066610287	0.0791864747	-0.0535774691	0.0999676484	0.0799765606	-0.0869031848	-0.0333625627	0.019032822	-0.1719825973	-0.0137783148	-0.02664296	-0.0012541782	0.0430513039	0.0633543744	-0.175072465	-0.0105062421	0.0414382537	0.0394544816	0.106888471	-0.1380956132	-0.0282630593	-0.0007336691	0.0722763932	-0.0545452744	0.078248316	0.1747362512	-0.0407088713	-0.1005058212	-0.0328821744	-0.1100396388	-0.0921549978	0.10283475	-0.0195789966	-0.2284014177	0.0607180946	0.0590931541	0.0917017042	0.0823568306	0.0859474107	0.0766369764	-0.0234351321	0.0160554999	0.0125875465	-0.0813555613	0.0009320092	-0.0574653984	-1.96831e-05	0.1466587563	-0.0419930633	-0.0138770607	-0.0449923425	-0.088269355	0.0308364929	-0.1909632512	-0.0922497789	0.0279862888	-0.0671854829	-0.000718524	0.0207813393	0.1413295502	0.0515948367	0.1026237948	0.0312680447	0.105757143	-0.0864939516	0.1010146237	-0.1331898929	0.0969864465	0.0284831714	0.0764894806	0.0945067565	-0.0348482737	0.0508024554	-0.1120523266	-0.1052747551	-0.1348828055	0.1113800163	0.077183179	0.0595402309	0.0889854474	-0.0471465341	-0.0799886487	-0.1163439391	-0.1559768561	-0.0250942225	0.0574598001	0.0033127082	0.0441641971	-0.0882072059	0.0713903417	0.0255638257	-0.0224704063	-0.0059666188	0.0537201887	-0.0847611997	-0.0649289253	0.0211447866	0.0804110473	0.0860900224	0.08412858	-0.1033704987	-0.0578238395	-0.1541206812	-0.0069435441	0.0397156055	-0.0305498888	-0.0078576362	0.1131919653	0.1064475877	0.0955030384	0.0210273	-0.0159756	0.0002552197953599	0.0004421473452899	0.00568101	-6.399999999996686e-07	4.095999999995758e-13	3.2273874620100005e-05	-0.191999	0.02354	0.0005541316	0.036863616001	0.00234414	0.0	0.0	5.494992339600001e-06	0.000538421	0.0	0.0	2.89897173241e-07	-0.000323482	-0.0004617109999999	2.1317704752099998e-07	1.04640604324e-07	0.0	0.0	0.0	0.0
