global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
3457.60873833195	n/a	n/a	11955058.18738946	4449.180502466959	n/a	n/a	19795207.143532146	3597.4540147688267	n/a	n/a	12941675.38837635	3768.5319789734094	3225.856364275624	n/a	n/a	n/a	n/a	-0.093133504	0.0248081114	-0.0962252334	0.1008746537	-0.0109223064	0.0460759569	-0.0842716706	0.1760259463	-0.0611157757	0.016605784	-0.0307496033	0.0889064174	-0.0847857323	-0.1045489634	0.0816378015	-0.0519788137	0.0296861235	-0.0261127379	-0.0394448213	0.0909672425	-0.0522867321	0.0277550094	-0.0574434339	0.0773318391	-0.0962740508	-0.0923700482	0.0226407465	-0.019525453	0.0865676596	-0.016293057	0.1153897105	-0.0834506622	0.0553822967	0.0378404348	0.1189442938	-0.0046516955	0.0442315214	-0.0150560626	0.1154857192	-0.0893510361	0.1828929238	-0.0314354333	0.1244615326	-0.0805259949	-0.0334683039	0.0462390531	-0.1222688228	0.0445637288	-0.1448108608	0.1512793267	-0.0127051647	0.1513467292	-0.0572544975	0.0824669801	-0.0646724809	0.0135735283	0.0530635698	0.0850774195	0.1154637225	0.1154447293	0.1154130763	-0.0724053999999999	n/a	n/a	0.0052425419491599	-7.0723e-05	n/a	n/a	5.001742728999999e-09	-0.0499182	n/a	n/a	0.00249182669124	-0.00157968	n/a	n/a	2.4953889024e-06	0.00221903	n/a	4.924094140899999e-06	n/a	-0.000934166	n/a	n/a	8.726661155559999e-07
3459.033431037851	1.4246927059011796	2.029749306248025	11964912.277037488	4418.458982425193	-30.72152004176587	943.811793676622	19522779.77937388	3600.3071485283986	2.853133759571847	8.140372250008582	12962211.563744688	3759.720080414345	3238.3533292605384	1.06559	21.9589	0.075830353	0.0379112	-0.1150304398	-0.0779795265	0.0913306686	-0.0307429147	0.0264920549	-0.1137038112	0.0437510136	-0.0186902862	-0.0422725229	0.0980438204	0.074422231	0.0129409096	0.0871831999	0.0140142913	-0.0489707041	-0.0195152321	0.0725433838	-0.0204016211	0.0218224647	-0.0335815907	-0.1176708831	-0.1120182015	-0.129524956	0.1261929367	0.0864021154	-0.0009597452	-0.0322661924	0.0008366604	-0.0836302661	0.0965653712	-0.0244911338	-0.0856092959	-0.0087303803	-0.0428894713	-0.0672371273	0.0500996085	0.0406829071	-0.0336927917	0.1309927984	-0.1368189769	0.0451352604	0.0201974585	0.1840091762	0.014059797	-0.0941964294	-0.0077282148	-0.1307727968	0.1112759854	-0.1397024167	0.1492806546	-0.0326761632	0.1137840345	-0.1289573152	0.0505917452	0.0126219773	0.0317976128	-0.0078938329	-0.1239454129	0.1154130763	0.1152422001	0.1149575937	-0.0842919	-0.0118865000000001	0.00014128888225	0.00710512440561	0.00913693	0.009207653	8.4780873768409e-05	8.34834898249e-05	-0.0499242	-5.999999999999062e-06	3.599999999998874e-11	0.00249242574564	-0.00207358	-0.0004939	2.4393721000000025e-07	4.2997340164000005e-06	0.00199624	-0.00022279	3.9849741376e-06	4.9635384100000026e-08	-0.00131208	-0.000377914	1.4281899139600002e-07	1.7215539264e-06
3468.2920638179403	9.2586327800891	85.72228095654044	12029049.839942507	4453.656294110703	35.1973116855097	1238.8507498869178	19835054.386071883	3602.9687982114287	2.6616496830301912	7.084379035174718	12981384.160885109	3768.048934294166	3277.150045289499	1.068142	22.011494	0.12236627	0.0538689	0.0086745492	-0.0828477121	-0.0639221261	0.0906147072	-0.1182792146	0.0560398729	0.0480326082	0.0892915048	-0.0297627065	-0.0363637676	0.0576537842	-0.1486600167	-0.0931318247	0.0539304488	-0.0033202007	0.1126130967	-0.0301766616	-0.068752972	-0.0853917346	0.0032363237	-0.1253232582	-0.1471726425	0.0320649942	0.0155701818	-0.096472397	0.0689906182	-0.0563425393	0.0621427504	0.0140023988	-0.0727496994	0.0030337487	0.0176403757	0.0619826419	0.0808139866	0.0310993609	-0.1637940535	0.0219963013	-0.0123368545	0.1149092123	-0.1231068804	0.1096970115	0.1197108022	0.0792272273	-0.0353791126	0.0005032153	0.0434475814	-0.1001982707	0.1576472469	-0.0464864292	0.1176608267	-0.0196768908	0.0582443238	-0.0455540739	0.1076407492	-0.0759264096	-0.0339088445	-0.0549938676	-0.0718871891	0.1153118061	0.1148374968	0.1140484259	-0.081704	0.0025879	6.697226410000021e-06	0.006675543616	0.027726	0.01858907	0.0003455535234648	0.000768731076	-0.0231801	0.0267441	0.00071524688481	0.0005373170360099	-0.00136153	0.00071205	5.070152025000004e-07	1.8537639409e-06	0.00239518	0.0003989399999999	5.736887232399999e-06	1.591531236e-07	-0.000934166	0.000377914	1.4281899139600002e-07	8.726661155559999e-07
3469.516873329925	1.2248095119848583	1.5001583406485874	12037547.33432106	4430.835537270324	-22.820756840379545	520.7869427677298	19632303.558337595	3602.670747255847	-0.2980509555818571	0.0888343721232581	12979236.513133002	3764.133730051871	3271.728268837784	1.118545	23.050163	0.0909834641999999	0.0474873	-0.126312171	0.0819978763	-0.0078973318	0.1513081713	0.0607490603	0.0216592982	-0.1880490651	0.0454609827	-0.0456337185	0.0322392382	0.1128816025	0.065895494	-0.0360966713	-0.1133622325	0.0640423759	0.0176248521	-0.0267952802	-0.2208902523	0.0331687758	0.0952384456	0.0483328124	-0.0263307427	0.0144995703	-0.0603510167	-0.0470435737	-0.1054326944	0.1393076343	0.1310791243	0.0474163513	-0.0421188489	0.0159715579	-0.1449127593	-0.0528785422	0.1140514718	0.1229321515	0.0677070251	0.0621669245	-0.0626719316	0.1639049119	-0.0430194072	0.1061419834	-0.0783597871	0.0983347241	0.0016466199	0.0151779076	0.0262176495	-0.0770612133	0.086865725	-0.0221801951	0.106879817	0.0125234299	-0.15465509	-0.0208107424	-0.0105166856	0.037000029	-0.0163805481	-0.1205737747	-0.0534543737	0.1151599564	0.1142313295	0.112689161	-0.0723947	0.0093092999999999	8.666306648999986e-05	0.00524099258809	0.0320757	0.0043496999999999	1.8919890089999982e-05	0.00102885053049	-9.62858e-05	0.0230838142	0.0005328624780201	9.27095528164e-09	-0.0013111	5.042999999999996e-05	2.543184899999996e-09	1.7189832099999998e-06	0.00165858	-0.0007365999999999	2.7508876164e-06	5.425795599999997e-07	-0.000636383	0.0002977829999999	8.867471508899995e-08	4.049833226890001e-07
3474.779143967823	5.262270637897927	27.69149226648266	12074090.099353757	4468.016813794227	37.18127652390376	1382.447323946997	19963174.24834792	3602.587091204844	-0.0836560510028903	0.0069983348693981	12978633.74971578	3762.442706990803	3386.044127959304	1.299985	26.789146	0.0297386441999999	0.0237274	0.0792993685	-0.1197201011	0.1566253014	-0.0428985263	-0.0119849491	0.0277059642	0.1670911466	-0.0954282492	-0.0019115958	0.0321748071	0.2331387202	0.003440358	0.08783566	0.0364970965	-0.0254134919	0.0506093724	0.0087765477	-0.0494404594	0.0567570368	0.1549900795	-0.1829189145	-0.0708099295	0.0379093684	0.064312247	0.088583629	0.0300092702	-0.0877156454	0.179400887	-0.0837457668	0.0847634789	-0.0845056776	-0.0439939474	-0.0511951773	0.0533943534	-0.0894353143	0.0220400035	0.0169346438	-0.0182036134	0.1258816236	-0.1308827482	0.0315518704	0.1629468601	0.1449443539	0.0738348292	0.0908613077	0.0634204209	-0.048571598	0.1622370463	-0.0553999702	0.0755155527	0.0186472546	0.0147016907	-0.0381871287	0.0555731106	-0.0715335211	0.0764241994	0.0347479993	-0.0435022399	0.1149575937	0.1134247617	0.1108851636	-0.0724027	-7.999999999994123e-06	6.399999999990597e-11	0.00524215096729	0.0315631	-0.0005126	2.62758760000002e-07	0.0009962292816099	-0.00236353	-0.0022672442	5.14039626243364e-06	5.5862740609e-06	-0.000862254	0.0004488459999999	2.0146273171599998e-07	7.43481960516e-07	0.00173993	8.135e-05	3.0273564049e-06	6.6178225e-09	-0.000627563	8.819999999999987e-06	7.779239999999977e-11	3.93835318969e-07
3458.729054770268	-16.05008919755528	257.6053632494807	11962806.67431203	4457.523064290008	-10.493749504219522	110.11877865730747	19869511.86867738	3596.105428780804	-6.481662424040223	42.011947779214985	12931974.254906768	3766.153790632304	3314.9253537716663	1.22073	25.155914	0.0389459382	0.0221553	0.0413044591	-0.0329824446	-0.0891613865	0.0684592274	-0.1447176255	0.0462236662	0.0925320015	0.1156264696	-0.0728329121	-0.0947394441	0.0224072137	-0.0659956473	-0.1026663916	0.0560564128	-0.0497256788	0.0063619	-0.0561951053	-0.0443678873	-0.1078448496	0.0828018513	-0.1024233823	-0.1399866145	-0.0789803903	-0.0067090276	-0.0992367661	0.0682722455	-0.1035540821	0.0264869783	-0.04658053	-0.0915835641	0.1240694112	-0.0101538039	0.048474724	0.0164164746	0.0460146482	-0.1630456434	0.053285099	-0.0291787849	0.1492130056	-0.1411015564	0.0340457842	-0.008487468	0.0127634239	-0.0545362941	0.0160052318	0.0844700375	-0.0587197095	-0.0456218458	-0.056548944	0.0150468009	0.1155617303	-0.0690199296	-0.0060401779	-0.0942084631	-0.1953974289	-0.0800210279	-0.1305615717	0.0465620564	0.1147048067	0.1124192083	0.108643553	-0.0723749999999999	2.7700000000102643e-05	7.672900000056863e-10	0.0052381406249999	0.0410527	0.0094896	9.005250816000001e-05	0.0016853241772899	-9.72418e-05	0.0022662882	5.13606220545924e-06	9.45596766724e-09	-0.000721153	0.000141101	1.9909492201000013e-08	5.200616494089999e-07	0.00137137	-0.00036856	1.8806556769e-06	1.358364736e-07	-0.000593977	3.3586000000000054e-05	1.1280193960000036e-09	3.52808676529e-07
3460.103324749861	1.3742699795930091	1.8886179768105704	11972315.01794504	4408.577695184647	-48.94536910536044	2395.649156859972	19435557.29447958	3583.6152440603805	-12.490184720423258	156.00471435029462	12842298.21746194	3746.1268706805126	3255.019778178596	1.156912	23.840794	0.1314439694	0.0713305	-0.1544634247	0.0147982469	0.0294141552	0.2003986144	0.0371692523	-0.0729085166	-0.1694592284	0.0449444981	-0.1554615077	0.0067376434	0.0886094236	0.0225265738	-0.0664942196	-0.0951672246	0.024081632	-0.2646156874	0.0511779121	-0.1300566587	-0.1161433937	-0.0923671395	0.0784624162	-0.2686987502	0.1012697277	-0.0785084737	-0.0712342873	-0.0906539586	0.169662165	-0.020451664	-0.0538882664	0.1261562293	0.1537111319	-0.0427774463	0.0987490199	-0.064602445	0.1343142589	0.0304844375	0.0715553799	-0.0517244517	0.1654269383	-0.0474345172	0.0135244691	-0.0603033383	0.076836799	-0.012235141	-0.1780721426	-0.0045196034	-0.1118622083	-0.0677977589	-0.0345733509	-0.1726630402	0.0606248962	-0.1993177265	0.1823952331	-0.2302824645	0.0944776891	-0.1746582701	-0.3605178284	0.0150880784	0.1144017065	0.1112164334	0.105973176	-0.058677	0.0136979999999998	0.0001876352039999	0.003442990329	-0.000347224	-0.041399924	0.0017139537072057	1.20564506176e-07	-5.94964e-05	3.77454e-05	1.4247152211599999e-09	3.53982161296e-09	-0.00112233	-0.0004011769999999	1.6094298532899997e-07	1.2596246288999998e-06	0.000324989	-0.001046381	1.0561785012099999e-07	1.0949131971610002e-06	-0.000672585	-7.860799999999998e-05	6.1792176639999965e-09	4.52370582225e-07
3466.300959499666	6.197634749805275	38.41067649199389	12015242.341828303	4431.962054939575	23.384359754927573	546.8282811478763	19642287.65642422	3591.800295020413	8.18505096003264	66.99505921833125	12901029.359308727	3748.3273396482336	3306.233740699727	1.2917	26.618404	0.2005439776	0.125024	0.055360233	-0.1075835425	-0.0446629095	-0.0436574071	0.1147968223	-0.0091004573	0.0061078893	-0.1075562103	0.1076295181	0.1104682707	-0.0590610715	-0.1015000557	0.085895852	-0.0029534169	0.0137413154	-0.125164366	0.1296805971	-0.0275422959	0.0596628065	0.1051047735	0.1697965083	-0.2399302175	-0.0689519061	-0.0131238443	0.0860600394	-0.0132600895	0.1180652387	0.0316528956	-0.0059240495	0.0293506391	-0.0748605988	0.2232466545	-0.0381588785	-0.0524939023	-0.0500455718	0.0784723266	0.0235790209	-0.0194504268	0.0422289429	-0.158757297	0.178673323	0.1582180013	0.1560725069	-0.0961715644	0.0346268127	-0.2963311568	-0.0554729039	-0.1040607085	0.069686928	-0.2548102994	0.1051620993	0.0725254301	0.0947618593	-0.0752819415	0.3690076462	0.1676620394	0.2411327886	0.042839737	0.1140484259	0.1098185471	0.1028845713	-0.0416454	0.0170316	0.00029007539856	0.0017343393411599	0.0296586	0.030005824	0.0009003494739189	0.00087963255396	-0.113511	-0.1134515036	0.0128712436691008	0.012884747121	-0.000637464	0.0004848659999999	2.3509503795599998e-07	4.06360351296e-07	0.000428778	0.000103789	1.83850573284e-07	1.0772156521000004e-08	-0.000460139	0.0002124459999999	4.513330291599999e-08	2.1172789932100003e-07
3461.0757308445227	-5.225228655143383	27.303014498531525	11979045.214640949	4439.469190708578	7.507135769003071	56.35708745424533	19708886.695250675	3595.0288300540824	3.228535033669232	10.423438463629587	12924232.288920024	3757.000142851789	3307.2075928344234	1.132205	23.331652	0.08985073	0.0425329	0.0501858981	0.1246253361	-0.1022782555	-0.1161970526	-0.0958163745	-0.0015720248	0.0284794772	-0.0252591409	0.1022227232	-0.1238002631	-0.0554572458	0.074465796	-0.0386587615	0.1048653334	-0.0730081792	0.0090806012	0.1075557546	0.0241782734	-0.0472345929	-0.0623016785	0.1452892905	0.1154523657	0.0080160742	0.157813115	-0.0237563301	0.1062658588	-0.0167020869	-0.0651947497	-0.0182569957	-0.075344272	-0.0831155042	0.0040818028	0.080498536	-0.1786135117	-0.0527413643	-0.1305559091	-0.0188254229	0.0372123469	-0.0444108563	-0.0735656896	0.1697759326	-0.0698625956	0.0670851325	-0.0132116707	0.0268295022	-0.0471994083	0.0333591554	-0.0195473415	0.0736717702	-0.2154885922	0.0746207615	0.0584903678	0.0700081768	-0.0638797736	-0.1368590865	0.0566344119	-0.0869668735	0.1176833061	0.1136451198	0.1082280018	0.0993899282	-0.0501801	-0.0085347	7.284110408999998e-05	0.0025180424360099	0.00137734	-0.02828126	0.0007998296671875	1.8970654756e-06	-0.137217	-0.023706	0.000561974436	0.018828505089	-0.000721153	-8.368899999999996e-05	7.003848720999994e-09	5.200616494089999e-07	6.88616e-05	-0.0003599164	4.741919954560001e-09	1.2953981498895998e-07	-0.000317169	0.0001429699999999	2.0440420899999993e-08	1.0059617456100001e-07
3461.339652096792	0.2639212522694834	0.0696544273994922	11980872.187177544	4420.442947263587	-19.02624344499145	361.9979396280801	19540315.850012384	3588.3819574388667	-6.646872615215671	44.180915562904005	12876485.072472792	3751.002908481396	3300.495617376232	1.157772	23.858522	0.1349014542	0.0703277	0.0262948722	0.0781048269	0.0877226771	0.0838243027	-0.0503997071	-0.0061293993	-0.0928028881	-0.089125874	-0.1535774095	-0.0412745901	-0.1276030136	0.0104756733	-0.1310689404	-0.0471518128	-0.0335836131	-0.1149733975	0.0618358954	0.1288803175	-0.0744850257	-0.0604948151	-0.0169098772	0.2062319686	0.0498661623	0.1143562466	-0.1262340364	-0.0351721791	0.0164994207	-0.130477747	-0.0508208857	0.1382950316	-0.0232561339	-0.0385269983	0.1490198899	-0.0809995431	0.137245524	-0.0482741299	-0.0299305124	0.0036967625	-0.1887273884	0.2266906002	-0.1460516675	0.0028841748	0.0433026662	-0.019723875	-0.0614633127	-0.2373855199	0.2192679145	0.2548359781	-0.2678923494	0.0642479071	0.3897059736	0.0730523566	0.1915027836	0.0587323855	-0.0302817697	-0.0175563372	-0.0108123799	0.1830933428	0.1131919653	0.1064475877	0.0955030384	-0.0376644	0.0125156999999999	0.0001566427464899	0.00141860702736	-0.00565755	-0.00703489	4.94896773121e-05	3.20078720025e-05	-0.178325	-0.041108	0.001689867664	0.031799805625	8.26821e-05	0.0008038351	6.4615086799201e-07	6.83632966041e-09	7.084160000000001e-07	-6.8153184e-05	5.018532290560001e-13	4.644856489337857e-09	-0.000930038	-0.000612869	3.756084111610001e-07	8.64970681444e-07
