global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
2660.318463062572	n/a	7077294.324911605	n/a	3846.533386310772	n/a	n/a	14795819.092003416	2808.1085822462346	n/a	7885473.809684957	n/a	3092.627963844659	2495.073770161811	n/a	n/a	n/a	n/a	-0.013003451	0.0344794988	-0.0580261128	0.0837091406	-0.0163891571	-0.0183756696	0.0263711786	-0.0281912003	0.1219785919	-0.0310552974	0.160657274	-0.0555705173	0.1960627861	-0.1846582353	0.0926672154	-0.0188627649	-0.079905447	0.1082105699	-0.0239187864	0.0371739286	-0.0859656528	0.0328555699	-0.0535049731	0.0154499026	-0.0317434215	0.0469788121	-0.0247781851	0.1559180125	-0.0905085829	0.0728621622	-0.1444094156	0.1983782122	-0.0588249862	0.105621222	-0.0374820684	0.0226258354	-0.2203261976	0.0174434187	-0.0244121305	0.0072348111	-0.0632449858	-0.0063770489	0.1174271718	-0.086994337	0.048328353	-0.1026951416	-0.0560169383	0.0694960571	0.0601305487	-0.0673298121	-0.1510995582	0.0743384703	0.0079962542	-0.0752054849	0.0054889808	0.0658854066	-0.1016999302	0.1487883653	-0.0348385128	0.0630692499	-0.117979667	0.1823250543	-0.0478882553	0.3110693258	-0.0993585258	0.0726337843	-0.111136247	0.0355005173	-0.176968712	0.0964202563	-0.1585129225	0.2290777288	-0.0914321336	0.022515404	-0.000893142	0.0412026274	-0.0001432821	0.0819544978	-0.106561527	0.0157852709	-0.0990091517	0.1271326403	-0.1144657642	0.009659586	-0.0685006969	0.032001461	-0.0230525945	-0.0880528436	0.0200910411	-0.0664386314	-0.2821774327	0.0266698576	-0.0110610756	0.0147347193	-0.1247763149	0.1210820823	-0.1715967932	-0.0046690604	0.0854851601	-0.0799354982	0.0571010613	-0.0454536807	0.0750959599	-0.1185423129	0.0426239905	-0.1070536777	0.0215671308	-0.1453318023	0.1395073457	-0.0645703237	0.0502511517	-0.0747233201	0.1222211456	-0.0630815943	0.1154637225	0.1154447293	0.1154130763	0.0167198	n/a	0.00027955171204	n/a	-0.0596993	n/a	n/a	0.00356400642049	-0.146234	n/a	n/a	0.021384382756	-0.00304708	n/a	9.2846965264e-06	n/a	0.00234044	n/a	n/a	5.4776593936000005e-06	-0.000589619	n/a	3.47650565161e-07	n/a
2657.4799936818013	-2.838469380770676	7062199.916819027	8.056908425572662	3833.4570376041233	-13.076348706648789	170.9908954978754	14695392.85915658	2806.6072640721773	-1.50131817405736	7877044.334742712	2.2539562597549256	3085.005553308501	2425.6771702347555	1.038859	20.596357	0.09241775	0.047925	0.0499767191	-0.0311846458	0.0421328546	0.102874296	0.1702418293	0.0470948893	0.0243063319	0.0500647476	0.0747832859	-0.1618570342	0.0472323139	-0.0469338396	0.1016369932	-0.0947330343	-0.0956370105	0.0464857736	-0.0616236724	-0.0452752936	0.0286151988	-0.0191064411	-0.1067593842	0.077320064	-0.0899815717	-0.0185064067	-0.0229889051	0.0389305582	-0.0212724184	0.183687294	-0.1454352886	-0.0564097966	0.1848478787	0.0233802572	0.100267444	0.0501396551	-0.0483869254	-0.0686333602	0.0285279989	0.0950011224	0.0039882796	0.0349666471	-0.0109980571	-0.1533139199	0.0334573413	0.0880688764	0.0974944525	-0.0873574921	-0.0098535748	0.0134267652	0.0302554627	0.0345429168	-0.0236579121	0.0781902185	0.0207927911	-0.1142697172	-0.0913527596	0.1143102468	-0.0652682785	0.0007500859	-0.1344439717	0.051674668	-0.0367815366	0.0127138417	-0.0698168867	0.042863043	-0.0521472335	0.0696579493	-0.057486135	-0.0305639447	0.1748528081	-0.0574921194	-0.1227406069	-0.021594756	0.0803172133	-0.1346940573	0.1209564109	0.0871380142	0.0840247042	0.1661040284	0.0858360501	0.0598989053	0.1278779479	-0.0641271616	0.0083696198	0.0228565795	-0.0615444058	0.0299684955	0.0473326807	-0.0258559182	0.0229373619	0.095497088	-0.262280952	0.0254488262	0.0799846602	-0.0044895445	-0.0743987472	-0.0216736378	-0.1921620602	0.0403601356	0.1364837168	-0.066523004	-0.0218427673	-0.1107528793	0.0284071091	-0.1025280186	0.0612359625	0.0770807277	0.0103927983	0.1301416141	-0.016336347	-0.0420922085	0.002356398	-0.0594869489	-0.0366029686	-0.0129896973	0.1154130763	0.1152422001	0.1149575937	0.0144848	-0.0022349999999999	0.00020980943104	4.995224999999996e-06	-0.063394	-0.0036947	1.3650808090000068e-05	0.004018799236	-0.177602	-0.031368	0.000983951424	0.031542470404	-0.00320721	-0.0001601299999999	1.02861959841e-05	2.5641616899999892e-08	0.00183174	-0.0005087	2.5877569e-07	3.3552714276000005e-06	-0.00102319	-0.000433571	1.0469177761e-06	1.87983812041e-07
2662.8331767296218	5.353183047820494	7090680.527091969	28.65656874347271	3823.6602662539176	-9.796771350205743	95.9767288882121	14620377.83172898	2804.3535205544163	-2.253743517760995	7864398.668245949	5.079359843849704	3077.312633203513	2440.56702055126	1.057287	20.961706	0.152624744	0.090795	-0.0138361309	-0.0959697741	0.0760216677	-0.0450969575	-0.0116001591	-0.056490106	-0.1390885423	0.038073497	0.0770027513	-0.1109138935	0.0122010775	-0.1737332575	-0.0139193409	-0.1428720756	0.0614806974	0.1722062054	-0.0371753014	-0.1916095648	-0.1691540475	0.102160886	0.0741011101	0.0603419561	0.0423206326	0.0415974593	0.0139504915	0.2763610849	0.183658113	-0.0417985637	-0.1262578221	-0.0600009541	0.0035640103	0.1629601921	-0.0156937002	0.1056708523	0.0370818031	-0.0201442767	-0.1807031231	-0.0723542758	0.0685594271	0.0246992042	0.0924816831	0.0367567329	0.1223535676	-0.0737965784	-0.0344424628	-0.010425297	0.0382157209	-0.0033415048	0.0703852124	0.0113650068	-0.0213169191	-0.0496042382	-0.056291022	0.0934835089	0.0016430813	-0.0275660079	0.1224493894	0.1015767582	-0.2228550366	-0.0445088672	0.0220123043	0.0503181019	-0.0523053195	0.0033991572	-0.1074755354	0.1939512417	-0.156032176	0.0366000042	-0.1018249043	-0.0291487531	-0.1944953381	-0.1268965376	0.0420377897	-0.0565879933	0.0569994089	0.0810061789	-0.0562001921	0.1173319716	-0.0676439426	-0.1084483727	-0.0531354423	0.0516915138	0.0523519605	-0.0127689582	0.0308928403	0.1160562879	0.0539059752	0.0347455314	-0.0131785678	-0.0248352066	-0.3816054377	-0.0043029288	0.087470732	-0.0857258356	0.0482187445	-0.0279748332	-0.0719578824	-0.0060553412	0.0884276706	0.0213751926	-0.0036921672	-0.0588423651	-0.1205436513	-0.0253800473	-0.0389695184	-0.2465376247	0.0386705499	-0.0140422923	-0.143179333	-0.029043927	-0.055434625	0.1179786412	-0.0726448146	0.0894297552	0.1153118061	0.1148374968	0.1140484259	0.000222656	-0.014262144	4.9575694336e-08	0.0002034087514767	-0.090272	-0.026878	0.0007224268839999	0.008149033984	-0.259689	-0.082087	0.0067382755689999	0.067438376721	-0.00351702	-0.00030981	1.23694296804e-05	9.598223610000013e-08	0.00177696	-5.478000000000015e-05	3.000848400000016e-09	3.1575868416e-06	-0.000799828	0.0002233619999999	6.397248295840001e-07	4.9890583043999976e-08
2672.998740491786	10.165563762164313	7144922.266670675	103.3386866026282	3838.664996786133	15.00473053221549	225.14193834439973	14735348.957551084	2816.902230769266	12.548710214849962	7934938.177712868	157.47012805627978	3089.477164554685	2447.807247342236	1.022107	20.264236	0.170068606	0.0830295	0.0543145094	-0.0153071238	-0.0154364779	-0.0891125466	-0.0877122931	-0.1088735997	-0.0629420497	0.0742618494	0.009716668	0.0078373289	-0.1130130884	-0.2463012727	0.1187361883	-0.1402608437	0.1272152563	0.020592171	0.0899997073	-0.0484565903	-0.0571318715	0.0367951025	-0.023676951	-0.0605336403	-0.125548787	0.0368434902	0.0413855613	0.0107618648	0.0573743873	0.1139341188	0.0234077447	-0.0415801927	-0.0183797057	0.1268091899	0.0409205579	0.033963538	0.0349766373	-0.0114521215	-0.0317443373	0.0133629319	0.0076400392	0.0348479129	-0.0603350595	-0.1074975775	0.0377883351	0.1169175605	0.0120492922	0.0285118274	0.0577787308	-0.1715231841	-0.0734741055	0.1139237591	0.0165345882	-0.0418401569	0.0359278258	-0.0322830174	0.0327849169	-0.0911913093	-0.0137140098	-0.0286006375	-0.1663691383	-0.037984586	0.0703914296	0.0121483538	0.1260884449	0.1622658765	0.0503775537	0.1489972641	-0.0141374717	0.016442673	-0.0715836532	-0.0537662218	-0.0489372979	-0.064938603	0.0248757679	0.0111411177	0.1268504336	0.1044902148	0.0274376675	-0.0347125406	0.0928497935	0.0189329338	0.0742844674	0.0162816403	0.0346501895	-0.1901136663	0.1709023985	0.0041543059	0.0684602136	0.0016680154	0.0305276854	0.0366274965	-0.2855771059	-0.0187336977	0.0092181657	-0.0580622212	0.0529959111	0.0749662383	0.0210511023	-0.0963610707	-0.0685227206	-0.078624495	0.096107315	0.0602251866	-0.0929959281	0.0841188266	0.0446057023	-0.0254602478	0.1792001478	-0.0419595484	-0.0841517788	-0.0116215716	0.1503195955	0.09212086	-0.161207838	0.1054018061	0.1151599564	0.1142313295	0.112689161	-0.0161117	-0.016334356	0.00025958687689	0.0002668111859347	-0.0569126	0.0333594	0.00111284956836	0.00323904403876	-0.195672	0.0640169999999999	0.0040981762889999	0.038287531584	-0.0031953	0.00032172	1.020994209e-05	1.035037584000001e-07	0.00107475	-0.00070221	4.930988840999999e-07	1.1550875625e-06	-0.000903055	-0.000103227	8.155083330250001e-07	1.0655813529e-08
2679.604167370294	6.605426878507842	7180278.493788246	43.63166424731386	3850.2410233774	11.576026591266782	134.00439164171564	14824355.938098248	2822.305617536891	5.403386767624852	7965408.998780292	29.196588560543347	3097.7726774505586	2477.137031940382	1.062954	21.074059	0.09875133	0.058081	0.0307875475	0.1075292932	-0.0839949979	-0.020778835	-0.0709639379	-0.0476250572	-0.0118497405	-0.0421477524	-0.1701840754	0.0399847411	-0.0840380439	-0.0093674074	0.103886556	-0.131099538	0.0042395673	-0.0205858559	0.0921667269	0.1477601952	0.0282659328	-0.0060015057	0.004653521	-0.0901628333	-0.0229040916	0.0986308261	0.0042937852	0.1728485497	-0.0904639857	-0.1185612293	-0.0032697634	-0.0694849247	0.0902872712	-0.086474726	-0.0712886878	-0.1186093174	0.0295890421	-0.1120285925	-0.0286415563	-0.0610646197	0.0124491269	-0.0169053133	0.00278169	0.0200977461	0.060499553	-0.0011313331	-0.0393479342	0.1243880183	-0.0293679146	-0.1195777059	0.0268727359	0.0817036951	0.0408982879	-0.0350969971	0.0420632711	-0.0469854327	0.0682408346	-0.0278428732	-0.1159050052	0.0025006463	0.0842956167	-0.0762163232	0.0378448878	0.0367893876	0.0873658413	0.0499929706	-0.120032291	0.0959772955	0.1441652259	-0.0315845785	-0.0276112023	-0.1706319773	-0.0182506507	-0.0353834478	-0.0550920246	-0.156170435	-0.0177884124	0.0520818831	-0.071582808	-0.0988138357	-0.0766513583	-0.0753748795	0.0774082068	-0.0190643157	-0.0536200119	-0.0653810198	-0.0303920205	-0.0572852517	-0.0309167368	0.1309664318	0.1670363982	0.0006317459	-0.1474856748	-0.0147214744	-0.0235126387	0.0681794031	-0.0887026578	0.0576308305	-0.1441515163	-0.0452142395	-0.1343114968	-0.0077160566	-0.1428486489	-0.0382790093	0.0605846985	0.0939025091	0.0290124893	0.0853000264	-0.0280439037	0.1981133649	-0.020075319	0.055724127	0.1049364396	-0.1489594016	0.151643234	0.0515021057	0.1149575937	0.1134247617	0.1108851636	-0.0085215199999999	0.00759018	7.261630311039831e-05	5.761083243240151e-05	-0.0469322	0.0099804	9.960838416e-05	0.00220263139684	-0.147211	0.048461	0.002348468521	0.021671078521	-0.00266672	0.0005285799999999	7.1113955584e-06	2.7939681639999984e-07	0.00107475	0.0	0.0	1.1550875625e-06	-0.00077724	0.000125815	6.041020176e-07	1.582941422500001e-08
2662.449773991947	-17.154393378346867	7088638.79902977	294.27321217907087	3842.85593681186	-7.38508656553995	54.539503580518655	14767541.751090158	2809.8829908754824	-12.422626661408684	7895442.422411346	154.3216531687419	3087.984116669328	2480.5860768201487	1.141076	22.622894	0.08683143	0.0409959	0.0536825287	-0.0688184794	-0.0933898276	-0.1112378432	0.136448443	0.1467555993	0.018232757	-0.0664715675	0.0885645395	-0.1937954882	-0.0046277546	0.0492520671	0.0174937399	0.0003736159	-0.0887951401	-0.0951938087	-0.0657035549	0.1713907484	0.0244753742	-0.0764617379	-0.0479697454	0.0195183849	-0.1514105404	-0.0703645522	-0.0021774572	0.0257168178	0.0554258847	0.0908602772	0.0153641009	-0.0728908774	-0.0159015374	-0.0103338875	-0.1198603904	0.0200193808	0.1027631135	0.1332470726	-0.0865029594	0.0138218947	0.0543305073	-0.0957984592	0.0518636637	-0.0266970769	0.1051172833	-0.0740537286	-0.0454716655	0.0532743465	0.0933493803	0.0403350784	-0.0021898932	-0.1410702006	0.1015480005	-0.0232932454	0.0239460413	-0.0213076516	0.0540746837	0.1592171747	-0.1514453571	0.0395621307	-0.0722917694	0.1034408424	-0.1437683418	0.0295315222	0.0031221949	-0.0748611123	-0.0332829023	0.0068833724	0.0531969297	0.0272837133	-0.0373525363	-0.0729446051	-0.0407217811	-0.0756045061	-0.1168038515	0.0426006885	0.0590262373	-0.0469869812	-0.0010530902	-0.0390598987	-0.0272242326	0.0157872448	0.0497713698	0.0693332319	0.0879727267	-0.1575410637	0.030568185	-0.1239068985	-0.0290995894	0.0392186062	0.1314694404	-0.0769129527	-0.1428921228	0.0236398712	0.0343400931	0.0433014289	0.039958497	-0.0780756893	-0.1520852695	0.1340561794	-0.0055678195	0.0216722101	0.0337395928	0.0530361909	0.1239159702	0.1400453171	0.0263270179	-0.0107717062	0.0083657394	0.1219324157	0.0289822242	0.0794404214	-0.0127104957	0.0574194714	0.0687479747	0.0540899785	0.1147048067	0.1124192083	0.108643553	-0.0213105	-0.01278898	0.00045413741025	0.0001635580094404	-0.0323681	0.0145641	0.00021211300881	0.0010476938976099	-0.120861	0.02635	0.0006943225	0.0146073813209999	-0.00272344	-5.672000000000012e-05	7.417125433600001e-06	3.2171584000000132e-09	0.00148001	0.0004052599999999	1.6423566759999997e-07	2.1904296001e-06	-0.000576653	0.000200587	3.32528682409e-07	4.0235144569e-08
2664.669593408479	2.2198194165321183	7100464.04203571	4.927598242012994	3832.775100449465	-10.080836362395075	101.62326176538676	14690164.970625406	2812.6418838023965	2.7588929269140863	7910954.366519494	7.611490182176574	3086.8071970380565	2459.2445496694368	1.087538	21.561459	0.073809591	0.0359812	-0.0560579174	-0.0668762219	0.0929364203	0.1118964919	-0.0336995336	-0.0080799315	-0.0146034277	-0.0323970505	0.0388996269	-0.0257184084	0.1702452936	-0.116072945	-0.0581583133	-0.0166331093	0.069058705	0.1166862179	0.0368275907	-0.0451965939	-0.0130983429	0.0697488929	0.0311698765	0.1544743257	0.023105044	0.0891094972	-0.1429579102	-0.0828247001	-0.0870011327	-0.0350502587	-0.1468812093	-0.05693045	-0.064900316	0.1117829119	-0.0922312048	0.0074296403	0.0124247007	-0.1664048131	0.0106560235	-0.035804527	-0.0318089762	-0.0076536506	-0.0025115262	-0.1390037773	-0.037564621	-0.0511927186	-0.0581309558	-0.0530282302	0.0393629572	0.059348336	-0.0825153886	0.1425959105	-0.0287316032	-0.0026550419	-0.0088260794	-0.0224284119	0.0218968477	-0.0404942075	0.0114435801	0.0322571735	-0.0747159985	-0.0806665923	-0.0711635298	0.0646294405	-0.1516513051	0.0966517875	-0.0290994452	-0.0580990142	-0.1040877152	0.0782809023	0.0438423323	0.0198731714	-0.0556950276	0.1247976619	-0.0638531594	-0.0882449627	0.1093278083	-0.0073215524	0.0231708103	-0.0710082658	-0.0937144357	-0.1599474528	-0.0372708533	-0.0397413354	-0.0426088036	0.1371576412	0.153584138	-0.0007756219	-0.0764992426	-0.1058175326	0.0246527954	0.2176983493	-0.1409244816	0.0343959169	0.0814644617	-0.0855296225	0.0389104317	-0.0387561973	-0.0331426927	-0.0617855182	0.0410680227	0.0020604669	-0.0798122106	0.0314352177	0.0330269208	-0.0464616254	-0.1048794855	-0.0502937476	-0.0998525498	-0.0024337836	-0.1144235204	0.1988092429	-0.1660353112	0.028772354	-0.0006418222	0.0182635276	0.1144017065	0.1112164334	0.105973176	7.1941e-05	0.021382441	5.175507480999999e-09	0.0004572087831184	-0.052991	-0.0206229	0.00042530400441	0.002808046081	-0.115295	0.005566	3.098035600000002e-05	0.0132929370249999	-0.00265545	6.798999999999998e-05	7.051414702500001e-06	4.622640099999997e-09	0.00113781	-0.0003421999999999	1.1710083999999997e-07	1.2946115961e-06	-0.000691228	-0.000114575	4.77796147984e-07	1.3127430625e-08
2678.12421138764	13.454617979160956	7172349.291620669	181.0267449651613	3836.6590329115415	3.8839324620767	15.084931369973178	14719952.534821725	2814.8211728079964	2.1792890055999123	7923218.234888184	4.749300569928654	3085.356703385871	2471.6346977906887	1.008623	19.996904	0.054878689	0.0308955	0.0033396419	-0.0645353064	0.0038035805	-0.0755794112	-0.1016895987	0.0502053566	-0.0237244151	0.0564850819	0.1381922911	0.0680924571	-0.0534231089	-0.1769306198	0.0551064213	0.07585007	-0.1282049186	0.0542315296	0.07018251	-0.0585758194	-0.073439143	-0.0427037522	-0.0009810043	-0.0229733973	-0.1871393046	-0.033277796	0.0228756057	0.0012864871	-0.0286719448	-0.1333304168	-0.0735483075	-0.0491188882	0.0110768234	0.0779648662	0.021549251	0.0150839149	0.0786707901	0.0407113029	0.0845530914	-0.0178983419	0.0288965872	0.1926029739	-0.0962515836	0.0762974794	0.0726598797	-0.1237192595	-0.0484035324	0.0152339408	0.0112686085	0.0445278368	0.118066762	-0.1445775125	0.0007577388	-0.0701011452	0.1026516891	-0.0618643511	0.0889392602	-0.0794479266	0.0246305078	-0.0205588953	-0.1728631335	-0.0215858672	-0.1036273626	-0.0652652712	0.1468132018	0.0400365693	-0.0823017272	-0.0765481959	0.0658845462	0.0761913806	0.0835655503	0.182667665	0.0048035979	0.0227311117	0.0713418481	0.0239141793	0.0380339164	0.0149075662	0.0558410649	0.016898919	0.0409449523	-0.1301921249	0.0954099204	-0.054796631	0.0699898692	0.0080976156	0.0958689624	0.044268119	-0.0081628958	0.0781619907	0.0439028677	-0.2142091458	-0.1258740838	0.0099881787	0.0243196059	0.0217856718	0.0487016101	0.0192674588	0.0383008851	-0.1544781181	-0.1016485875	0.0087675884	-0.0271888605	0.0301653679	-0.0644736757	-0.0285396539	0.0177906275	-0.0518623398	-0.0608824469	0.0162987977	0.0909895931	0.0329438059	-0.0055345489	0.0136035263	-0.027223036	0.036945274	0.1140484259	0.1098185471	0.1028845713	0.00561913	0.005547189	3.15746219569e-05	3.0771305801721e-05	-0.0323274	0.0206636	0.00042698436496	0.00104506079076	-0.117914	-0.002619	6.859161000000054e-06	0.013903711396	-0.00225406	0.00040139	5.0807864836e-06	1.6111393210000014e-07	0.00107475	-6.305999999999998e-05	3.976563599999998e-09	1.1550875625e-06	-0.0006347	5.6528000000000025e-05	4.0284409e-07	3.1954147840000027e-09
2670.975585820873	-7.148625566766896	7134110.580051157	51.10284749383332	3846.540027575669	9.880994664127227	97.63405555251076	14795870.183741828	2805.7132664626483	-9.107906345348056	7872026.933604504	82.95395799563138	3085.821150226372	2524.0600164847	1.097634	21.761631	0.08127379	0.0448571	-0.13095696	0.1017424128	-0.1153194886	-0.0259931246	0.0115928907	0.0349234238	-0.0507935022	-0.1839010052	-0.0395012936	0.0823058825	0.0582601076	-0.0158458468	0.035764889	0.1243398323	-0.0624820785	0.1357326528	-0.069277611	0.0422559675	-0.0049871224	0.1774184438	0.0435864151	0.0705717218	-0.0416656732	0.1439589538	0.0189382608	0.0120130391	-0.1275178451	-0.1067376259	-0.0085906363	0.0017543022	-0.0396345834	0.0631778787	-0.0184454693	0.1058852195	0.024272834	-0.0538836722	0.145408197	0.025699804	0.0201914767	-0.1451105166	-0.0484595549	0.1256169349	-0.1923905326	-0.0677665839	-0.053135531	-0.063970414	-0.0686766753	-0.0954004621	-0.0558546975	-0.0218894317	0.1220526201	0.0900334849	0.0554405828	-0.0716029855	-0.0862968211	0.0521317588	0.0041603709	0.1164527298	0.0475820256	-0.134101367	0.0329696222	0.0751328427	-0.0233827498	-0.0183226452	-0.0469570074	-0.0278092904	0.0401014486	0.1739931254	-0.0076010777	0.0202736055	0.1142180893	0.0336813196	0.0888547417	0.0507032293	0.0235988448	-0.0311640992	-0.0333440574	-0.0028135665	-0.0276869061	-0.1042410363	-0.0173482627	0.0068504613	0.1507581537	0.1598463543	0.0262779949	-0.0922902546	0.0396346544	0.072750506	-0.1337918143	-0.0908602506	-0.0415724085	-0.0442551543	0.0056380825	-0.0438637144	-0.1224423833	0.1310292555	0.0040271598	0.0642784591	-0.1561028526	0.0285842578	-0.0553784702	-0.0743787976	-0.0301851472	0.0867612396	0.0207404514	0.1250816945	0.0457424079	-0.0374831339	0.021172343	-0.0924314525	-0.0174172702	-0.0356110937	0.1718996181	-0.0146421465	0.1136451198	0.1082280018	0.0993899282	0.00628872	0.00066959	3.95479992384e-05	4.483507681000004e-07	-0.0324513	-0.0001239	1.5351210000000788e-08	0.00105308687169	-0.104652	0.013262	0.000175880644	0.0109520411039999	-0.00154013	0.00071393	2.3720004169e-06	5.096960448999999e-07	0.000712104	-0.000362646	1.31512121316e-07	5.070921068159999e-07	-0.00036691	0.0002677899999999	1.3462294810000002e-07	7.171148409999999e-08
2663.319634412457	-7.655951408416058	7093271.475046905	58.61359196802783	3840.2619191182007	-6.278108457468079	39.41464580373222	14747611.607429406	2811.1340440652307	5.420777602582348	7902474.613702538	29.384829816658424	3090.834706715802	2447.7318137168736	1.095153	21.712437	0.0354865753	0.0159813	0.0686530496	-0.0204230028	-0.0362329758	0.1427968867	0.0183314579	0.0486480724	0.068516228	-0.0177961805	-0.1133859323	-0.0702126281	0.0698934185	-0.0729257609	0.1245855693	0.0275268283	-0.0779328953	-0.0472828463	-0.0160122765	0.0139073158	0.0991028477	0.0626830777	0.1111552886	0.0405558591	-0.0328411319	-0.046857231	-0.0807733221	0.0003199045	0.0175841561	-0.0955693207	-0.029244577	-0.077774108	-0.0016798586	0.0385415546	0.1183316656	-0.0695948183	0.0611882534	0.0400100352	0.0856092246	-0.0183515803	0.0449290468	0.0137658161	-0.067932011	0.0637767955	0.072075545	0.003688369	-0.0636627345	-0.0904331197	0.1071087696	0.0092100145	-0.0580866365	0.0440982288	-0.1739831807	0.0678061236	0.0690634702	-0.0248297198	-0.0792595444	0.0710380271	-0.102556516	-0.0229960994	-0.016454958	-0.0674197484	0.0664752652	-0.0111758025	-0.0553262364	0.0253634388	-0.0521454308	-0.0569264803	-0.0214502768	-0.1119104605	0.0824676433	0.0340747222	-0.0444177873	-0.0806052062	0.1131341084	-0.017502612	-0.0237881798	-0.026087223	-0.2197025011	0.0100478858	0.0059479698	0.0742642032	0.0596936156	-0.0336073623	0.0511373769	0.0892367425	-0.0170866702	-0.0251718634	-0.064940919	-0.0006515163	0.1767553129	-0.0871790168	-0.0315324183	-0.0119279648	0.0246243753	0.0208598339	-0.0756947214	-0.094618285	-0.0028782791	0.0355049595	0.0829915398	-0.0162643528	-0.0697842601	0.0714137177	0.052945738	-0.005964629	-0.1221319577	0.1901957115	0.0898833042	-0.1212309799	-0.0026695945	0.0379017194	-0.049481653	0.134228887	0.0305814722	0.0030772087	0.1131919653	0.1064475877	0.0955030384	6.21447e-05	-0.0062265753	3.8619637380900006e-09	3.8770239966570096e-05	-0.0285954	0.0038559	1.4867964810000018e-05	0.00081769690116	-0.0952971	0.0093549	8.751415400999999e-05	0.00908153726841	-0.00142191	0.00011822	2.0218280481e-06	1.3975968400000012e-08	0.000675484	-3.662000000000001e-05	1.341024400000001e-09	4.56278634256e-07	-0.000533054	-0.000166144	2.841465669160001e-07	2.760382873600001e-08
