global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
2576.636948476781	n/a	n/a	6639057.964255738	3087.9223203337588	n/a	n/a	9535264.256415425	2757.437779435094	n/a	n/a	7603463.107455942	2753.124631158604	2117.7167809926545	n/a	n/a	n/a	n/a	-0.0584699462	-0.0748822962	-0.0387490714	0.0665658054	0.0512633012	-0.134314146	0.1252503097	-0.071281232	-0.2265361482	0.1161247075	-0.0623431871	-0.025104497	0.1507297667	-0.0991223563	0.1260353249	-0.0896235297	0.1778958744	-0.0047375268	0.078352307	-0.0808179245	0.006702115	-0.0119708257	0.1133886384	-0.068376731	0.0466033996	-0.0299784596	0.0262163354	-0.1351332454	0.0067761005	-0.0111312334	0.0112969963	-0.1072258507	0.089594752	-0.0023546655	-0.0841402818	0.1040784205	-0.0951662498	-0.0045363444	0.0668019975	-0.1176736257	-0.0105640989	-0.0155958864	0.1298005931	0.1238733891	-0.1738348644	0.1201178266	0.0431991531	-0.0019857639	-0.1525967471	0.20813609	-0.069924408	0.0312245713	-0.0227624539	0.1795007057	-0.0435370005	0.009461609	-0.1871191815	0.0014095373	-0.0969948278	0.1815474548	-0.0208976321	-0.0108988604	1.72638e-05	-0.1145264271	0.0490005631	-0.0428795968	0.0068004443	-0.051711665	0.0185177331	-0.0323864447	0.0679517798	-0.0918111888	0.1094947827	-0.0936341909	0.0898790987	-0.0745223233	0.0834509067	0.0232359979	-0.078308765	-0.0478447905	0.0865478889	-0.0600825246	0.014274302	0.0177432526	-0.0857307853	-0.1772247576	0.1013859121	-0.0354343349	0.0894421337	-0.1869051265	0.018969127	0.0357602491	-0.0610940665	0.1454494481	-0.1665095505	0.0217709975	-0.1100319085	0.1093534263	-0.1254109068	0.141280235	-0.184143605	0.0698412441	-0.0108743717	-0.0277597005	0.0656432804	-0.0030803662	0.0289412028	-0.0655930267	0.1154637225	0.1154447293	0.1154130763	-0.00877959	n/a	n/a	7.70812005681e-05	0.0545173	n/a	0.0029721359992899	n/a	-0.21323	n/a	0.0454670329	n/a	0.00147246	n/a	n/a	2.1681384516000003e-06	0.00118611	n/a	1.4068569321e-06	n/a	0.000217338	n/a	n/a	4.7235806244e-08	0.0	0.0	0.0	0.0
2576.591822823249	-0.0451256535320681	0.0020363246066962	6638825.421439633	3081.1418577514323	-6.780462582326436	45.97467283032888	9493435.147587948	2755.850806735375	-1.586972699718899	2.518482349653091	7594713.668984017	2751.0444017178934	2118.202684513397	0.8814499999999998	14.894207	0.04278278	0.0237828	-0.0826431211	-0.0730004071	-0.0593227772	0.082514223	0.0355853598	-0.1396225516	0.1031299177	-0.0328330229	-0.2178102755	0.1318000425	0.0020875943	-0.1014389142	0.0150235346	-0.0756968261	0.1197297014	0.0269774487	0.1122511697	0.1180345068	0.0737249812	-0.0537302069	-0.1372526798	-0.0040973773	0.1446751666	0.0801438652	-0.0093721235	-0.0953781401	-0.0112598595	0.004633828	-0.1067345862	0.1244304428	-0.0783068095	-0.0771330304	-0.0368418946	0.0143846811	-0.0301147324	0.0235983651	-0.0341511635	0.0488982451	-0.0262157406	0.0368290341	0.0475508996	-0.0429946711	-0.0732941268	0.0054888693	-0.1038281927	-0.0029114641	0.0218812394	0.0909066457	-0.1355488161	0.2209103137	-0.0318382892	0.1008765098	0.0289699447	0.154975415	0.0785007633	0.0248966379	-0.1315012593	0.0258351202	-0.1725504814	0.0314868562	-0.1106751127	0.0087108832	-0.0563913334	-0.1204033078	0.0746770817	-0.1396835972	-0.078768335	-0.0390831935	0.0028447057	-0.0574150513	-0.0612911192	-0.0520764538	-0.0235408093	-0.1242213606	-0.0804220471	-0.0094484779	0.0236716161	-0.0857105841	-0.0603057339	-0.0926956	0.0624136531	0.0609421674	0.0380996941	0.0585854509	-0.0969150819	-0.1881150142	0.0814757433	-0.0768008625	0.1275305997	-0.1207441091	-0.0200220536	0.0695427194	-0.0209000445	0.12252589	-0.0800322062	0.048806409	-0.0791887225	0.0638499902	-0.2253409456	0.1335158956	-0.0216497571	0.0691519471	-0.0211326094	0.0667194471	0.0904604916	0.129255342	-0.0481531932	0.0517550529	0.1154130763	0.1152422001	0.1149575937	0.00018089	0.00896048	8.02902018304e-05	3.27211921e-08	0.0544458	-7.149999999999518e-05	0.00296434513764	5.11224999999931e-09	-0.210278	0.002952	0.044216837284	8.71430400000006e-06	0.00181218	0.0003397199999999	1.1540967839999998e-07	3.2839963524e-06	0.000932106	-0.0002540039999999	8.68821595236e-07	6.451803201599998e-08	0.00023959	2.2252000000000003e-05	4.95151504e-10	5.74033681e-08	0.0	0.0	0.0	0.0
2580.963943366143	4.3721205428942085	19.11543804159755	6661374.876956112	3103.159779515023	22.017921763590493	484.7888787875919	9629600.617199725	2756.530127027744	0.6793202923690842	0.461476059624418	7598458.341211591	2753.6927560948857	2129.643744135705	0.953675	16.114613	0.0718135507	0.0389211	-0.0633571942	-0.0438657554	-0.0792343605	0.066254136	0.1028470267	-0.0659256894	0.1220345757	-0.0619978311	-0.2165032817	0.0948023587	-0.029240911	0.0018028923	0.1043607275	-0.1043656921	0.0022815512	-0.0607233854	0.143277126	0.0163691159	-0.11672972	-0.0994818348	-0.1440787878	-0.1321221623	0.134363711	0.0550520718	0.0403284474	-0.0212765643	-0.08270065	0.0107066879	0.1347821606	0.0358291462	-0.0098613939	0.13921475	-0.0122036475	-0.0317807576	0.0352615078	0.0336891587	0.0533148082	0.0691345013	-0.019612231	0.0635650445	-0.0377209254	-0.0393177318	-0.0657979317	-0.203062649	-0.0786829611	-0.0011807736	-0.0084521368	-0.0685207557	-0.1549916016	0.194528874	-0.0238941298	-0.0381924478	0.0212016508	0.0657743677	-0.0501713007	-0.0539908062	-0.1918397587	0.1317582392	-0.065576653	0.0461011133	0.0065543912	-0.0456013293	0.0715715146	-0.0082703656	0.0652305684	-0.1602425648	0.0507279657	0.0276944513	0.0278290142	0.0518932606	-0.1162435512	0.0554809926	-0.0337752327	0.1472594481	-0.0723133517	-0.0098518914	-0.0696400287	0.0323829181	0.105284071	-0.0205157451	-0.0032160569	-0.0684628638	0.0138278544	0.1534983285	-0.078757581	-0.14123438	0.087468089	0.0063042954	0.1856740145	-0.1042621383	-0.0038621556	-0.027603041	-0.1011970716	0.0590892696	-0.0659625627	0.0936774834	-0.0905241383	0.1878381719	-0.1432869815	0.0061525911	0.0027406681	0.0712583155	-0.0948254784	-0.0679022057	0.085735293	0.1111157251	0.0521084304	0.0056151932	0.1153118061	0.1148374968	0.1140484259	6.82893e-05	-0.0001126007	1.2678917640490002e-08	4.6634284944900005e-09	0.0511425	-0.0033033	0.00261555530625	1.0911790890000014e-05	-0.194483	0.015795	0.037823637289	0.000249482025	0.00149048	-0.0003217	1.0349089000000005e-07	2.2215306304e-06	0.000811614	-0.000120492	6.58717284996e-07	1.4518322064000011e-08	-0.000370271	-0.000609861	3.7193043932100005e-07	1.3710061344099998e-07	0.0	0.0	0.0	0.0
2570.0091537502817	-10.9547896158615	120.00741552778696	6604947.050360239	3079.599844260037	-23.559935254985703	555.0705492191182	9483935.200766444	2741.31804812218	-15.21207890556434	231.4073446291156	7514824.640960397	2735.416778088396	2120.5095511377176	1.054796	17.823303	0.0748237893	0.0439085	-0.1068714314	-0.0065856597	-0.0474397487	0.1175638506	-0.0142545732	-0.0043328588	0.1691362737	-0.1315997902	-0.0675789831	0.0927111255	-0.0123501037	-0.1576786635	-0.0321221193	-0.1144980103	0.0708895317	0.1182040209	0.0041356831	0.1036046666	-0.035212266	-0.0576181967	0.027540657	0.0590985492	-0.0449515378	-0.0198345301	0.1485023377	-0.0601886608	0.0361024091	0.0768852267	0.0871102027	-0.0249639518	0.0250809472	0.0769770941	0.0217161495	-0.0285131348	-0.0686056655	0.0235969561	0.1739383791	-0.22196423	-0.140781029	0.0245147344	-0.1021387904	0.1706959561	-0.0006446596	-0.1141828932	0.0804050717	-0.0601357047	0.0450853897	0.0722395007	-0.0168972635	0.1162659273	-0.0205661227	-0.0439922353	0.0206332435	0.1619499555	0.2353359421	0.0583481723	-0.0481556533	0.0519731639	-0.039207083	-0.1168251831	0.0182015657	0.1030143325	-0.0080110158	0.0489142814	-0.0469253382	-0.0606086544	-0.0455674531	-0.0401646521	0.034774114	-0.0030510787	-0.1224027642	0.1563263627	-0.0434372656	0.0406228569	-0.0443125826	-0.0209156492	-0.0504771311	0.0829273479	-0.0839435877	0.1486018986	-0.0240158435	0.0239226681	-0.2116202464	-0.034570352	-0.1138932162	-0.2041217151	0.0729065268	0.068783309	0.0193509622	-0.0546491637	-0.0504938224	0.2160746145	0.0607323236	0.123799669	-0.0895339187	0.1134457632	-0.0450081909	-0.0586774714	-0.0370497067	0.0697862812	0.07080646	0.10420848	0.1075350953	0.0996180269	-0.099689137	-0.1784241415	-0.141090356	-0.0500440804	0.1151599564	0.1142313295	0.112689161	-0.0300556	-0.0301238892999999	0.0009074487065586	0.0009033390913599	0.0581837	0.0070411999999999	0.00338534294569	4.957849743999996e-05	-0.194488	-5.000000000005e-06	0.0378255821439999	2.5000000000050003e-11	0.00152321	3.273000000000013e-05	1.0712529000000084e-09	2.3201687041000005e-06	0.000932106	0.000120492	8.68821595236e-07	1.4518322064000011e-08	0.000229581	0.000599852	3.59822421904e-07	5.2707435561e-08	0.0	0.0	0.0	0.0
2555.567292555911	-14.441861194370633	208.5673547574683	6530924.18678155	3034.87517189556	-44.7246723644771	2000.2963181098216	9210467.308988106	2720.2414888954468	-21.076559226733025	444.221348837985	7399713.757908117	2711.608329095982	2116.128340644014	1.088156	18.387005	0.1602261475	0.0965892	-0.1067287939	0.0232106443	0.0036864726	0.1211281488	-0.1100976147	0.1767326022	-0.1097726785	0.0759430677	0.1448075182	0.1404541246	0.1089553863	-0.1845596749	-0.1024086467	-0.0104263872	0.2698700344	0.1364980304	-0.1593986748	0.0472506505	-0.0091750477	-0.0666667076	0.0598938102	0.0277760689	0.0406308601	0.0543145118	0.1102063972	0.0148963811	0.110898603	0.031372025	0.1220467999	-0.0666599778	0.0445272414	-0.0289546459	-0.0459082419	-0.1138010655	0.0039152264	0.030479276	-0.2064695689	-0.0662376295	-0.1345364556	-0.1600549827	0.0655742505	0.1028999509	-0.1346708117	0.0133834867	0.0145371672	-0.0748905077	-0.0549176949	0.0768717225	0.194865837	0.0306969366	0.1259040112	0.0145758351	0.0598276634	0.0064495313	0.3750139666	-0.1092905393	0.1077101531	-0.109851011	-0.1519320491	0.0338802052	0.0723999613	0.0459466849	-0.0826596942	-0.0121454747	-0.0512004992	-0.117770998	-0.0413381377	-0.0972679235	-0.0420574705	0.0418943891	-0.0672315004	-0.0381981872	0.0091738676	-0.067527457	0.1251551193	-0.1593701037	-0.1093927805	0.067389798	-0.0498910512	0.0861926278	-0.0729933828	0.123725862	-0.1439719141	-0.0747344755	-0.1170688285	-0.2352413753	-0.049317336	0.0076761846	0.144140315	0.10169383	0.0097918006	0.2396360466	0.1870381525	0.1312596431	0.0634801957	0.0923282983	0.0323758296	-0.1381687275	0.0278954969	-0.1083372942	-0.0687872128	-0.0351604582	0.0803676548	0.0802733701	-0.2063338514	-0.1488639282	-0.0268866252	-0.0380009473	0.1149575937	0.1134247617	0.1108851636	-0.018133	0.0119225999999999	0.0001421483907599	0.000328805689	0.0612944	0.0031107	0.0037570034713599	9.676454490000004e-06	-0.274466	-0.079978	0.075331585156	0.0063964804839999	0.00153829	1.5079999999999998e-05	2.2740639999999996e-10	2.3663361241e-06	2.68705e-06	-0.00092941895	7.2202377025e-12	8.638195846191025e-07	-0.000130217	-0.000359798	1.29454600804e-07	1.6956467088999998e-08	0.0	0.0	0.0	0.0
2554.1081886026727	-1.4591039532383547	2.1289843463557947	6523468.639087226	3059.0150633448648	24.13989144930474	582.7343591842161	9357573.157770786	2719.207071313904	-1.0344175815425842	1.070019733004409	7394087.09668354	2714.713255647933	2150.703431402739	1.310873	22.150339	0.2154736025	0.135983	0.0084877798	0.0371714176	0.122028107	-0.1019759623	-0.0203567528	-0.0799032954	-0.0941964442	0.0197733444	0.1851575969	-0.0555902486	-0.1133251738	0.0007452815	-0.0261397494	-0.022764949	0.0497401475	-0.1895546095	0.1394018059	0.0150573712	0.027479983	-0.0118255904	-0.0569716593	-0.0736852622	0.0784229882	0.0340428968	-0.0344168501	0.0829970197	-0.0836312024	-0.0148213021	0.0324958538	0.0115628572	0.0774816953	0.0406677277	-0.0469669277	0.0314812711	0.0115632991	0.0671053487	-0.0398364667	-0.0595013392	-0.1633980998	0.0492980506	-0.100069568	-0.0826128521	0.0007502754	0.0415572679	-0.0044715049	-0.0411503356	-0.1792907264	-0.0930337937	0.1271374217	-0.1430202659	-0.1143583501	0.0512505772	-0.0480926645	-0.0822164415	0.0018523551	0.0801618521	-0.2150846256	0.0347435532	-0.069934728	0.1040472883	0.0028014809	-0.0916652857	-0.0523528947	0.0282138121	0.0491440811	0.0387102443	0.1134285107	0.0092756213	0.0353926107	0.0189948708	0.029686465	-0.0386429966	0.0326662233	0.1136060417	0.0999550087	-0.0566858088	-0.0902104393	-0.0952527445	0.0453948457	-0.1525393552	-0.0957814014	0.1058465754	-0.0515623572	0.0316792471	-0.037139906	-0.1783073092	-0.0483065046	0.1145064332	0.0580260851	-0.0290581573	0.2079338067	-0.1081485387	-0.1042518734	-0.1379452098	0.0018117772	0.053346551	-0.0230086066	0.1982249906	0.0891037615	-0.2837183158	0.1267102566	-0.1300345802	-0.0022273261	-0.0866866748	0.0224254533	0.0130019775	0.103507566	0.1815851775	0.1147048067	0.1124192083	0.108643553	-0.0314636	-0.0133306	0.00017770489636	0.00098995812496	0.0544037	-0.0068907	0.00295976257369	4.748174649e-05	-0.146743	0.1277229999999999	0.021533508049	0.0163131647289999	0.00205443	0.0005161399999999	2.6640049959999977e-07	4.220682624899999e-06	-0.000111938	-0.00011462505	1.2530115844e-08	1.31389020875025e-08	-0.000850038	-0.000719821	5.181422720410001e-07	7.225646014440001e-07	0.0	0.0	0.0	0.0
2561.25126414578	7.143075543107443	51.023528214539695	6560008.038088357	3063.48773995178	4.472676606915229	20.004836030046725	9384957.132834865	2729.00909810755	9.802026793645837	96.07972926335088	7447490.657553784	2723.7140372364584	2125.623142210146	1.093665	18.480091	0.0885799499999999	0.0403021	0.0051281092	0.0087768201	-0.066366467	-0.0190246465	-0.0096059725	0.0405441956	0.0129770346	0.0732145347	0.0712194284	0.0037165971	-0.0009099913	-0.1102234082	0.0767742851	-0.1808951048	0.1629256497	0.0323710884	0.0021621161	-0.0325677091	0.022405441	0.0903294587	-0.0440701179	0.1102587223	-0.1027441946	0.1416958343	-0.100209519	0.078096548	0.0552977911	-0.0159914492	-0.1258458573	0.0812627073	-0.0673405121	0.001801556	-0.0445860051	0.0601625334	0.0031245256	-0.0478630845	0.0448987398	0.1143715977	0.0926848396	0.0385957818	-0.0181854254	-0.096505599	-0.0831320383	0.1166711739	-0.0313342845	-0.0837590409	0.0032531941	-0.0968408428	0.0574921612	-0.0348998444	0.0049501772	-0.1022554169	0.0712949742	0.0327425868	0.1210238583	0.0105878078	0.0043165881	-0.0941189906	-0.0887831534	0.0930151033	-0.141513563	-0.1661844858	-0.0169037053	-0.1156127058	-0.03914925	0.0843628916	0.0842529204	-0.073026897	0.0751479547	-0.0999361415	0.0931775112	0.0813358786	-0.0560752772	-0.005134504	0.0050601544	0.1117072562	-0.0772715608	-0.1299445835	-0.0146287057	-0.0721794712	-0.0032432643	0.007202338	0.0126917485	-0.0861419607	-0.024723633	-0.2092747026	-0.0741451522	-0.022155532	0.0246622121	-0.0233128701	0.0111508883	0.0608799338	-0.1092271641	-0.0412429986	-0.0708364612	-0.1121572428	0.0266673929	0.0076490269	0.0896483041	-0.0550456237	0.0500202089	-0.1041599536	-0.1768943846	-0.0279130324	-0.0701085027	-0.1053004286	-0.0147489695	0.1427676277	0.1144017065	0.1112164334	0.105973176	-0.0108165	0.0206471	0.00042630273841	0.00011699667225	0.0377104	-0.0166933	0.0014220742681599	0.00027866626489	-0.146776	-3.299999999997749e-05	0.0215431941759999	1.0889999999985142e-09	0.00241375	0.00035932	1.2911086240000017e-07	5.826189062500001e-06	0.000103701	0.000215639	1.0753897401e-08	4.6500178321e-08	-0.000400866	0.000449172	2.01755485584e-07	1.60693549956e-07	0.0	0.0	0.0	0.0
2562.507756824663	1.2564926788827506	1.5787738520859511	6566446.003786566	3069.9190772799443	6.431337328164318	41.36209982863975	9424403.141047344	2732.082422574962	3.073324467412021	9.445323281993383	7464274.363743073	2729.426866329816	2146.677982192964	1.017826	17.198599	0.069669	0.0486813	0.0052943624	0.088520088	0.0093966238	0.011034822	-0.0248711751	0.1042087653	0.0533378902	-0.0163866008	0.0445651916	-0.0118124698	0.0506044051	0.0779689076	-0.0036342197	-0.0319096298	0.1499776569	-0.0666752291	0.0302077917	0.0105649769	-0.0268237837	0.0592457854	0.027091	0.1364635626	-0.0365948607	0.0118296883	0.0779548771	0.0050128354	-0.119864924	0.0472685722	-0.0018163177	-0.0028767917	0.0917500224	0.055186465	0.0415988872	0.1511842936	-0.0770454171	-0.0199971836	0.0654575554	-0.0388315372	0.0406712172	0.052727787	-0.0963621488	0.0139573316	-0.049060595	-0.0565232187	-0.2263523707	-0.0387264896	0.0991993196	0.0047610455	0.0221577448	-0.0232186961	0.059600649	-0.026119534	-0.0183796127	0.0371336785	0.0439233029	-0.0882663645	-0.1278496959	0.0721809649	0.140597723	-0.0270576988	0.0196300065	-0.112502799	-0.0444494367	-0.0604762257	-0.148500555	0.0430816581	-0.1432841477	-0.0100448397	0.1055121985	0.1058660961	0.0181124023	0.037535622	0.0311183175	-0.0046919932	0.1283009418	0.1833824764	0.0246670251	-0.0150887932	0.0027845695	-0.0543425476	0.0279273958	-0.0571300078	-0.112051804	0.1554912762	-0.0158859286	-0.0812557106	-0.040383134	0.0892273081	0.1106217941	0.1175429279	0.1075921605	-0.0718087983	-0.0769560056	-0.0344813185	0.0393135514	-0.0767837142	-0.0281411541	0.0713286206	-0.0283078134	-0.0591875253	0.001554981	-0.1326900548	-0.1230320985	-0.0977626872	-0.1170747355	-0.0032762529	0.1612407101	-0.0514965616	0.1140484259	0.1098185471	0.1028845713	-0.0158094	-0.0049929	2.492905041000001e-05	0.00024993712836	0.0378331	0.0001227	0.00143134345561	1.5055290000000825e-08	-0.125744	0.0210319999999999	0.015811553536	0.0004423450239999	0.00155519	-0.00085856	7.371252736000003e-07	2.4186159361e-06	0.000115569	1.1868000000000002e-05	1.3356193761e-08	1.4084942400000007e-10	-0.000400866	0.0	0.0	1.60693549956e-07	0.0	0.0	0.0	0.0
2550.574968393139	-11.932788431523932	142.39143975151137	6505432.669393662	3056.3079032031487	-13.611174076795578	185.26405974883195	9341017.999182029	2724.5231245551336	-7.559298019828475	57.14298655258271	7423026.2562356675	2722.702555218745	2146.018604652272	1.195758	20.205194	0.09821515	0.0527289	0.0187641167	-0.0123888872	0.1178211795	-0.0562907366	-0.0433348063	-0.1033562922	-0.0968085989	0.1379487385	0.1010871644	-0.0025278534	0.1747016976	-0.067071121	-0.1062948628	0.0561418669	-0.0617272145	-0.0499760234	-0.019768858	0.0425883003	0.0095576692	-0.0686945966	-0.0464415582	0.0469391181	0.010390094	0.0352966343	-0.0006610258	0.0127834658	0.0814263151	0.0953238102	0.0757484636	0.0933540087	0.0102619478	-0.0676957655	-0.0942730643	-0.0137678894	0.1192182185	0.0559321957	0.1182262698	0.124772951	0.0595762555	0.0375571914	-0.0824100657	0.0750254969	0.1110314423	0.0986323786	-0.048134136	0.0372364468	-0.1179878963	0.0076441986	0.0716374745	-0.0825490971	0.0820633499	0.1399839268	0.1553234715	-0.1190634012	0.0349882306	-0.0034583566	-0.0722774437	0.024712262	0.0474935762	-0.0111813171	0.0048785456	0.023411352	-0.0773646431	0.0359276272	0.0205060298	-0.0004186995	0.0124570026	-0.137956619	-0.0904637817	0.0800184631	-0.0305946718	0.0584851237	-0.1820267234	-0.0596662226	-0.0179643043	0.065985219	0.0579244014	0.0197385325	0.0531439565	-0.1022190078	-0.0746115531	-0.0623545334	-0.0057840134	-0.064924949	0.0066577981	-0.1043541923	-0.0347912719	0.0560398987	-0.0991218933	0.0006157724	0.104531418	-0.0338516125	-0.0288546373	-0.1090041645	0.1201601388	-0.0036187787	0.0749786826	0.0596674147	-0.0731320114	-0.0125707862	-0.0913006376	-0.235463872	-0.0026671009	0.0022700627	0.0326782396	-0.0088768913	0.0032647608	0.1009058046	0.1136451198	0.1082280018	0.0993899282	-0.011877	0.0039324	1.5463769760000008e-05	0.000141063129	0.0227366	-0.0150965	0.00051695297956	0.00022790431225	-0.0790986	0.0466453999999999	0.00625658852196	0.0021757933411599	0.00173769	0.0001825	3.3306250000000054e-08	3.0195665361000003e-06	0.000374825	0.000259256	1.4049378062500005e-07	6.721367353600001e-08	-0.000609927	-0.000209061	4.3706501721000015e-08	3.7201094532900003e-07	0.0	0.0	0.0	0.0
2555.6457002529983	5.070731859859279	25.712321594591945	6531324.945221638	3067.339633123259	11.031729920110138	121.69906503025322	9408572.424928728	2729.2571244049536	4.733999849820066	22.410754578096405	7448844.451115197	2726.858298855528	2112.7016044785387	1.121773	18.955038	0.0944027499999999	0.0680965	-0.0539289439	-0.0783677718	-0.0543904235	0.0674073553	0.0175044925	-0.0750083278	0.0109807945	0.0823001249	0.0750006609	0.0395134822	0.01940775	-0.0822522382	0.103586151	0.001477228	-0.0375652135	-0.0688185673	0.0692442708	0.0081215964	0.0001405465	-0.0490585042	0.0834430967	-0.0078110456	-0.0920527155	0.0215811033	-0.1898087299	0.0041223547	0.0198945179	-0.0664164717	0.0468848816	-0.1639714857	0.1408991664	-0.0315615519	-0.0652853731	0.1102934734	0.045153346	-0.0197733219	-0.1516810948	0.1360183914	0.1355315434	-0.1307119414	0.0041817849	0.0249381472	-0.0538276423	0.0103852521	0.1627543964	0.0200662238	0.1317621731	-0.0104562904	0.0697152413	0.0063586201	-0.096061503	0.0207363559	0.1100338494	0.041266161	-0.0389650324	-0.0568454437	-0.0465427136	0.0202890194	-0.0630725093	0.0818153849	0.0053297351	-0.0472583711	0.0364116746	-0.030638949	0.0420168086	0.1898798048	-0.1106656096	0.0863543144	-0.1950451131	0.0312669456	0.1006969324	0.0267299046	0.1022811695	-0.0077123808	0.1252923404	-0.0486545115	-0.0096313886	-0.1213076589	0.0309535598	0.1175863814	-0.0764475026	-0.0289654975	0.0819116763	-0.1234441944	-0.0595301024	-0.0474922662	0.0379166492	-0.0191886561	-0.0157136621	-0.0773607575	-0.0414588125	-0.0059583257	-0.0496995478	-0.035644698	0.074078937	-0.0724386196	0.0793549714	0.0141035784	0.0716762664	0.1136153856	-0.0473916227	-0.0078464193	0.0223640222	-0.039481	-0.000600851	0.0564638773	-0.0573184844	-0.106501005	0.1131919653	0.1064475877	0.0955030384	-0.0110605	0.0008165	6.66672250000002e-07	0.0001223346602499	0.016582	-0.0061546	0.000274962724	3.787910116e-05	-0.143084	-0.0639853999999999	0.0204730310559999	0.0040941314131599	0.00171938	-1.8310000000000114e-05	3.352561000000041e-10	2.9562675844e-06	0.000384122	9.296999999999962e-06	1.4754971088399998e-07	8.643420899999929e-11	-0.000168609	0.000441318	1.94761577124e-07	2.8428994881000005e-08	0.0	0.0	0.0	0.0
