onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-51	ses-1	1	1.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	0.03	2.0	2.03	2.0	295.0	4.373	1.655
n/a	n/a	sub-51	ses-1	1	2.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	6.041	2.0	8.041	2.0	295.0	10.384	1.655
n/a	n/a	sub-51	ses-1	1	3.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	12.052	2.0	14.052	2.0	295.0	16.395	1.655
n/a	n/a	sub-51	ses-1	1	4.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	18.062	2.0	20.062	2.0	295.0	22.405	1.655
n/a	n/a	sub-51	ses-1	1	5.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	24.073	2.0	26.073	2.0	295.0	28.416	1.655
n/a	n/a	sub-51	ses-1	1	6.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	30.084	2.0	32.084	2.0	295.0	34.427	1.655
n/a	n/a	sub-51	ses-1	1	7.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	36.095	2.0	38.095	2.0	295.0	40.438	1.655
n/a	n/a	sub-51	ses-1	1	8.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	42.105	2.0	44.105	2.0	295.0	46.448	1.655
n/a	n/a	sub-51	ses-1	1	9.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	48.116	2.0	50.116	2.0	295.0	52.459	1.655
n/a	n/a	sub-51	ses-1	1	10.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	54.127	2.0	56.127	2.0	295.0	58.47	1.655
n/a	n/a	sub-51	ses-1	1	11.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	60.137	2.0	62.137	2.0	295.0	64.48	1.655
n/a	n/a	sub-51	ses-1	1	12.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	66.148	2.0	68.148	2.0	295.0	70.491	1.655
n/a	n/a	sub-51	ses-1	1	13.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	72.159	2.0	74.159	2.0	295.0	76.502	1.655
n/a	n/a	sub-51	ses-1	1	14.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	78.169	2.0	80.169	2.0	295.0	82.512	1.655
n/a	n/a	sub-51	ses-1	1	15.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	84.18	2.0	86.18	2.0	295.0	88.523	1.655
n/a	n/a	sub-51	ses-1	1	16.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	90.191	2.0	92.191	2.0	295.0	94.534	1.655
