global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
3287.3390322304567	n/a	10806597.912825877	n/a	3627.445065316401	n/a	n/a	13158357.701888308	3291.831706972683	n/a	n/a	10836155.987030689	3314.0012571027632	2944.2902197897065	n/a	n/a	n/a	n/a	-0.1761010627	-0.0432484884	0.0615467608	-0.0154269185	0.0303018819	-0.1270188195	0.1518696357	-0.0928463386	0.0898003744	-0.0521467539	0.0596793854	-0.0068428458	-0.0903944202	0.1296113023	-0.0362396729	0.0215006314	0.111683352	-0.0707634934	0.0302859023	-0.0310812934	0.1099020073	-0.0654990658	0.0411822144	-0.0773578493	0.0168539041	-0.0188652845	0.0414163409	-0.0124791004	0.0137343274	-0.0554441855	0.1013675755	-0.0841631477	0.0183343277	-0.0892517588	0.0388863413	-0.1649802244	0.0208571366	-0.015899312	0.0207693511	0.0336973939	-0.0697583557	0.1309113685	-0.0383590709	-0.0351837511	-0.0030166831	0.1211642048	-0.0179635924	-0.0006256486	-0.0387766676	0.078385518	0.0314703093	0.0447098226	-0.0541062481	0.0828880577	-0.0165505704	0.0552781862	-0.1888783121	0.0681317918	0.1140502205	-0.0170132577	0.0752476534	-0.0099367403	0.1162172458	-0.056516915	0.0579669482	-0.0838703932	0.0116359693	0.0263947732	-0.101978274	0.0281795148	-0.0001854711	0.0316727013	-0.0753806792	0.0704421294	-0.0631219387	0.0512453555	-0.0247538763	0.035093043	-0.0600240612	0.0669521884	-0.1159050674	0.0848334238	-0.0854335394	-0.0666632948	0.0560828129	-0.0524895003	-0.1398425819	0.0713470796	-0.0018184012	-0.0526770667	-0.0216871942	-0.021584913	0.1751400827	-0.1015893033	-0.1251090005	0.0871462093	-0.0372658993	0.0129583183	-0.0045198536	0.0986281178	-0.1182837985	0.0115684243	-0.1283006942	0.0676137699	-0.019684589	0.0082797714	-0.0091828078	0.1212863424	-0.1766417028	0.1949851285	-0.0327133382	0.0262376393	-0.0224766783	-0.0575897761	0.0458965144	-0.0646467428	0.1847144549	0.1154637225	0.1154447293	0.1154130763	-0.000115724	n/a	1.3392044176e-08	n/a	-0.0411423	n/a	0.00169268884929	n/a	0.0563895	n/a	n/a	0.00317977571025	-5.293960000000001e-23	n/a	2.802601248160001e-45	n/a	0.000636287	n/a	4.04861146369e-07	n/a	0.000699055	n/a	n/a	4.88677893025e-07
3288.821744158593	1.4827119281362684	10816348.46485037	2.1984346618375707	3640.009037574431	12.56397225803039	157.85339890055724	13249665.793623537	3292.78222165433	0.9505146816468368	0.9034781600261876	10842414.759242823	3316.7781676452187	2945.823076583954	0.968539	14.919947	0.041947376	0.0212531	-0.1891765392	0.0937904613	-0.0841842857	0.0055197933	-0.004509401	-0.0998127467	0.0062915749	-0.0448262572	0.1270980671	-0.0078356433	-0.0053651287	-0.1312146309	-0.1029116088	0.0455303757	-0.0287010726	0.0747118444	0.0695297424	-0.0650302971	0.0352432851	0.0619379006	0.0469944778	-0.0445453745	0.0470596947	0.1255004428	0.0733740382	0.0420632377	-0.0506269366	-0.0119183099	-0.0831017693	0.1119765949	0.1122435189	0.0010378717	0.0250267593	-0.1143585472	0.0872095963	0.0529032191	-0.0482618092	0.020248074	-0.0190042525	0.0075152489	0.0063409457	0.0148421116	-0.0990805327	0.0752137979	-0.0271452509	0.0310664258	0.0098287413	-0.0461687073	-0.093865098	0.0019584001	-0.116969895	0.1314328658	0.0170109293	0.1396591804	-0.0418871958	0.0261731145	-0.0664972078	-0.0634558584	0.0410686956	-0.0851694131	-0.0123178247	-0.0586749961	0.0748377304	-0.0344811566	-0.0575312048	-0.1555797894	-0.0203777588	0.0563627968	-0.0002885992	-0.0329488898	0.09804479	0.0342705372	-0.0452588871	0.003354934	-0.132756955	-0.0302352246	0.0173294628	0.0192838711	0.0811255528	0.0055018504	0.0777049621	-0.0022424388	-0.0368510324	-0.0079723732	0.007269711	-0.0311930869	-0.0040274944	0.0135421898	0.0317294715	0.0396419447	-0.1742608207	-0.0931624632	-0.1155567102	-0.1128571928	-0.0185237055	0.0275614531	0.1466334967	0.0644220563	0.0085396983	0.0262245276	-0.0205717691	0.0598159261	-0.2079547876	0.0260015653	-0.0574022399	0.0286516172	0.0703246192	0.1127069005	0.0410130879	0.0980996905	0.0691053798	0.0932417704	0.011928502	0.0502339484	0.0233237999	0.1118201354	0.0103893284	0.1154130763	0.1152422001	0.1149575937	-0.0121448	-0.012029076	0.00014749616704	0.0001446986694137	-0.0437919	-0.0026496	0.00191773050561	7.020380160000011e-06	0.0475295	-0.00886	7.84996e-05	0.00225905337025	0.000268707	0.000268707	7.220345184899999e-08	7.220345184899999e-08	0.000605579	-3.070800000000006e-05	3.66725925241e-07	9.429812640000035e-10	0.000767814	6.875900000000005e-05	4.727800081000007e-09	5.89538338596e-07
3296.250466633605	7.428722475011909	10865267.138782255	55.18591761074707	3675.187512936449	35.17847536201771	1237.5251287960868	13507003.255244002	3291.260536629357	-1.521685024973067	2.3155253152272834	10832395.919973765	3313.492056731724	3003.0267936120863	0.957146	14.74445	0.10307945	0.0557926	-0.0393240716	0.1459295299	0.0739010024	-0.0190349973	-0.0670270936	0.0816278061	-0.0637937284	-0.1237765314	0.0425796675	-0.028136109	0.1847349134	0.0024266489	-0.1068909683	0.1236856895	-0.0596652872	0.0600302959	-0.0318446992	-0.0469199781	-0.0051333337	-0.002206612	-0.0420232916	0.0499481223	0.147566075	0.05248777	-0.0134349967	-0.0301956922	0.0494861653	-0.0324612396	0.0981185768	0.1435207981	-0.0249260445	0.0337110184	-0.0573170798	-0.0417151393	0.0646154175	-0.1053706038	-0.0682461178	0.0145221997	-0.0227102642	0.1720999416	-0.044162243	0.051424002	0.1573810892	-0.0100382217	-0.0226892829	-0.047175263	0.0800276893	-0.0821154274	0.1007123951	0.0036571969	-0.0495507291	0.1792392177	-0.0090721531	0.1244733927	-0.0088081524	0.068553582	-0.0862823056	-0.0023702593	-0.1768015716	0.0248823223	-0.0218160267	-0.0498268007	0.0612569061	0.0044106647	0.0706949582	-0.0816882468	0.0049870037	0.0266863206	-0.0279405675	0.0720571397	0.0776480078	0.141805462	0.1161853926	-0.0213794362	-0.1060651247	-0.0053593293	0.0584250639	0.0648862807	0.0617371532	0.0068047406	-0.1344371146	0.0367982194	0.0586466344	0.0261459007	-0.019863135	0.0731910018	-0.0992662985	-0.0053289432	-0.0868097529	-0.0236651886	0.0380938067	0.0365866962	-0.0022287705	-0.1057667343	0.0287948748	-0.0128782554	0.0116530961	0.0821977746	-0.0812099776	-0.0214746519	0.0180552649	-0.0100386939	-0.0945498741	0.1054462412	-0.1337389083	-0.0780903075	0.0861061169	0.0630577553	0.0550781527	0.1103996534	0.0262675222	-0.0630625475	0.0794794915	0.0104990079	-0.0299529671	-0.0223946546	-0.0555389457	0.1153118061	0.1148374968	0.1140484259	-0.0156931	-0.0035483	0.00024627338761	1.2590432890000006e-05	-0.0267414	0.0170505	0.00071510247396	0.00029071955025	0.0204245	-0.027105	0.000734681025	0.00041716020025	0.000967637	0.00069893	9.36321363769e-07	4.885031449000001e-07	0.000206497	-0.0003990819999999	4.2641011009000014e-08	1.5926644272399996e-07	0.000777315	9.500999999999976e-06	9.026900099999954e-11	6.04218609225e-07
3291.190823367943	-5.059643265662089	10831937.035821358	25.59998997575973	3656.944845184348	-18.242667752100715	332.79492671353535	13373245.600720376	3289.7963320985154	-1.4642045308414708	2.143894908136692	10822759.906688849	3310.7700926687994	2962.630388703405	0.929172	14.31351	0.09699832	0.0485354	-0.087782796	-0.0191495118	0.115306234	0.0208279415	-0.0781080499	0.0051091553	0.1089157234	-0.0505560063	0.0571505948	0.0475569398	-0.0344124337	0.0114509169	-0.0574690885	0.0092669998	-0.0194850194	0.0191487134	-0.060620376	0.0249828068	-0.0150072228	-0.10910804	-0.0902858197	0.0042994754	0.0856478712	-0.0703606084	0.10102023	0.1034658823	0.047125128	0.0771462525	0.1011552922	-0.0067131533	0.1205136136	0.1153795908	0.0065705074	0.0941146826	0.1043033486	0.004494974	0.0401188654	0.0510677227	-0.1153003765	0.0816978429	-0.0090085214	0.0136834074	-0.1663142333	-0.0251909871	0.0605193831	-0.0308153186	-0.0123760335	0.0933558902	-0.1189365503	0.049430022	-0.0321459739	-0.111063355	-0.0529531634	0.0005084657	0.0955023005	0.0386492522	-0.0506418911	0.0440329199	-0.0443436764	0.1057965577	0.0560076786	-0.0810453252	0.0717286178	-0.0005100498	-0.0658851496	-0.0609578647	-0.0846267915	-0.1166821051	0.0173764564	0.0609674558	0.0401549255	0.0389772672	0.0358594549	0.1636553562	0.0005928539	-0.1772611187	0.0820100536	0.0024855857	0.0131318386	0.0499343912	0.0301327645	-0.0894247016	-0.101817678	-0.0591322744	0.1247021942	0.0694212737	-0.06202537	0.0885658778	-0.006440459	0.0758371321	-0.0876902518	0.0253106626	0.128556971	-0.0253323546	-0.0488368428	0.0386697565	-0.109536194	0.0115403286	-0.1389532197	-0.0151680507	0.0083386148	-0.0441405399	-0.0756690722	0.0277247838	-0.0766861813	0.000620863	0.2001227506	0.032975079	-0.0283859906	0.0850656257	0.0624296416	0.0103130327	0.0413232153	0.0220517723	0.0913686747	-0.0555158869	-0.0357151572	0.1151599564	0.1142313295	0.112689161	-0.00875014	0.00694296	7.65649500196e-05	4.820469356160002e-05	-0.00930864	0.01743276	8.66507786496e-05	0.0003039011212175	-0.0163485	-0.036773	0.001352253529	0.0002672734522499	0.00112864	0.0001610029999999	1.2738282496e-06	2.5921966008999984e-08	0.000711819	0.000505322	5.066862887610001e-07	2.55350323684e-07	0.000827982	5.066700000000001e-05	2.5671448890000006e-09	6.85554192324e-07
3298.4963645279213	7.305541159978475	10880078.266803913	53.37093164013964	3684.213420143701	27.26857495935292	743.575180313849	13573428.525166947	3290.93557664614	1.1392445476244577	1.2978781392920549	10830256.96963526	3314.4032339793325	2986.478019552941	0.9023580000000002	13.900461	0.0551382099999999	0.0264396	-0.0929077823	-0.0588819594	-0.0056681158	-0.0629369703	0.0156290192	0.0061264898	0.0317989475	0.100653673	0.0078362197	-0.0315903729	0.0580393895	0.1368050614	-0.0862776618	0.0034115072	-0.0415654656	0.0822234067	-0.0507996028	0.0005909231	0.0917291803	-0.0121945684	0.0042025293	-0.1502865851	-0.0348775743	0.0391249294	-0.0295122805	0.1123196952	-0.0749811434	0.0520132925	-0.0814323933	-0.0122389148	0.1252349882	0.0281464386	-0.1859698641	0.0884697926	-0.0978315851	-0.0451290871	-0.0658634265	-0.0651195887	-0.0502684075	0.0944578554	0.0117204964	0.0014517111	-0.0363772891	-0.1909883537	0.0779663362	0.0541887763	0.0779102639	0.1215463994	0.1653746014	-0.015343473	0.0870394249	0.1646143575	0.031969339	0.0754854728	0.0265917127	0.0073545282	-0.0815150162	-0.0883081918	0.0519098417	0.0477903773	-0.0047109846	-0.0854833161	0.0919482247	-0.0683911937	-0.1011807085	0.0071210293	-0.0208925483	0.0913189938	0.0037021026	-0.0116728149	-0.0503050814	0.1010675887	-0.09095687	0.0889150316	0.1718640076	-0.0108703597	0.074538093	0.0055287631	0.1580757642	-0.046910705	-0.0912976571	0.0790708875	0.027259579	-0.051215231	-0.0488226776	0.026700024	0.1645616104	0.0022327628	0.023266251	-0.0751150358	0.0939203225	-0.0476236448	0.083300931	-0.0548250837	-0.0845041924	0.0855337456	0.003473204	0.0510678757	0.0995002659	-9.54522e-05	0.0475460519	0.0743570484	-0.0180331925	0.0400937198	0.0037831478	-0.1174450641	0.07171626	0.0071761175	0.0460676963	-0.0096561973	-0.0341991382	0.0989533471	0.0034029629	-0.0260803611	0.0024561699	-0.0724729214	0.1187651869	0.1149575937	0.1134247617	0.1108851636	-0.0163707	-0.0076205599999999	0.0002679998184899	5.807293471359997e-05	-0.0195023	-0.01019366	0.00038033970529	0.0001039107041956	-0.00935006	0.0069984399999999	4.8978162433599975e-05	8.74236220036e-05	0.0007698069999999	-0.0003588330000001	5.92602817248846e-07	1.2876112188907176e-07	0.000786619	7.479999999999998e-05	6.18769451161e-07	5.595039999999996e-09	0.000655104	-0.000172878	2.9886802884000004e-08	4.29161250816e-07
3289.133103735456	-9.363260792465098	10818396.574088436	87.67065266771414	3655.416401082412	-28.79701906128912	829.2683068162489	13362069.065302294	3282.295598765935	-8.639977880204697	74.64921777042645	10773464.39767823	3305.6730837122977	3008.2379722669257	1.050794	16.187052	0.09829026	0.0559891	-0.0391533698	0.1130715821	-0.0951056639	0.010371881	0.0768347413	-0.0651766765	-0.0693262881	-0.0865455354	0.0885086167	-0.0843073528	-0.0144117342	-0.0723709601	0.0671254443	0.0496743924	-0.0243193651	-0.0224375738	0.0575882204	-0.0221456047	-0.0155718554	-0.0239842064	-0.0290534716	-0.0241335886	0.0011739565	0.0387173345	-0.1456594571	-0.0922697127	0.1025996875	0.0909709137	-0.0245351593	-0.0666927912	-0.0023381224	-0.198207517	-0.0136676495	-0.0340694397	0.0072359498	0.0403965284	-0.108620609	-0.0339749001	-0.0215335501	0.1324016172	-0.0909810108	0.1205534148	0.0341043419	-0.0096613218	-0.1495585524	0.1143702653	0.054889356	-0.082114676	-0.1708977104	-0.1020789081	0.0342028118	-0.1302217573	0.1760059204	-0.0230379489	-0.0927971593	0.0177811133	-0.004137243	0.036932973	-0.0333750802	-0.0951544769	0.0273023844	-0.0220019418	0.0037097924	0.0325295464	-0.0445931397	0.0211479874	0.1805709549	0.0223132592	0.0220490345	-0.0310582317	-0.0246365781	-0.0478804673	-0.0733276497	0.0005385123	-0.0683360008	0.0430499418	0.035605687	0.1540473669	-0.0812411528	-0.1213056542	-0.0730171786	0.1378512455	0.0425911919	0.0318476326	0.033225168	0.1519701689	-0.0542639216	0.055750261	-0.1961134584	-0.1587397897	-0.1911115903	-0.0680049557	-0.1024748329	-0.0891923385	0.0111403947	0.0580662966	0.0991917878	0.0776848957	0.0035863375	0.0417470431	-0.1602923767	-0.0574976554	-0.0360867483	0.0448417806	-0.0035272378	-0.0204286616	0.0411262864	0.0016414615	0.0524012315	0.1907886463	0.100264136	-0.0025822216	0.0313350939	-0.0109699258	-0.0230710225	0.0467195418	-0.0258875529	0.1147048067	0.1124192083	0.108643553	-0.0191151	-0.0027444	0.00036538704801	7.531731360000006e-06	-0.0387506	-0.0192483	0.00150160900036	0.00037049705289	0.0369251	0.04627516	0.0021413904330256	0.00136346301001	0.000411958	-0.0003578489999999	1.6970939376399997e-07	1.2805590680092846e-07	0.000711728	-7.4891e-05	5.06556745984e-07	5.608661880999999e-09	0.000487396	-0.0001677079999999	2.812597326399999e-08	2.3755486081600002e-07
3291.3031607159205	2.170056980464324	10832676.495738609	4.7091472984619385	3651.154549009818	-4.261852072594138	18.16338308867495	13330929.540755086	3287.800399343272	5.504800577336937	30.302829396249077	10809631.46592178	3310.2572217839456	3002.443078805386	0.989453	15.242115	0.1251726	0.0750387	-0.0255018629	0.1380041042	0.0595511832	0.1178978325	0.0791112321	-0.0147755755	-0.0800821456	-0.1571327634	-0.0526496393	0.0373899626	0.1876485294	-0.024570109	-0.0442625471	0.026163875	-0.0251227468	-0.0211449565	-0.0181078017	-0.0285781347	0.0070944529	0.0427960442	-0.0284055892	0.0045756583	-0.0122751092	-0.0832272846	-0.0810676697	-0.011988096	-0.0266165893	-0.031954714	-0.2142162239	0.0996131524	-0.0559235399	-0.0140375593	-0.1135391808	0.0396351772	-0.0953469643	0.0683496558	-0.0741986677	-0.0998873452	-0.0573782652	-0.0181804017	-0.0003275678	-0.0303308471	0.0626669105	0.0394896617	0.0011452672	0.0431397499	-0.0862511599	-0.0320359602	-0.0960913255	0.1186619329	-0.0798061328	0.1102525692	-0.022529815	0.0439389391	0.0015411842	-0.0135224966	-0.0261202287	0.0199577529	-0.0772070137	0.0269433546	0.0353692236	0.0202430641	0.048517946	-0.0289394361	0.0324770737	-0.0419464404	0.0017923224	0.0326679797	0.0372511106	-0.1337321433	0.0134685669	-0.0510530649	-0.009584315	-0.1271271425	0.1785051096	0.0400593633	-0.0086955552	-0.0648749848	0.1329835171	-0.0233609691	-0.0321543031	0.0694070076	0.0624383012	0.0273875899	0.0597955652	-0.0195959506	0.0114961911	-0.1552687744	-0.0699699421	0.1418991527	-0.1225722329	-0.0633103877	-0.0473732017	0.0009063026	0.0203307511	0.0128720023	0.1098118392	0.0539483251	-0.1697760462	0.0346796771	-0.0205020405	0.0640138553	-0.0142166343	0.1194929924	0.0156791801	-0.0359506157	-0.1239740458	0.0016149369	-0.0673014974	0.0191675012	-0.0407659831	0.0889246843	0.0065425394	0.0912914174	-0.0479338026	-0.0389042132	0.0668849151	0.1144017065	0.1112164334	0.105973176	-0.0045763	0.0145388	2.094252169e-05	0.0002113767054399	-0.0157278	0.0230228	0.00024736369284	0.00053004931984	-0.0267773	-0.0637024	0.00405799576576	0.00071702379529	0.000811004	0.000399046	6.577274880160001e-07	1.5923771011600004e-07	0.000650207	-6.152100000000004e-05	4.2276914284900005e-07	3.784833441000005e-09	0.000469791	-1.760500000000002e-05	3.099360250000006e-10	2.20703583681e-07
3301.80667266685	10.50351195092935	10901927.303667337	110.3237633033157	3674.418438681984	23.263889672165988	541.2085626787112	13501350.862526149	3288.741087148873	0.9406878056006462	0.8848935476057592	10815817.93830115	3310.145882864896	2995.301215410788	1.007021	15.512754	0.06779175	0.034653	-0.003543475	0.0567792291	0.0717354036	-0.0334404253	-0.070591116	0.0974938769	-0.03940007	-0.0328363661	0.0512444471	0.1010999459	0.0321139806	-0.1614913013	-0.056234742	0.0650719057	-0.0240883025	0.0384376284	0.0036426125	0.0402716509	-0.0354265703	-0.0011172764	-0.2474279661	0.0293492615	0.0615358405	0.0298058647	-0.0044019803	0.0259537354	-0.085022323	0.0322866224	0.174971166	0.0925988666	-0.0721511455	-0.1029012331	0.062032921	0.0425571339	0.0517037378	0.0026969021	-0.0250705006	-0.034111778	-0.038244741	0.0261407064	-0.0755741918	-0.1536335612	0.0429593804	0.0362416673	0.0023505061	-0.0567388539	-0.0760379447	0.081163816	-0.0372678244	-0.0876876841	0.1073436254	-0.0033457028	-0.030159953	0.0611262964	0.0118927042	0.041907148	-0.0285732463	0.015424247	-0.2022266662	-0.0084618059	-0.0572434219	0.045976363	-0.002822123	0.0264097051	-0.0651442333	0.0600422347	-0.0343724755	-0.0537798029	0.0533617372	-0.0581053119	0.0148454617	0.0736524236	0.1884011849	0.0334629817	-0.0534266193	0.0960052802	-0.0022926486	-0.0335325755	-0.040593146	0.031366032	-0.0830644078	0.0332793831	-0.031292118	-0.1582767051	0.0186240544	-0.0021409819	0.0850824719	0.144135771	0.0385582945	0.0366009783	0.0425066433	0.0570869405	-0.0177056569	-0.0387984433	0.0541548851	-0.0103911685	-0.0440119598	0.1357224527	-0.0824348067	-0.0065228634	-0.0089136837	0.058426357	-0.1142880441	-0.1286875745	-0.0388097559	-0.0606626553	0.0146460507	0.0258909301	-0.0381208714	0.0237392258	0.054449847	-0.0692877594	-0.0135223621	0.065585443	-0.0274484131	0.0630799521	-0.026241808	0.1140484259	0.1098185471	0.1028845713	-0.0196758	-0.0150995	0.00038713710564	0.00022799490025	-0.0254728	-0.009745	0.00064886353984	9.4965025e-05	-0.0303884	-0.0036110999999999	1.3040043209999993e-05	0.00092345485456	0.000598805	-0.000212199	3.58567428025e-07	4.5028415601000026e-08	0.0011725	0.000522293	1.37475625e-06	2.72789977849e-07	0.00041756	-5.223100000000002e-05	2.728077361000002e-09	1.7435635359999998e-07
3302.564460048938	0.7577873820882814	10906932.012778334	0.574241716452211	3680.644624470768	6.226185788784278	38.765389476459305	13547144.85164556	3290.402367659594	1.6612805107210988	2.759852935301755	10826747.74109986	3311.9220778682	3006.150127117123	0.89842	13.839793	0.0459434	0.0249065	0.0191181955	-0.0354104075	0.096766448	-0.0431781637	-0.086220745	0.0554418715	0.0886660505	0.0152725864	0.0298483623	0.0537813717	-0.0395122152	0.0263182651	-0.0447632291	-0.1078451822	0.0571729159	0.0454757505	0.0916120138	-0.0304132559	-0.0409683619	0.0288341905	-0.033651043	0.0191241739	0.0673447266	-0.0166253472	0.0653406194	0.0995027502	-0.0397478375	-0.1849093331	0.122967012	-0.0273059509	-0.0325934098	0.1669864027	-0.0619395877	-0.0317315927	0.0259917879	0.0397047013	-0.0317806109	0.056263779	0.0616816662	-0.1555229868	0.0180275204	-0.1099464289	0.0596963896	-0.1494144065	0.0087087992	0.0123254027	-0.0046029925	0.0406123134	-0.0025409704	-0.0835414217	-0.0325273926	0.017953009	0.0908662092	-0.0168346174	0.1254994642	0.0843209651	0.0535600508	-0.0012035079	0.0136755071	-0.0537129474	0.0155358308	0.0555166338	0.1002821781	0.0376455251	0.0609317202	0.0181784123	-0.1562195371	0.049417337	0.0445999363	0.1065550269	0.052480882	0.0478579867	0.0689918744	0.0552318407	-0.0415443731	0.0660171741	0.0638059449	-0.0685354331	-0.0495577613	0.2060323762	0.0802084777	-0.0420305926	0.0691560948	0.0157209624	-0.1107817366	0.136651302	0.1300569377	-0.0798045041	0.0491663407	-0.0310942351	0.1158850006	0.0436975495	-0.0502256061	-0.0280616286	-0.0017008037	0.0485446265	-0.1182313161	0.0643001633	-0.0180095307	-0.0016090126	0.0997066877	-0.0333413072	-0.0181931946	0.0073365078	-0.1757402419	-0.0301583782	0.1147775153	0.0008825766	0.0043942199	-0.0185713751	0.1437470844	-0.0490287461	0.0446336161	0.0303552632	0.0402384044	-0.0156346849	-0.0435733162	0.1136451198	0.1082280018	0.0993899282	-0.0253226	-0.0056468	0.00064123407076	3.1886350240000006e-05	-0.025817	-0.0003441999999999	0.0006665174889999	1.1847363999999957e-07	-0.0347061	-0.0043176999999999	1.864253328999997e-05	0.0012045133772099	0.0008230979999999	0.0002242929999999	6.774903176038354e-07	5.0307349848955153e-08	0.000785723	-0.0003867769999999	6.17360632729e-07	1.4959644772899998e-07	0.000315936	-0.0001016239999999	1.0327437375999994e-08	9.9815556096e-08
3296.704358858816	-5.86010119012235	10868259.629718715	34.34078595847338	3667.1215333212585	-13.523091149509582	182.8739942379444	13447780.340148458	3289.6158137317	-0.7865539278936922	0.6186670814849955	10821572.201953676	3310.6196016023914	2991.64944881608	0.8857359999999999	13.644409	0.12869637717	0.0651638	0.005416775	-0.1000320073	0.0412820528	0.0311950555	-0.0716178905	-0.0243322123	0.0212854558	0.0945085989	-0.0930859201	-0.0280233373	0.0576383255	0.0659059659	-0.0418915699	-0.0254419527	-0.0245860659	-0.0147093291	0.0686607859	0.0410851391	-0.0180757583	-0.0169515745	0.027594681	-0.1041855364	0.0694443263	-0.0666337492	0.076343423	0.0937345699	0.0053825375	0.2061577373	0.0139129001	0.1669942702	-0.1912780009	0.1119248447	-0.007587358	0.0136970535	0.0760573517	0.0423102871	-0.0043166628	0.003784786	0.0833914452	-0.0096386025	0.1319732465	0.0739868174	-0.1112414822	0.0501941999	-0.0305007611	0.0309108557	0.0053379441	-0.038568326	0.1156692583	0.1211529863	-0.0518119076	-0.0906386217	0.1419640063	0.0052257362	0.0646409007	-0.0441280347	-0.0291709109	0.0212437657	0.0638192439	0.0695269869	0.0087711141	0.0621932084	0.097760295	-0.0432837152	-0.030736013	-0.1279431609	0.0402074005	-0.1703529331	0.063798137	0.0301835972	-0.1179885651	0.0990748456	0.1365306766	-0.1523926545	-0.0437070937	-0.0899849581	0.1384810479	0.0413142084	0.0779760357	-0.0382459171	0.0592363937	-0.0493489157	-0.0668763341	0.1283769165	0.0553583956	-0.1480003187	0.0026703694	-0.0943427278	-0.0124648653	-0.0191239792	0.1015115634	-0.0889401146	-0.1533956669	0.0768719848	-0.0966857909	0.1002055008	-0.0572947969	-0.0302366464	-0.0548316936	-0.0687114165	0.1051719645	-0.0599391352	0.096525356	0.0505123996	-0.0429304774	-0.114835262	0.0289733366	-0.028997583	-0.0759343647	-0.0874098947	0.0791652306	-0.018206291	0.0790737044	0.0039434017	0.0916427239	-0.145536248	0.0887978098	0.1131919653	0.1064475877	0.0955030384	0.000115722	0.025438322	1.3391581284e-08	0.0006471082261756	-8.244829999999998e-06	0.02580875517	6.797722172889996e-11	0.000666091843425	-0.0825569	-0.0478508	0.00228969906064	0.00681564173761	0.00119917	0.0003760720000001	1.4380086889e-06	1.4143014918407524e-07	0.000984872	0.0001991489999999	9.69972856384e-07	3.9660324200999975e-08	0.000299187	-1.6748999999999985e-05	2.805290009999995e-10	8.951286096900001e-08
