global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
6007.778425346552	n/a	36093401.60805949	n/a	6522.742195722533	n/a	n/a	42546165.75185922	6303.405686552188	n/a	39732923.24925846	n/a	6333.183713001748	4291.185852949263	n/a	n/a	n/a	n/a	-0.037437839	-0.0115782985	0.0475786009	-0.0038120197	0.0354007129	0.1006472613	0.0585798375	-0.1475011812	0.0105467388	-0.0527981727	0.0247185584	-0.0222084201	0.0583963433	-0.0230260493	0.009916493	-0.0947006474	0.0335592849	0.0065595664	-0.1359330651	0.0579366337	-0.1127445089	0.0601295161	-0.0276934352	0.0028027119	-0.0326797233	-0.0428856888	0.0188790773	-0.2459148065	0.0708873297	-0.1387827283	0.0983969915	-0.0568453319	0.0540446634	-0.0229410715	0.0107028328	-0.068440025	0.1417160837	-0.0518544337	0.1076220572	-0.0677533267	0.1426069448	0.1467863712	-0.0191790127	-0.0059909663	0.0881855677	0.0265190873	-0.0402076445	-0.074643598	0.0732745048	-0.0704421653	-0.0692419244	0.0443791594	-0.0316523705	-0.0513750617	0.1157222304	-0.0282203338	0.0424830786	-0.0803915942	0.0057786721	-0.1043671839	-0.0995565262	0.1347181612	-0.0176524469	0.0016941717	-0.0216911556	0.0591454301	-0.0466734522	0.0638311042	0.0073206204	-0.0781031306	0.1569435067	-0.0591803483	0.1641338755	-0.0054924845	0.026869104	-0.0067389644	0.2294696475	-0.0386675511	0.093295451	-0.0640106763	0.1113830668	-0.1147847951	0.0692311442	-0.0151590543	-0.107445017	0.1425333677	-0.0072342356	-0.1141470617	0.0416255605	0.0384413237	-0.0380328076	0.0104208031	-0.1387894799	0.0482213466	-0.0669129926	0.0527264444	-0.098484734	0.13645	-0.042444545	0.0624600754	-0.031593798	0.0620415694	-0.0290970077	0.0194245268	-0.0292112829	0.0510201626	-0.0207099384	0.028728549	-0.1320532512	0.2019985359	-0.0901212064	-0.0013111199	0.021602642	0.0381107077	0.1154637225	0.1154447293	0.1154130763	0.103998	n/a	0.0108155840039999	n/a	-0.00228426	n/a	5.217843747600001e-06	n/a	-0.0222661	n/a	0.00049577920921	n/a	0.00126564	n/a	n/a	1.6018446095999998e-06	-0.000630918	n/a	3.9805752272400005e-07	n/a	-0.000170185	n/a	2.8962934225e-08	n/a
6010.496946196225	2.718520849673041	36126073.54023414	7.390355610107033	6478.236446962124	-44.505748760409006	1980.761672724648	41967547.462748446	6303.393768708583	-0.0119178436052607	39732773.00339419	0.0001420349961994	6325.719106537022	4205.139965873708	1.039971	15.867797	0.07889925775	0.0375188	0.0315697108	7.46676e-05	0.1763133214	-0.0232122725	-0.1194048346	-0.0241315883	0.1754337532	0.100291601	-0.0307252025	0.0687705439	0.020091267	-0.062205629	0.0836425489	-0.0894527932	0.1090027667	-0.0418568193	0.0704171651	-0.0961135955	-0.0130862502	0.1616315153	0.0184557279	0.1282032904	-0.0902518574	-0.049752196	-0.0072364387	-0.0166562574	-0.0547683773	0.0009106026	0.129657667	-0.0845190873	0.0475525409	-0.021373953	-0.15867307	0.1305455376	0.0682874352	-0.0047270496	-0.1347191617	0.141799328	-0.023187976	-0.1408605751	0.0714663278	0.0155612025	-0.0384217901	-0.0409936099	0.0776793611	-0.0193238462	0.1601316647	-0.1260477925	-0.0447071655	0.0080178832	0.0317980362	0.0422418906	-0.0724669886	-0.0781649128	-0.1168038788	-0.0622273529	0.0515513098	-0.098711763	-0.0149564293	0.1064088895	0.0417675974	0.1389704174	-0.0019730082	0.073865381	-0.0259273184	-0.014773218	0.1679328461	0.117851922	0.191268024	-0.0224103604	-0.0787662433	-0.04706525	0.0862954239	-0.1280561967	-0.0778796558	0.0789850038	0.0560543513	0.0276502826	0.0612970152	-0.0565872418	0.0431660076	0.0377519673	-0.0642338419	0.0171525377	-0.0496415214	-0.1350197688	-0.1404788307	-0.0480600325	-0.0668657651	-0.1637435954	-0.1922885938	-0.0701767309	0.0178879224	0.014250837	-0.0752701313	0.1103459244	-0.0631088291	0.117075933	-0.0214656997	-0.0412047638	0.0697835175	-0.0175229249	0.0052778116	-0.0299421978	-0.1112303215	-0.027191685	-0.0720034359	0.0087385246	0.0347869942	0.1942247163	-0.0092565126	-0.004820386	0.1490670774	0.006741099	0.1154130763	0.1152422001	0.1149575937	0.092552	-0.0114459999999999	0.008565872704	0.0001310109159999	-9.55105e-06	0.00227470895	9.12225561025e-11	5.174300807210105e-06	-2.22012e-05	0.0222438988	4.9289328144e-10	0.0004947910338246	0.00185979	0.00059415	3.5301422250000013e-07	3.4588188441000003e-06	-0.0007252759999999	-9.435799999990004e-05	5.26025276175855e-07	8.903432163981137e-09	0.0	0.000170185	0.0	2.8962934225e-08
6015.439972537288	4.94302634106316	36185518.06319941	24.433509408444248	6507.354949881391	29.11850291926657	847.887212259336	42345668.44374584	6302.058970224728	-1.3347984838546836	39715947.26418996	1.781686992500762	6328.2398324959895	4281.31523778461	1.055472	16.104301	0.08059557805	0.0580173	0.1326312107	0.0031969277	0.0295700403	0.023752439	0.0277396428	0.1281045431	0.0896398242	0.0423884411	-0.0031132085	0.04461622	0.1226317714	-0.093147482	-0.1657055353	-0.0104122632	0.0419557353	-0.1169072796	-0.0425695468	0.0435891638	-0.1790311983	0.030034988	0.0878160193	0.0094264512	0.0154818779	-0.0392931099	-0.0442312157	0.0856472273	0.0239552913	-0.1015228964	-0.0470139862	0.0690515793	0.1343046641	0.026881211	-0.024908473	0.0818502078	0.0034810371	-0.0073500009	-0.1340633931	0.0538064042	-0.0734439769	-0.00295462	0.0407622018	0.0059632595	0.0538646802	0.1448250005	-0.0109895249	0.0917286883	0.1219334461	-0.0257422104	0.0831778837	-0.0509797654	-0.0784624742	-0.1492148162	-0.0667633596	-0.0864440328	0.0682990415	-0.1143219717	-0.0397020809	0.0135019795	0.0347731256	-0.081943244	0.0608870649	0.1102985272	0.0813905591	0.0433262625	0.106440765	0.0015902662	0.1219842228	0.0603351261	-0.1417080615	-0.0913243708	-0.0313424634	0.1378153385	0.045982179	-0.1646974071	-0.0892299106	0.0331112688	-0.0497694541	-0.0106583796	0.1051504542	-0.0572414354	0.039738079	0.051316353	0.0183751863	0.0421769715	-0.1266991352	0.010949761	-0.148505049	0.0765705345	0.032995707	0.0660989061	-0.1232950571	0.0963205899	-0.0932721456	-0.1463292363	-0.0549753273	0.0586616168	-0.0668338144	0.0755308073	-0.0461886241	0.0026543542	-0.0101020065	-0.0452760907	-0.0883418075	0.0823260301	-0.1009121637	0.0410054214	0.149092539	-0.1002232756	0.0922671932	0.1367093196	-0.0854488394	-0.0639652365	0.0706696336	-0.0420580288	0.1153118061	0.1148374968	0.1140484259	0.0925701	1.8100000000007e-05	0.00856922341401	3.276100000002534e-10	-1.49803e-05	-5.429249999999999e-06	2.2440938808999998e-10	2.9476755562499986e-11	-0.0480377	-0.0480154988	0.00230762062129	0.0023054881250128	0.0017996	-6.019000000000011e-05	3.622836100000013e-09	3.23856016e-06	-0.000134335	0.0005909409999999	1.8045892225e-08	3.4921126548088186e-07	0.0	0.0	0.0	0.0
6022.3764949822325	6.936522444944785	36269018.64731448	48.11534362922278	6481.497988282181	-25.85696159921008	668.5824631430247	42009816.17210596	6297.929021676573	-4.129948548154971	39663909.96207604	17.056475010407354	6321.595927506277	4287.509304696105	1.065036	16.25024	0.1165561981	0.0621925	0.0082802747	-0.0069816922	-0.0768852955	-0.0150190948	-0.1375506801	-0.0774862001	0.0389139871	-0.1109243853	0.149364153	0.0512628856	0.1233418403	0.02555759	-0.0977958729	0.0436642524	0.0530238125	0.0137407615	-0.0472935311	-0.1605865772	-0.1735822134	-0.1155485294	0.090334693	0.1373848732	-0.1047296326	-0.0041122476	0.018802353	0.0364343279	0.1779708964	-0.0857981636	0.0533223907	-0.0897979741	-0.1600025117	-0.05164438	-0.0250635386	0.0091196499	0.0102274506	0.1003519134	-0.0849005909	-0.1205256816	0.0704423317	-0.0130847544	-0.0153915511	0.1228419763	-0.0387042124	0.0895866444	-0.0099155394	0.0226635015	-0.0443868713	0.0399967039	-0.0732512946	-0.0512675246	0.0568194531	0.0144351889	0.0227253191	0.0481347984	-0.0237893753	-0.0685254743	-0.044926444	0.0523686271	-0.1834792925	-0.0165531579	0.0076123616	0.2232995054	-0.0419185823	0.2005967208	-0.0021745444	0.1114415696	0.0374423614	-0.0325314678	-0.0158803431	0.0401926318	0.0493029454	-0.0374613589	0.007073409	0.1093117238	0.1247930135	0.0191064667	0.0560217106	0.009820181	-0.0300422829	0.0131758139	-0.0759173873	0.1115347316	-0.0842471744	0.0493450474	0.0859398317	0.0517351681	0.0052540869	0.0851571864	-0.0112552773	0.0974162926	-0.0904560799	-0.053189126	-0.2366477379	-0.0564907068	0.1037976669	0.0791762421	-0.0598247361	-0.0211920875	-0.0709560021	-0.0366064609	0.0222912678	0.1895170466	0.1033953558	0.146940743	0.0479995029	0.1500656478	-0.0080298773	-0.1384245481	0.1038930238	0.170085678	0.0021384412	-0.0930552042	0.0196762756	0.117555326	0.1151599564	0.1142313295	0.112689161	0.0797785	-0.0127916	0.00636460906225	0.00016362503056	-1.39822e-05	9.980999999999998e-07	1.9550191684e-10	9.962036099999997e-13	0.00243945	0.05047715	5.9509163025e-06	0.0025479426721225	0.00263093	0.00083133	6.911095689000003e-07	6.9217926649000005e-06	-0.000239735	-0.0001054	5.7472870225e-08	1.1109160000000003e-08	0.000128999	0.000128999	1.6640742001000002e-08	1.6640742001000002e-08
6017.306912495958	-5.069582486274157	36207982.47917164	25.700666585137668	6515.323870426271	33.82588214409043	1144.1903028258955	42449445.136546366	6304.1634396781965	6.234418001623453	39742476.67417523	38.86796781896657	6328.29038865109	4253.514917201662	1.235163	18.846012	0.0883854322	0.0411047	-0.0100176923	-0.0947731745	0.1583845039	-0.1652962215	0.0475709384	0.0503976869	0.0777104994	0.09240069	-0.1209452726	-0.176091256	0.011519574	0.0391837854	0.143958153	-0.0940154788	0.0692042313	-0.0641080268	0.1654684253	0.0224478071	-0.0068152971	0.0674661194	0.0415532863	0.0151001084	-0.0205492488	-0.1160144143	0.0026025483	0.0685416821	-0.0020858188	0.1695392536	0.0444472702	0.1242154417	0.0289130257	0.0194135833	-0.0232711875	-0.0021422717	0.0291345196	-0.0687421443	-0.0749096428	-0.1023876781	-0.0361554219	-0.0468765145	-0.0910242214	-0.0633145964	0.165161809	-0.0334895959	-0.016747491	0.1319779906	-0.0632668686	0.1243606715	0.1497280757	-0.0021007633	0.0154217867	0.1219680044	0.1686582461	-0.089553015	-0.0476269049	-0.085359446	0.1752768526	-0.0642343129	0.0871337557	-0.0041235684	0.0536086331	-0.0200310121	-0.035125397	-0.0133525417	0.0864806847	-0.0687875961	0.1038851394	-0.0029807229	-0.0234999072	0.0342876312	-0.1028546428	0.0070907673	-0.0768411083	0.0230354415	-0.0793556292	0.0082122366	0.0639556171	-0.1259854564	0.0061350466	-0.0098593525	-0.084144671	-0.0446947301	-0.0026841935	-0.0590206482	0.1366904809	-0.0392896898	-0.0161158806	0.0127608406	0.1150576423	0.1222902514	-0.2008851006	0.0402164156	-0.0166592646	0.1532318427	-0.0303028082	0.0384628139	0.0306211499	0.1045629829	-0.0931665874	-0.1159153344	-0.0719900332	-0.0636642242	-0.0509214306	0.0609227966	-0.0412215187	0.0200955937	-0.1298453933	-0.0582829232	0.0452300593	0.0516186005	-0.0777494613	0.1021154414	-0.0006672535	-0.0400412667	0.1149575937	0.1134247617	0.1108851636	0.0672893	-0.0124892	0.00452784989449	0.00015598011664	0.0121137	0.0121276822	0.0001467417276899	0.0001470806755441	0.0224699	0.02003045	0.00050489640601	0.0004012189272025	0.00221724	-0.00041369	1.711394161e-07	4.9161532176000005e-06	-0.000186458	5.327700000000001e-05	3.4766585764e-08	2.838438729000001e-09	0.000536794	0.000407795	2.8814779843600005e-07	1.6629676202500005e-07
6001.787572816569	-15.519339679389304	36021454.0692154	240.8499040842673	6512.925348630765	-2.398521795505985	5.752906803517255	42418196.59683718	6301.653486382976	-2.509953295220839	39710836.66244272	6.29986554418995	6332.6441194864165	4249.88691954786	1.097278	16.742178	0.0775603098	0.0351012	0.0753525766	-0.0423009658	0.1121746151	0.084295923	0.1048547343	0.1588428775	0.1097529969	-0.0870650778	-0.0134467648	-1.5046e-05	0.0265291915	-0.0162304641	-0.001037545	-0.0351614262	0.0294640197	-0.0573072718	-0.1033178151	-0.0575586361	-0.1436268685	0.0224572044	-0.0064131474	0.0707824467	-0.0690314638	-0.2037217537	0.0861393564	0.1822938656	0.0551981174	0.1592719045	-0.0697244768	0.0093086569	0.0685992714	0.1559167993	0.0406064689	-0.0662590472	0.1221405099	-0.0740395159	0.0631221044	0.1333169098	0.0621671854	0.0182583504	7.35391e-05	0.1069625657	-0.0574920408	0.072317495	0.0652157198	0.0328366212	-0.084830119	0.0565390601	0.0636189738	0.0697776847	-0.0257609491	-0.0161409854	-0.0484931469	-0.107434714	0.0904875424	-0.0602998538	-0.0433966844	-0.1002208775	-0.1138301011	-0.1047882931	-0.0248794575	0.0799473925	-0.0159840194	0.1190859082	0.1625345119	-0.0914944218	0.1530202106	0.060230502	0.013864347	0.095313904	0.0424893023	-0.1136158648	-0.0867096415	0.0007399654	-0.0025603712	-0.1248476915	-0.1445112404	0.0270256618	0.0500903701	0.0054688818	0.0518462293	-0.0292040631	-0.1065583336	0.176844978	-0.0991050743	0.0730132363	0.1280294552	-0.037844231	-0.0264402106	-0.0014013649	-0.1067624913	0.0351636566	-0.0632870079	-0.0391204569	-0.1154628226	0.0254845375	-0.0499530405	-0.0194754022	-0.125350229	-0.1219742855	-0.0274725947	0.1532725371	0.0258917672	0.0320458282	-0.0169926654	-0.0493864891	0.1069097047	0.0306814933	-0.0275752155	-0.0605648717	-0.1720569325	0.0252120933	-0.0465902326	-0.0956334615	0.1147048067	0.1124192083	0.108643553	0.0739287	0.0066394	0.0054654526836899	4.408163236000005e-05	-6.73498e-05	-0.0121810498	4.535995560039999e-09	0.00014837797423	-0.00374051	-0.02621041	1.39914150601e-05	0.0006869855923681	0.00176854	-0.0004487	2.0133169e-07	3.1277337316e-06	-0.000298867	-0.000112409	8.932148368900001e-08	1.2635783281000006e-08	0.000447314	-8.948000000000007e-05	2.00089814596e-07	8.006670400000013e-09
6015.771503698373	13.983930881803644	36189506.78470938	195.55032290706168	6518.31081462488	5.385465994114384	29.003243973762427	42488375.87605567	6298.713104922176	-2.940381460799472	39673786.778118365	8.645843135013235	6324.496119703332	4264.615687042996	1.105926	16.874128	0.0362030288	0.0264229	0.0459192961	0.0308037944	-0.0064487287	0.0558268922	-0.1516060187	-0.0103462301	0.0320932658	-0.0363329527	0.1832829233	0.1050425442	0.0541766818	0.1580458929	0.0222376348	0.0321134905	0.015678477	0.0217150313	-0.0164715033	-0.0166076208	0.1035623175	-0.0371583534	0.1347542594	-0.0007686618	-0.0446887881	-0.0801714187	0.0871881625	0.1046501091	0.0568607777	0.0362469036	0.0604597702	-0.0704590925	0.1936195237	-0.0514640373	-0.0018437366	0.0032844522	0.159603269	-0.1160630888	-0.0404767521	-0.087272743	-0.0359412933	0.0193241117	0.0042410229	-0.1247626034	-0.0910314311	-0.0775932254	-0.0147052311	0.0808487897	-0.1120741706	0.0158759926	-0.0961041282	-0.1498399216	0.0110180488	0.039873256	0.0764287462	0.0145358006	-0.046914512	0.0131437929	-0.0901465374	0.053265877	0.0539768689	0.1058503839	0.0836448766	0.0549864023	-0.1346776102	-0.0159047656	0.0876405035	-0.0371657547	0.1273297243	0.1181037403	0.0893702276	0.0225672991	0.0556348655	-0.073464266	-0.0350994876	-0.0476747114	0.0968020827	-0.1226745129	0.0426471727	-0.1233940288	-0.0188701391	-0.0267576088	-0.2429551405	0.0108527568	-0.0672221921	-0.1645885968	-0.1355383677	-0.1108070639	-0.0431443207	-0.0382855727	-0.0113666358	0.0581747172	-0.0466797006	-0.1196771526	-0.1044347097	-0.0565634058	0.1181696769	0.0962344657	-0.1355315928	-0.0923271999	-0.0014483087	-0.090043882	-0.0114997295	-0.0189709885	0.0012297114	0.0979176531	-0.0040155163	0.03785338	-0.1307180894	0.1575596002	-0.0099923681	0.0293767573	0.001149247	-0.0495730705	0.0297729155	0.0127085603	0.1144017065	0.1112164334	0.105973176	0.0738946	-3.4099999999995245e-05	0.00546041190916	1.1628099999996758e-09	-7.17686e-05	-4.418799999999999e-06	5.150731945959999e-09	1.9525793439999996e-11	0.0050838	0.00882431	2.5845022440000003e-05	7.78684469761e-05	0.00176854	0.0	0.0	3.1277337316e-06	-0.000771988	-0.000473121	5.95965472144e-07	2.2384348064100001e-07	0.000520997	7.368300000000006e-05	2.714378740090001e-07	5.4291844890000085e-09
6011.062613345931	-4.708890352441813	36132873.74156521	22.17364835131958	6481.460161127695	-36.8506534971848	1357.9706631695778	42009325.82028545	6296.825373926841	-1.887730995335005	39650009.7897289	3.5635283107484885	6321.361047937446	4244.528108488984	1.151033	17.562372	0.0781803385999999	0.0473609	-0.0093894201	-0.1234374959	0.0812528681	-0.1237574618	0.0050783872	0.0153833263	0.1494505662	0.0665209354	-0.101378487	-0.1134372535	0.0660064337	0.0142077909	0.1027506226	-0.0368109404	0.0904830789	-0.0742827928	0.1570688964	0.0358574492	-0.0480927801	-0.0801671501	-0.0757384737	-0.0057584014	0.1368604957	-0.1302507825	-0.0389312337	0.0854594402	-0.1970815431	0.0290526837	-0.0370347593	-0.007679413	-0.0856345487	-0.0971934768	0.0103116047	-0.0279410096	-0.0140586888	0.0990173425	0.0186024271	0.0667668648	-0.140535254	-0.0008537213	0.1598307234	-0.0481410306	0.0340851849	-0.0051357161	-0.0691317087	0.0100342348	-0.0168364087	0.0525911751	-0.1793853146	0.128877524	0.0110745394	0.0173697675	0.0207523923	-0.0483244935	-0.0210518042	-0.1127288898	0.1910956188	0.0343564968	0.010836985	-0.0929178104	-0.0908756974	-0.0077711748	0.0126537408	-0.1021990361	0.058421199	-0.1152509326	-0.0375621198	0.0508362945	0.0323243507	-0.019489242	-0.1536763979	0.0136890466	0.0922825251	0.0596796591	0.055379033	0.0739220559	-0.0585402748	0.1556354756	0.0646894055	0.0078805824	-0.1190806997	-0.0523322552	0.0960683634	0.05171922	0.0268363703	0.0229652541	-0.0577080014	0.0174949554	-0.0517724362	-0.0171362245	-0.1040466221	0.0537719192	0.0097249383	0.1548473601	0.0405136776	0.0747077804	-0.1121393396	0.151903842	0.0108872255	0.0107524734	-0.09089403	0.0489042858	-0.1173233085	0.0068635645	0.039474425	-0.0925045842	0.0614535205	0.0438357699	-0.0870965964	-0.0154852409	-0.0203601266	0.0675906385	-0.1235127035	-0.0087549039	0.1140484259	0.1098185471	0.1028845713	0.0873773999999999	0.0134827999999998	0.0076348100307599	0.0001817858958399	0.00675817	0.0068299386	4.56728617489e-05	4.664806127976996e-05	0.0143891	0.0093052999999999	0.00020704619881	8.658860808999998e-05	0.000957476	-0.000811064	6.578248120960002e-07	9.16760290576e-07	-0.000708327	6.366100000000001e-05	5.01727138929e-07	4.0527229210000024e-09	0.000617518	9.652099999999993e-05	3.8132848032399993e-07	9.316303440999984e-09
5997.396357519689	-13.666255826241468	35968763.069190435	186.76654830827889	6509.249109617093	27.788948489398532	772.2256581464452	42370323.971050926	6297.757737319634	0.9323633927924676	39661752.51796931	0.869301496219481	6323.652795824286	4227.516844345134	1.040377	15.873988	0.0650134399999999	0.0306142	0.0135440711	-0.0909643052	0.1475989266	0.0735078864	0.1197523466	0.1190717004	0.1281036966	-0.0689989902	-0.1091584713	-0.0158258614	0.0398877862	0.1405581564	-0.052943742	0.0365674137	0.0329950472	-0.1687076653	0.0306437066	-0.0617130491	0.0497878929	0.0796990247	-0.0283185333	0.0233237691	0.0971609847	0.1167118435	-0.0518941461	0.1134482855	-0.0066470272	0.0127058516	-0.2412734066	-0.0096002858	-0.120636141	0.0404739243	-0.0793944992	-0.0267547735	-0.0045396638	-0.0242536622	0.0208076116	0.1329804598	0.0062338139	0.0074316173	-0.1872397884	-0.0166377859	0.1556009709	0.0048625972	0.0051348033	-0.0686972213	0.2105799876	0.0105648011	-0.0143884172	-0.0912304472	0.0098141966	-0.0612935946	-0.1186530849	-0.0375273411	0.1003685646	-0.114771501	0.0266712108	-0.1074399128	-0.0201310322	0.1405529549	-0.0440706872	0.0127142295	0.0025954207	-0.1186522247	-0.0324207498	0.0375042685	-0.0359926879	0.1144236438	-0.1116631179	0.1462597003	-0.1142827067	0.0322940387	0.024115095	-0.0719860949	0.0140927589	-0.0551625137	-0.0640095504	0.1314785647	-0.0500531779	0.0967794439	0.1717938827	-0.0555464045	-0.0867416883	0.0394754068	0.0817708141	-0.1563918377	0.1108487622	0.0998760052	0.0804241393	-0.0970297693	-0.0324222715	0.0502899428	-0.013783371	0.0624622335	-0.1213125899	0.0491129821	-0.0988550978	-0.0328819578	0.0261058504	-0.1339314158	0.0036623156	-0.0169333485	-0.0187494909	0.0156135407	0.1615143291	0.0097479496	0.0831432001	0.0523224146	-0.1213253807	-0.0298048156	0.1313020988	-0.0622336318	-0.0244285888	-0.0137080475	0.1136451198	0.1082280018	0.0993899282	0.0713686	-0.0160087999999998	0.00509347706596	0.0002562816774399	0.0189379	0.01217973	0.00035864405641	0.0001483458228729	0.00517369	-0.00921541	2.67670682161e-05	8.49237814681e-05	0.000957476	0.0	0.0	9.16760290576e-07	-0.000958327	-0.00025	9.18390638929e-07	6.25e-08	0.000315328	-0.00030219	9.943174758399999e-08	9.131879609999998e-08
6002.853743795776	5.457386276086254	36034253.06940296	29.78306496641459	6485.6813913670985	-23.56771824999487	555.4373435111412	42064063.11032546	6296.130258769552	-1.6274785500818325	39641256.23539355	2.648686430976464	6323.103956630785	4222.923091775476	1.101037	16.799541	0.1184967999999999	0.0636904	0.0069246271	0.0142752231	0.0741754114	0.1126877883	-0.1577375984	-0.0016389309	0.161028006	-0.0565481559	0.1235818638	0.1194122844	-0.0214199316	-0.0350188607	0.0858280266	-0.005501888	0.0650635867	0.0785693705	-0.0106178913	0.096269029	-0.0310899307	0.1014297421	-0.0045796148	0.1217731212	0.0740592023	0.011738305	-0.1039360727	-0.0662237847	0.0043054144	-0.0175401448	0.1086935028	0.0716874345	-0.1187185561	-0.0634958163	-0.0647152295	-0.0344478398	-0.0607042996	-0.1618246562	0.0928870133	-0.0679649981	-0.0809321904	0.0045313763	-0.015697361	-0.1183938213	0.0292533787	-0.0508302494	0.0471257488	-0.042924267	0.0776507311	0.0860731493	0.0688070601	0.137121146	0.1097923935	-0.0704518162	0.0711741379	-0.009804841	-0.0590576931	0.0327187225	-0.0840895933	-0.0444594769	0.1121694986	-0.03967753	-0.1268017244	0.0926558236	0.1098242501	0.0938794401	0.0268156143	0.0860155599	-0.0770571363	-0.0001966719	0.0476771336	-0.0401687331	-0.1574761685	-0.0196537517	0.0378909058	0.019332843	0.034338364	0.0620110886	-0.0207076137	-0.0614853277	-0.1082156278	0.1206207748	0.0199661129	-0.1104558607	0.1122874271	-0.0860063156	0.0901896401	-0.0189244021	0.0316252377	-0.0796290266	0.0302749594	-0.0754117751	0.0160624018	-0.1605409375	0.0220767907	-0.0292627846	0.0634491136	0.1889336595	-0.1090553132	-0.0437519332	-0.1568034259	0.0326599859	-0.0141057136	0.0444206217	-0.0995470094	-0.059003575	-0.0588163366	0.0618207661	0.0662703619	-0.0361648199	-0.0561930662	-0.0572386642	0.1508421987	0.1108776013	-0.0468758815	0.0037121714	0.1131919653	0.1064475877	0.0955030384	0.0739354	0.0025667999999999	0.00546644337316	6.5884622399999694e-06	0.00161211	-0.01732579	2.5988986521e-06	0.0003001829991241	0.0572932	0.05211951	0.00328251076624	0.0027164433226401	0.000593109	-0.000364367	1.32763310689e-07	3.51778285881e-07	-0.000708328	0.000249999	5.01728555584e-07	6.2499500001e-08	0.0	-0.000315328	0.0	9.943174758399999e-08
