onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-53	ses-2	2	1.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	0.03	2.0	2.03	2.0	310.0	4.388	1.64
n/a	n/a	sub-53	ses-2	2	2.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	6.032	2.0	8.032	2.0	310.0	10.39	1.64
n/a	n/a	sub-53	ses-2	2	3.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	12.033	2.0	14.033	2.0	310.0	16.391	1.64
n/a	n/a	sub-53	ses-2	2	4.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	18.035	2.0	20.035	2.0	310.0	22.393	1.64
n/a	n/a	sub-53	ses-2	2	5.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	24.036	2.0	26.036	2.0	310.0	28.394	1.64
n/a	n/a	sub-53	ses-2	2	6.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	30.037	2.0	32.037	2.0	310.0	34.395	1.64
n/a	n/a	sub-53	ses-2	2	7.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	36.039	2.0	38.039	2.0	310.0	40.397	1.64
n/a	n/a	sub-53	ses-2	2	8.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	42.04	2.0	44.04	2.0	310.0	46.398	1.64
n/a	n/a	sub-53	ses-2	2	9.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	48.041	2.0	50.041	2.0	310.0	52.399	1.64
n/a	n/a	sub-53	ses-2	2	10.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	54.043	2.0	56.043	2.0	310.0	58.401	1.64
n/a	n/a	sub-53	ses-2	2	11.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	60.044	2.0	62.044	2.0	310.0	64.402	1.64
n/a	n/a	sub-53	ses-2	2	12.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	66.046	2.0	68.046	2.0	310.0	70.404	1.64
n/a	n/a	sub-53	ses-2	2	13.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	72.047	2.0	74.047	2.0	310.0	76.405	1.64
n/a	n/a	sub-53	ses-2	2	14.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	78.048	2.0	80.048	2.0	310.0	82.406	1.64
n/a	n/a	sub-53	ses-2	2	15.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	84.05	2.0	86.05	2.0	310.0	88.408	1.64
n/a	n/a	sub-53	ses-2	2	16.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	90.051	2.0	92.051	2.0	310.0	94.409	1.64
n/a	n/a	sub-53	ses-2	2	17.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	96.053	2.0	98.053	2.0	310.0	100.411	1.64
n/a	n/a	sub-53	ses-2	2	18.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	102.054	2.0	104.054	2.0	310.0	106.412	1.64
n/a	n/a	sub-53	ses-2	2	19.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	108.055	2.0	110.055	2.0	310.0	112.413	1.64
n/a	n/a	sub-53	ses-2	2	20.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	114.057	2.0	116.057	2.0	310.0	118.415	1.64
n/a	n/a	sub-53	ses-2	2	21.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	120.058	2.0	122.058	2.0	310.0	124.416	1.64
n/a	n/a	sub-53	ses-2	2	22.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	126.059	2.0	128.059	2.0	310.0	130.417	1.64
n/a	n/a	sub-53	ses-2	2	23.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	132.061	2.0	134.061	2.0	310.0	136.419	1.64
n/a	n/a	sub-53	ses-2	2	24.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	138.062	2.0	140.062	2.0	310.0	142.42	1.64
n/a	n/a	sub-53	ses-2	2	25.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	144.064	2.0	146.064	2.0	310.0	148.422	1.64
n/a	n/a	sub-53	ses-2	2	26.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	150.065	2.0	152.065	2.0	310.0	154.423	1.64
n/a	n/a	sub-53	ses-2	2	27.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	156.066	2.0	158.066	2.0	310.0	160.424	1.64
n/a	n/a	sub-53	ses-2	2	28.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	162.068	2.0	164.068	2.0	310.0	166.426	1.64
n/a	n/a	sub-53	ses-2	2	29.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	168.069	2.0	170.069	2.0	310.0	172.427	1.64
n/a	n/a	sub-53	ses-2	2	30.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	174.071	2.0	176.071	2.0	310.0	178.429	1.64
n/a	n/a	sub-53	ses-2	2	31.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	180.072	2.0	182.072	2.0	310.0	184.43	1.64
n/a	n/a	sub-53	ses-2	2	32.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	186.073	2.0	188.073	2.0	310.0	190.431	1.64
n/a	n/a	sub-53	ses-2	2	33.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	192.075	2.0	194.075	2.0	310.0	196.433	1.64
n/a	n/a	sub-53	ses-2	2	34.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	198.076	2.0	200.076	2.0	310.0	202.434	1.64
n/a	n/a	sub-53	ses-2	2	35.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	204.077	2.0	206.077	2.0	310.0	208.435	1.64
n/a	n/a	sub-53	ses-2	2	36.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	210.079	2.0	212.079	2.0	310.0	214.437	1.64
n/a	n/a	sub-53	ses-2	2	37.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	216.08	2.0	218.08	2.0	310.0	220.438	1.64
n/a	n/a	sub-53	ses-2	2	38.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	222.082	2.0	224.082	2.0	310.0	226.44	1.64
n/a	n/a	sub-53	ses-2	2	39.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	228.083	2.0	230.083	2.0	310.0	232.441	1.64
n/a	n/a	sub-53	ses-2	2	40.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	234.084	2.0	236.084	2.0	310.0	238.442	1.64
n/a	n/a	sub-53	ses-2	2	41.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	240.086	2.0	242.086	2.0	310.0	244.444	1.64
n/a	n/a	sub-53	ses-2	2	42.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	246.087	2.0	248.087	2.0	310.0	250.445	1.64
n/a	n/a	sub-53	ses-2	2	43.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	252.089	2.0	254.089	2.0	310.0	256.447	1.64
n/a	n/a	sub-53	ses-2	2	44.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	258.09	2.0	260.09	2.0	310.0	262.448	1.64
n/a	n/a	sub-53	ses-2	2	45.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	264.091	2.0	266.091	2.0	310.0	268.449	1.64
n/a	n/a	sub-53	ses-2	2	46.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	270.093	2.0	272.093	2.0	310.0	274.451	1.64
n/a	n/a	sub-53	ses-2	2	47.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	276.094	2.0	278.094	2.0	310.0	280.452	1.64
n/a	n/a	sub-53	ses-2	2	48.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	282.096	2.0	284.096	2.0	310.0	286.454	1.64
n/a	n/a	sub-53	ses-2	2	49.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	288.097	2.0	290.097	2.0	310.0	292.455	1.64
n/a	n/a	sub-53	ses-2	2	50.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	294.098	2.0	296.098	2.0	310.0	298.456	1.64
