onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-40	ses-2	1	1.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	0.03	2.0	2.03	2.0	243.0	4.321	1.707
n/a	n/a	sub-40	ses-2	1	2.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	6.044	2.0	8.044	2.0	243.0	10.335	1.707
n/a	n/a	sub-40	ses-2	1	3.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	12.057	2.0	14.057	2.0	243.0	16.348	1.707
n/a	n/a	sub-40	ses-2	1	4.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	18.07	2.0	20.07	2.0	243.0	22.361	1.707
n/a	n/a	sub-40	ses-2	1	5.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	24.083	2.0	26.083	2.0	243.0	28.374	1.707
n/a	n/a	sub-40	ses-2	1	6.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	30.096	2.0	32.096	2.0	243.0	34.387	1.707
n/a	n/a	sub-40	ses-2	1	7.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	36.109	2.0	38.109	2.0	243.0	40.4	1.707
n/a	n/a	sub-40	ses-2	1	8.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	42.122	2.0	44.122	2.0	243.0	46.413	1.707
n/a	n/a	sub-40	ses-2	1	9.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	48.135	2.0	50.135	2.0	243.0	52.426	1.707
n/a	n/a	sub-40	ses-2	1	10.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	54.148	2.0	56.148	2.0	243.0	58.439	1.707
n/a	n/a	sub-40	ses-2	1	11.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	60.161	2.0	62.161	2.0	243.0	64.452	1.707
n/a	n/a	sub-40	ses-2	1	12.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	66.174	2.0	68.174	2.0	243.0	70.465	1.707
n/a	n/a	sub-40	ses-2	1	13.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	72.187	2.0	74.187	2.0	243.0	76.478	1.707
n/a	n/a	sub-40	ses-2	1	14.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	78.2	2.0	80.2	2.0	243.0	82.491	1.707
n/a	n/a	sub-40	ses-2	1	15.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	84.213	2.0	86.213	2.0	243.0	88.504	1.707
n/a	n/a	sub-40	ses-2	1	16.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	90.226	2.0	92.226	2.0	243.0	94.517	1.707
n/a	n/a	sub-40	ses-2	1	17.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	96.239	2.0	98.239	2.0	243.0	100.53	1.707
n/a	n/a	sub-40	ses-2	1	18.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	102.253	2.0	104.253	2.0	243.0	106.544	1.707
n/a	n/a	sub-40	ses-2	1	19.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	108.266	2.0	110.266	2.0	243.0	112.557	1.707
n/a	n/a	sub-40	ses-2	1	20.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	114.279	2.0	116.279	2.0	243.0	118.57	1.707
n/a	n/a	sub-40	ses-2	1	21.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	120.292	2.0	122.292	2.0	243.0	124.583	1.707
n/a	n/a	sub-40	ses-2	1	22.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	126.305	2.0	128.305	2.0	243.0	130.596	1.707
n/a	n/a	sub-40	ses-2	1	23.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	132.318	2.0	134.318	2.0	243.0	136.609	1.707
n/a	n/a	sub-40	ses-2	1	24.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	138.331	2.0	140.331	2.0	243.0	142.622	1.707
n/a	n/a	sub-40	ses-2	1	25.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	144.344	2.0	146.344	2.0	243.0	148.635	1.707
n/a	n/a	sub-40	ses-2	1	26.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	150.357	2.0	152.357	2.0	243.0	154.648	1.707
n/a	n/a	sub-40	ses-2	1	27.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	156.37	2.0	158.37	2.0	243.0	160.661	1.707
n/a	n/a	sub-40	ses-2	1	28.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	162.383	2.0	164.383	2.0	243.0	166.674	1.707
n/a	n/a	sub-40	ses-2	1	29.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	168.396	2.0	170.396	2.0	243.0	172.687	1.707
n/a	n/a	sub-40	ses-2	1	30.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	174.409	2.0	176.409	2.0	243.0	178.7	1.707
n/a	n/a	sub-40	ses-2	1	31.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	180.422	2.0	182.422	2.0	243.0	184.713	1.707
n/a	n/a	sub-40	ses-2	1	32.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	186.435	2.0	188.435	2.0	243.0	190.726	1.707
n/a	n/a	sub-40	ses-2	1	33.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	192.448	2.0	194.448	2.0	243.0	196.739	1.707
n/a	n/a	sub-40	ses-2	1	34.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	198.461	2.0	200.461	2.0	243.0	202.752	1.707
