onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-30	ses-2	1	1.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	0.03	2.0	2.03	2.0	235.0	4.313	1.715
n/a	n/a	sub-30	ses-2	1	2.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	6.029	2.0	8.029	2.0	235.0	10.312	1.715
n/a	n/a	sub-30	ses-2	1	3.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	12.042	2.0	14.042	2.0	235.0	16.325	1.715
n/a	n/a	sub-30	ses-2	1	4.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	18.041	2.0	20.041	2.0	235.0	22.324	1.715
n/a	n/a	sub-30	ses-2	1	5.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	24.055	2.0	26.055	2.0	235.0	28.338	1.715
n/a	n/a	sub-30	ses-2	1	6.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	30.069	2.0	32.069	2.0	235.0	34.352	1.715
n/a	n/a	sub-30	ses-2	1	7.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	36.068	2.0	38.068	2.0	235.0	40.351	1.715
n/a	n/a	sub-30	ses-2	1	8.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	42.082	2.0	44.082	2.0	235.0	46.365	1.715
n/a	n/a	sub-30	ses-2	1	9.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	48.096	2.0	50.096	2.0	235.0	52.379	1.715
n/a	n/a	sub-30	ses-2	1	10.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	54.095	2.0	56.095	2.0	235.0	58.378	1.715
n/a	n/a	sub-30	ses-2	1	11.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	60.109	2.0	62.109	2.0	235.0	64.392	1.715
n/a	n/a	sub-30	ses-2	1	12.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	66.123	2.0	68.123	2.0	235.0	70.406	1.715
n/a	n/a	sub-30	ses-2	1	13.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	72.122	2.0	74.122	2.0	235.0	76.405	1.715
n/a	n/a	sub-30	ses-2	1	14.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	78.136	2.0	80.136	2.0	235.0	82.419	1.715
n/a	n/a	sub-30	ses-2	1	15.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	84.15	2.0	86.15	2.0	235.0	88.433	1.715
n/a	n/a	sub-30	ses-2	1	16.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	90.149	2.0	92.149	2.0	235.0	94.432	1.715
n/a	n/a	sub-30	ses-2	1	17.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	96.163	2.0	98.163	2.0	235.0	100.446	1.715
n/a	n/a	sub-30	ses-2	1	18.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	102.177	2.0	104.177	2.0	235.0	106.46	1.715
n/a	n/a	sub-30	ses-2	1	19.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	108.176	2.0	110.176	2.0	235.0	112.459	1.715
n/a	n/a	sub-30	ses-2	1	20.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	114.19	2.0	116.19	2.0	235.0	118.473	1.715
n/a	n/a	sub-30	ses-2	1	21.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	120.204	2.0	122.204	2.0	235.0	124.487	1.715
n/a	n/a	sub-30	ses-2	1	22.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	126.203	2.0	128.203	2.0	235.0	130.486	1.715
n/a	n/a	sub-30	ses-2	1	23.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	132.217	2.0	134.217	2.0	235.0	136.5	1.715
n/a	n/a	sub-30	ses-2	1	24.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	138.231	2.0	140.231	2.0	235.0	142.514	1.715
n/a	n/a	sub-30	ses-2	1	25.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	144.23	2.0	146.23	2.0	235.0	148.513	1.715
n/a	n/a	sub-30	ses-2	1	26.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	150.244	2.0	152.244	2.0	235.0	154.527	1.715
n/a	n/a	sub-30	ses-2	1	27.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	156.258	2.0	158.258	2.0	235.0	160.541	1.715
n/a	n/a	sub-30	ses-2	1	28.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	162.257	2.0	164.257	2.0	235.0	166.54	1.715
n/a	n/a	sub-30	ses-2	1	29.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	168.271	2.0	170.271	2.0	235.0	172.554	1.715
n/a	n/a	sub-30	ses-2	1	30.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	174.285	2.0	176.285	2.0	235.0	178.568	1.715
n/a	n/a	sub-30	ses-2	1	31.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	180.284	2.0	182.284	2.0	235.0	184.567	1.715
n/a	n/a	sub-30	ses-2	1	32.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	186.298	2.0	188.298	2.0	235.0	190.581	1.715
n/a	n/a	sub-30	ses-2	1	33.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	192.312	2.0	194.312	2.0	235.0	196.595	1.715
n/a	n/a	sub-30	ses-2	1	34.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	198.311	2.0	200.311	2.0	235.0	202.594	1.715
n/a	n/a	sub-30	ses-2	1	35.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	204.325	2.0	206.325	2.0	235.0	208.608	1.715
n/a	n/a	sub-30	ses-2	1	36.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	210.339	2.0	212.339	2.0	235.0	214.622	1.715
n/a	n/a	sub-30	ses-2	1	37.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	216.338	2.0	218.338	2.0	235.0	220.621	1.715
n/a	n/a	sub-30	ses-2	1	38.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	222.351	2.0	224.351	2.0	235.0	226.634	1.715
n/a	n/a	sub-30	ses-2	1	39.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	228.35	2.0	230.35	2.0	235.0	232.633	1.715
n/a	n/a	sub-30	ses-2	1	40.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	234.364	2.0	236.364	2.0	235.0	238.647	1.715
n/a	n/a	sub-30	ses-2	1	41.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	240.363	2.0	242.363	2.0	235.0	244.646	1.715
n/a	n/a	sub-30	ses-2	1	42.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	246.376	2.0	248.376	2.0	235.0	250.659	1.715
n/a	n/a	sub-30	ses-2	1	43.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	252.375	2.0	254.375	2.0	235.0	256.658	1.715
n/a	n/a	sub-30	ses-2	1	44.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	258.389	2.0	260.389	2.0	235.0	262.672	1.715
n/a	n/a	sub-30	ses-2	1	45.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	264.403	2.0	266.403	2.0	235.0	268.686	1.715
n/a	n/a	sub-30	ses-2	1	46.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	270.402	2.0	272.402	2.0	235.0	274.685	1.715
n/a	n/a	sub-30	ses-2	1	47.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	276.416	2.0	278.416	2.0	235.0	280.699	1.715
n/a	n/a	sub-30	ses-2	1	48.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	282.43	2.0	284.43	2.0	235.0	286.713	1.715
n/a	n/a	sub-30	ses-2	1	49.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	288.429	2.0	290.429	2.0	235.0	292.712	1.715
n/a	n/a	sub-30	ses-2	1	50.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	294.443	2.0	296.443	2.0	235.0	298.726	1.715
