onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-123	ses-2	1	1.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	0.03	2.0	2.03	2.0	240.0	4.318	1.76
n/a	n/a	sub-123	ses-2	1	2.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	6.04	2.0	8.04	2.0	240.0	10.328	1.76
n/a	n/a	sub-123	ses-2	1	3.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	12.216	2.0	14.216	2.0	240.0	16.504	1.76
n/a	n/a	sub-123	ses-2	1	4.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	18.227	2.0	20.227	2.0	240.0	22.515	1.76
n/a	n/a	sub-123	ses-2	1	5.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	24.403	2.0	26.403	2.0	240.0	28.691	1.76
n/a	n/a	sub-123	ses-2	1	6.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	30.413	2.0	32.413	2.0	240.0	34.701	1.76
n/a	n/a	sub-123	ses-2	1	7.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	36.423	2.0	38.423	2.0	240.0	40.711	1.76
n/a	n/a	sub-123	ses-2	1	8.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	42.434	2.0	44.434	2.0	240.0	46.722	1.76
n/a	n/a	sub-123	ses-2	1	9.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	48.444	2.0	50.444	2.0	240.0	52.732	1.76
n/a	n/a	sub-123	ses-2	1	10.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	54.454	2.0	56.454	2.0	240.0	58.742	1.76
n/a	n/a	sub-123	ses-2	1	11.0	LgReward	1.0	No Response Detected	You earn $5!	n/a	60.464	2.0	62.464	2.0	240.0	64.752	1.76
n/a	n/a	sub-123	ses-2	1	12.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	66.474	2.0	68.474	2.0	240.0	70.762	1.76
n/a	n/a	sub-123	ses-2	1	13.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	72.484	2.0	74.484	2.0	240.0	76.772	1.76
n/a	n/a	sub-123	ses-2	1	14.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	78.494	2.0	80.494	2.0	240.0	82.782	1.76
n/a	n/a	sub-123	ses-2	1	15.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	84.504	2.0	86.504	2.0	240.0	88.792	1.76
n/a	n/a	sub-123	ses-2	1	16.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	90.515	2.0	92.515	2.0	240.0	94.803	1.76
n/a	n/a	sub-123	ses-2	1	17.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	96.525	2.0	98.525	2.0	240.0	100.813	1.76
n/a	n/a	sub-123	ses-2	1	18.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	102.535	2.0	104.535	2.0	240.0	106.823	1.76
n/a	n/a	sub-123	ses-2	1	19.0	LgReward	1.0	No Response Detected	You did not earn $5!	n/a	108.545	2.0	110.545	2.0	240.0	112.833	1.76
n/a	n/a	sub-123	ses-2	1	20.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	114.555	2.0	116.555	2.0	240.0	118.843	1.76
n/a	n/a	sub-123	ses-2	1	21.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	120.565	2.0	122.565	2.0	240.0	124.853	1.76
n/a	n/a	sub-123	ses-2	1	22.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	126.575	2.0	128.575	2.0	240.0	130.863	1.76
n/a	n/a	sub-123	ses-2	1	23.0	Triangle	1.0	No Response Detected	No money at stake!	n/a	132.586	2.0	134.586	2.0	240.0	136.874	1.76
n/a	n/a	sub-123	ses-2	1	24.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	138.596	2.0	140.596	2.0	240.0	142.884	1.76
n/a	n/a	sub-123	ses-2	1	25.0	SmallReward	1.0	No Response Detected	You did not earn $0.20!	n/a	144.606	2.0	146.606	2.0	240.0	148.894	1.76
n/a	n/a	sub-123	ses-2	1	26.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	150.616	2.0	152.616	2.0	240.0	154.904	1.76
