onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-167	ses-2	2	1.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	0.03	2.0	2.03	2.0	300.0	4.378	1.65
n/a	n/a	sub-167	ses-2	2	2.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	6.03	2.0	8.03	2.0	300.0	10.378	1.65
n/a	n/a	sub-167	ses-2	2	3.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	12.03	2.0	14.03	2.0	300.0	16.378	1.65
n/a	n/a	sub-167	ses-2	2	4.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	18.029	2.0	20.029	2.0	300.0	22.377	1.65
n/a	n/a	sub-167	ses-2	2	5.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	24.029	2.0	26.029	2.0	300.0	28.377	1.65
n/a	n/a	sub-167	ses-2	2	6.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	30.029	2.0	32.029	2.0	300.0	34.377	1.65
n/a	n/a	sub-167	ses-2	2	7.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	36.029	2.0	38.029	2.0	300.0	40.377	1.65
n/a	n/a	sub-167	ses-2	2	8.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	42.029	2.0	44.029	2.0	300.0	46.377	1.65
n/a	n/a	sub-167	ses-2	2	9.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	48.029	2.0	50.029	2.0	300.0	52.377	1.65
n/a	n/a	sub-167	ses-2	2	10.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	54.028	2.0	56.028	2.0	300.0	58.376	1.65
n/a	n/a	sub-167	ses-2	2	11.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	60.028	2.0	62.028	2.0	300.0	64.376	1.65
n/a	n/a	sub-167	ses-2	2	12.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	66.028	2.0	68.028	2.0	300.0	70.376	1.65
n/a	n/a	sub-167	ses-2	2	13.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	72.028	2.0	74.028	2.0	300.0	76.376	1.65
n/a	n/a	sub-167	ses-2	2	14.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	78.028	2.0	80.028	2.0	300.0	82.376	1.65
n/a	n/a	sub-167	ses-2	2	15.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	84.027	2.0	86.027	2.0	300.0	88.375	1.65
n/a	n/a	sub-167	ses-2	2	16.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	90.027	2.0	92.027	2.0	300.0	94.375	1.65
n/a	n/a	sub-167	ses-2	2	17.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	96.027	2.0	98.027	2.0	300.0	100.375	1.65
n/a	n/a	sub-167	ses-2	2	18.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	102.027	2.0	104.027	2.0	300.0	106.375	1.65
n/a	n/a	sub-167	ses-2	2	19.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	108.027	2.0	110.027	2.0	300.0	112.375	1.65
n/a	n/a	sub-167	ses-2	2	20.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	114.026	2.0	116.026	2.0	300.0	118.374	1.65
n/a	n/a	sub-167	ses-2	2	21.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	120.026	2.0	122.026	2.0	300.0	124.374	1.65
n/a	n/a	sub-167	ses-2	2	22.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	126.026	2.0	128.026	2.0	300.0	130.374	1.65
n/a	n/a	sub-167	ses-2	2	23.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	132.026	2.0	134.026	2.0	300.0	136.374	1.65
n/a	n/a	sub-167	ses-2	2	24.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	138.026	2.0	140.026	2.0	300.0	142.374	1.65
n/a	n/a	sub-167	ses-2	2	25.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	144.025	2.0	146.025	2.0	300.0	148.373	1.65
n/a	n/a	sub-167	ses-2	2	26.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	150.025	2.0	152.025	2.0	300.0	154.373	1.65
n/a	n/a	sub-167	ses-2	2	27.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	156.025	2.0	158.025	2.0	300.0	160.373	1.65
n/a	n/a	sub-167	ses-2	2	28.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	162.025	2.0	164.025	2.0	300.0	166.373	1.65
n/a	n/a	sub-167	ses-2	2	29.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	168.025	2.0	170.025	2.0	300.0	172.373	1.65
n/a	n/a	sub-167	ses-2	2	30.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	174.024	2.0	176.024	2.0	300.0	178.372	1.65
n/a	n/a	sub-167	ses-2	2	31.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	180.024	2.0	182.024	2.0	300.0	184.372	1.65
n/a	n/a	sub-167	ses-2	2	32.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	186.024	2.0	188.024	2.0	300.0	190.372	1.65
n/a	n/a	sub-167	ses-2	2	33.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	192.024	2.0	194.024	2.0	300.0	196.372	1.65
n/a	n/a	sub-167	ses-2	2	34.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	198.024	2.0	200.024	2.0	300.0	202.372	1.65
n/a	n/a	sub-167	ses-2	2	35.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	204.023	2.0	206.023	2.0	300.0	208.371	1.65
n/a	n/a	sub-167	ses-2	2	36.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	210.023	2.0	212.023	2.0	300.0	214.371	1.65
n/a	n/a	sub-167	ses-2	2	37.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	216.023	2.0	218.023	2.0	300.0	220.371	1.65
n/a	n/a	sub-167	ses-2	2	38.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	222.023	2.0	224.023	2.0	300.0	226.371	1.65
n/a	n/a	sub-167	ses-2	2	39.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	228.023	2.0	230.023	2.0	300.0	232.371	1.65
n/a	n/a	sub-167	ses-2	2	40.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	234.023	2.0	236.023	2.0	300.0	238.371	1.65
n/a	n/a	sub-167	ses-2	2	41.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	240.022	2.0	242.022	2.0	300.0	244.37	1.65
n/a	n/a	sub-167	ses-2	2	42.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	246.022	2.0	248.022	2.0	300.0	250.37	1.65
n/a	n/a	sub-167	ses-2	2	43.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	252.022	2.0	254.022	2.0	300.0	256.37	1.65
n/a	n/a	sub-167	ses-2	2	44.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	258.022	2.0	260.022	2.0	300.0	262.37	1.65
n/a	n/a	sub-167	ses-2	2	45.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	264.022	2.0	266.022	2.0	300.0	268.37	1.65
n/a	n/a	sub-167	ses-2	2	46.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	270.021	2.0	272.021	2.0	300.0	274.369	1.65
n/a	n/a	sub-167	ses-2	2	47.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	276.021	2.0	278.021	2.0	300.0	280.369	1.65
n/a	n/a	sub-167	ses-2	2	48.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	282.021	2.0	284.021	2.0	300.0	286.369	1.65
n/a	n/a	sub-167	ses-2	2	49.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	288.021	2.0	290.021	2.0	300.0	292.369	1.65
n/a	n/a	sub-167	ses-2	2	50.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	294.021	2.0	296.021	2.0	300.0	298.369	1.65
