onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-238	ses-2	1	1.0	SmallReward	n/a	Correct Response!	You earn $0.20!	268.0	0.03	2.0	2.03	2.0	275.0	4.353	1.675
n/a	n/a	sub-238	ses-2	1	2.0	LgReward	n/a	You pressed too soon!	You did not earn $5!	0.0	6.031	2.0	8.031	2.0	275.0	10.354	1.675
n/a	n/a	sub-238	ses-2	1	3.0	SmallPun	n/a	Correct Response!	You keep $0.20!	238.0	12.032	2.0	14.032	2.0	275.0	16.355	1.675
n/a	n/a	sub-238	ses-2	1	4.0	LgPun	n/a	Correct Response!	You keep $5!	264.0	18.033	2.0	20.033	2.0	275.0	22.356	1.675
n/a	n/a	sub-238	ses-2	1	5.0	Triangle	n/a	Correct Response!	No money at stake!	256.0	24.034	2.0	26.034	2.0	275.0	28.357	1.675
n/a	n/a	sub-238	ses-2	1	6.0	LgPun	n/a	Correct Response!	You keep $5!	262.0	30.035	2.0	32.035	2.0	275.0	34.358	1.675
n/a	n/a	sub-238	ses-2	1	7.0	SmallReward	n/a	Correct Response!	You earn $0.20!	186.0	36.036	2.0	38.036	2.0	228.0	40.312	1.722
n/a	n/a	sub-238	ses-2	1	8.0	SmallPun	n/a	You pressed too soon!	You lose $0.20!	0.0	42.037	2.0	44.037	2.0	228.0	46.313	1.722
n/a	n/a	sub-238	ses-2	1	9.0	LgPun	n/a	No Response Detected!	You lose $5!	0.0	48.038	2.0	50.038	2.0	228.0	52.314	1.722
n/a	n/a	sub-238	ses-2	1	10.0	Triangle	n/a	No Response Detected!	No money at stake!	0.0	54.039	2.0	56.039	2.0	208.0	58.295	1.742
n/a	n/a	sub-238	ses-2	1	11.0	LgReward	n/a	You pressed too soon!	You did not earn $5!	0.0	60.04	2.0	62.04	2.0	208.0	64.296	1.742
n/a	n/a	sub-238	ses-2	1	12.0	SmallPun	n/a	No Response Detected!	You lose $0.20!	0.0	66.041	2.0	68.041	2.0	208.0	70.297	1.742
n/a	n/a	sub-238	ses-2	1	13.0	SmallReward	n/a	Correct Response!	You earn $0.20!	188.0	72.043	2.0	74.043	2.0	228.0	76.319	1.722
n/a	n/a	sub-238	ses-2	1	14.0	Triangle	n/a	You pressed too soon!	No money at stake!	0.0	78.044	2.0	80.044	2.0	228.0	82.32	1.722
n/a	n/a	sub-238	ses-2	1	15.0	LgReward	n/a	No Response Detected!	You did not earn $5!	0.0	84.045	2.0	86.045	2.0	228.0	88.321	1.722
n/a	n/a	sub-238	ses-2	1	16.0	LgPun	n/a	Correct Response!	You keep $5!	213.0	90.046	2.0	92.046	2.0	248.0	94.342	1.702
n/a	n/a	sub-238	ses-2	1	17.0	SmallPun	n/a	You pressed too soon!	You lose $0.20!	0.0	96.047	2.0	98.047	2.0	248.0	100.343	1.702
n/a	n/a	sub-238	ses-2	1	18.0	SmallReward	n/a	No Response Detected!	You did not earn $0.20!	0.0	102.048	2.0	104.048	2.0	248.0	106.344	1.702
n/a	n/a	sub-238	ses-2	1	19.0	LgReward	n/a	You pressed too soon!	You did not earn $5!	0.0	108.049	2.0	110.049	2.0	278.0	112.375	1.672
n/a	n/a	sub-238	ses-2	1	20.0	SmallReward	n/a	Correct Response!	You earn $0.20!	256.0	114.05	2.0	116.05	2.0	278.0	118.376	1.672
n/a	n/a	sub-238	ses-2	1	21.0	SmallPun	n/a	Correct Response!	You keep $0.20!	234.0	120.051	2.0	122.051	2.0	278.0	124.377	1.672
n/a	n/a	sub-238	ses-2	1	22.0	LgPun	n/a	Correct Response!	You keep $5!	234.0	126.052	2.0	128.052	2.0	298.0	130.398	1.652
n/a	n/a	sub-238	ses-2	1	23.0	Triangle	n/a	Correct Response!	No money at stake!	249.0	132.053	2.0	134.053	2.0	298.0	136.399	1.652
n/a	n/a	sub-238	ses-2	1	24.0	LgPun	n/a	Correct Response!	You keep $5!	295.0	138.054	2.0	140.054	2.0	298.0	142.4	1.652
n/a	n/a	sub-238	ses-2	1	25.0	SmallReward	n/a	You pressed too soon!	You did not earn $0.20!	0.0	144.055	2.0	146.055	2.0	318.0	148.421	1.632
n/a	n/a	sub-238	ses-2	1	26.0	Triangle	n/a	No Response Detected!	No money at stake!	0.0	150.056	2.0	152.056	2.0	318.0	154.422	1.632
