global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
3053.5015803572223	n/a	n/a	9323871.901244054	3867.563118268549	n/a	n/a	14958044.47379114	3290.740749644618	n/a	n/a	10828974.681371624	3321.421258237649	2980.79984208899	n/a	n/a	n/a	n/a	-0.0701412658	-0.029274131	0.0646999353	-0.0396880407	0.1008542453	0.0275118922	-0.0631262748	0.0744689917	-0.042641895	0.0381845481	-0.1417779197	0.0841360235	-0.0888088387	0.0321874519	-0.037803874	0.0918216245	-0.0321205193	0.0519348464	-0.0024244001	0.0017891958	-0.005643325	0.233855177	-0.0464709494	-0.0004893405	0.0378775819	-0.0294522939	0.0399459216	-0.1422437936	0.021408023	-0.0385312766	0.0130572681	-0.0040154499	0.1401862968	-0.1768633266	0.0265032084	-0.1180974197	0.0921173365	-0.1542744975	0.0190846081	0.1451383281	-0.0048355164	-0.1260429195	0.1200489161	-0.1587423335	0.0187015953	0.0833379394	-0.0544867018	0.0733738958	-0.0111888117	0.1845255416	-0.0593123599	0.0171803706	-0.0140587342	0.0399217848	-0.1122378885	0.0404735824	-0.0674392123	0.0014723624	-0.0070827181	0.055092992	-0.1092312189	0.0205002739	-0.0591068504	0.0375013118	-0.0461375467	-0.1900196564	0.0834781165	-0.1238121181	0.0836221559	-0.0932472542	0.031072552	-0.0145962446	0.0579487463	-0.0195773684	0.013059771	-0.0648063126	0.0753885767	-0.0976481709	0.0260198212	0.0357585973	-0.2195004462	-0.0051687504	0.0437954726	-0.0216399568	0.0958436941	-0.0274091541	0.0648855987	-0.2664844473	0.0254571981	-0.1114760869	0.0502768316	-0.0984433348	0.0103736578	-0.1490661752	0.0198749065	-0.0435264293	0.0623102192	-0.1131005406	0.0396365186	-0.0047477658	-0.091278526	0.067059222	-0.1664875915	0.0279978088	0.0065083032	0.1154637225	0.1154447293	0.1154130763	-0.0215042	n/a	n/a	0.00046243061764	-3.06795e-05	n/a	9.4123172025e-10	n/a	-0.0207628	n/a	n/a	0.00043109386384	0.000256358	n/a	6.5719424164e-08	n/a	0.00109099	n/a	1.1902591801e-06	n/a	-0.000407529	n/a	1.66079885841e-07	n/a	0.0
3050.6528732319016	-2.848707125320743	8.115132285853173	9306482.952958057	3844.1714461281895	-23.391672140359333	547.170325522063	14777654.107227296	3290.471220345343	-0.2695292992748364	0.0726460431675843	10827200.851920972	3317.115147224993	2972.379871362974	0.993237	15.554822	0.0938213205	0.0552681	-0.0488392265	0.0451476663	-0.0344710366	0.1128322522	0.053859934	0.0111673303	0.1131828359	0.1055702233	0.0080195287	-0.0065509056	-0.0936714204	0.0473759984	-0.0895303084	0.0318715847	-0.0731192645	-0.0489702643	0.0752216617	0.0052783141	-0.0870615431	0.0725463132	0.0456398296	0.0789397204	0.0874634332	0.0632034287	-0.013942065	0.0224108929	0.0782783603	-0.0337804369	0.0802363766	-0.0464327855	-0.1732012439	-0.1656321405	-0.159428838	-0.2032597091	0.0033576176	0.0602656613	-0.0869445355	0.0021545899	-0.2436615291	-0.0476192306	-0.1617557324	0.001437891	0.0955302397	0.0755511762	0.0631338082	-0.0642503305	0.0329080071	0.0998272898	0.00811043	0.0914076275	0.0732128444	-0.042310046	-0.0582404455	-0.1191062232	0.0167234197	-0.087849677	-0.0206074613	-0.0401670162	0.0935673988	-0.0151167042	-0.0538029891	0.0807645039	-0.0241143441	0.0211879841	-0.0881037357	-0.0306020847	0.0754917488	0.0433501731	0.1067120821	-0.0198078634	-0.1453077433	-0.2627168497	-0.0063090458	-0.0159969844	0.0701944253	0.0482696546	0.0320576119	-0.0419463128	-0.0446976942	-0.0247332317	-0.1774437795	-0.0239436908	0.0364729336	-0.1014781365	0.0169971519	-0.0006532981	-0.0717955699	-0.2320590077	0.0846987254	-0.0145304504	0.0847310587	0.0013612991	0.0934693914	-0.0219975942	-0.1202222167	0.0763686303	0.0844152747	-0.109869461	0.0378425649	0.1164142473	-0.0797551943	-0.0327812224	-0.0164953798	0.0814236371	-0.0389861353	0.1154130763	0.1152422001	0.1149575937	-0.0337355	-0.0122313	0.00014960469969	0.00113808396025	-0.0240079	-0.0239772205	0.0005763792624099	0.0005749071029056	0.0240321	0.0447949	0.0020065830660099	0.00057754183041	0.0	-0.000256358	0.0	6.5719424164e-08	0.00109099	0.0	1.1902591801e-06	0.0	-0.000407529	0.0	1.66079885841e-07	0.0	0.0
3050.1223085505617	-0.5305646813399107	0.281498881085321	9303246.097117808	3830.662772154808	-13.50867397338152	182.48427251911525	14673977.27397276	3283.107225123067	-7.363995222276117	54.22842563370547	10778793.051655283	3311.5839689587724	2939.3530423671773	0.986775	15.45362	0.05612235	0.032441	0.0778915076	-0.0411066264	-0.0416729674	0.0274475535	-0.0500844272	-0.0643966624	-0.0141458652	0.0559920399	0.074876481	0.1260046617	0.0334060555	-0.0602181488	-0.0074404231	0.0492045901	-0.0279141857	0.0721037954	0.0289444008	-0.0499774536	0.0677867486	0.1390002332	-0.1909211067	0.0588303661	0.0374017855	-0.044610668	0.1650341751	-0.0203017687	0.0395809891	-0.130134732	-0.1005595755	0.0562600545	-0.1062717063	0.0127929711	-0.0166055255	-0.0002264531	-0.1411921707	-0.0078516102	-0.0248287232	-0.0141674707	0.1726527771	0.0578716164	0.0094926294	-0.1387704377	0.1050130401	0.0428549387	0.0576188616	0.0666717641	0.0361102851	-0.038151644	-0.0401876341	-0.0597733115	-0.0380951266	0.0102996949	-0.0428405746	0.0337347236	-0.1052151016	-0.1073497339	-0.0116638124	0.037845323	0.0845371454	0.0124499796	-0.1608825899	-0.2110313404	0.0605640245	0.0741168746	0.1084484624	-0.0259373508	0.025076168	0.0299888057	0.1091620033	-0.0844156803	-0.0353338522	0.0958451681	-0.059637101	0.0714039535	-0.0865081625	-0.0988978494	0.0486242033	0.0901563065	-0.0286944132	-0.0038697503	-0.0685241687	0.0016093368	0.0667597084	-0.1019112426	-0.0101603798	-0.0275955628	-0.0435822133	-0.1154034143	0.0360398861	0.1113765072	0.1695058293	0.0403120195	-0.0524804609	-0.0727508849	-0.0459505864	-0.0538071841	-0.1060319723	-0.1316222952	0.0016888849	-0.0693640015	0.0833483193	0.0997808875	0.0204280403	0.0143637312	-0.06350104	0.1153118061	0.1148374968	0.1140484259	-0.0215042	0.0122313	0.00014960469969	0.00046243061764	-0.0052294	0.0187784999999999	2.7346624360000003e-05	0.0003526320622499	0.0214594	-0.0025727	6.618785290000003e-06	0.00046050584836	0.000450797	0.000450797	2.0321793520900002e-07	2.0321793520900002e-07	0.00109099	0.0	1.1902591801e-06	0.0	-0.000407529	0.0	1.66079885841e-07	0.0	0.0
3059.5758571325127	9.453548581951054	89.36958079130879	9361004.42554815	3837.4874755099418	6.824703355133806	46.57657588557464	14726310.124695666	3288.780661838901	5.673436715833759	32.18788416857055	10816078.24168552	3313.4843692095114	2963.9224999569083	0.95047	14.885056	0.0584385	0.0316964	-0.0511535179	-0.0375396963	-0.0184120767	0.0662493345	0.0532656499	-0.0679214268	0.086699279	-0.0304344082	0.0321454731	-0.0937329184	0.0141611299	-0.0489880915	-0.0649057143	0.0255883594	0.131820539	-0.1713995906	-0.0360480623	0.0670524789	-0.0322119072	-0.0292876568	-0.1366419776	0.0296676975	0.058767193	-0.026341344	0.0722529995	-0.0699588078	-0.169375927	0.0256476988	-0.0024153906	0.1495799263	-0.1281221607	-0.0767047439	0.0144739016	-0.092324228	-0.0263110059	0.0270623083	0.0742709034	-0.052562076	0.076902924	-0.0058782477	0.035448722	-0.1274950937	-0.0856168954	-0.0828503504	-0.0625672295	-0.1128667791	-0.0490461196	-0.1476329575	0.0755073917	0.0021384315	0.0166690578	-0.1143596347	0.0394436504	0.0106594372	0.0463979089	-0.0801038539	0.1413033874	-0.0908300077	0.06164185	0.1151290848	-0.0838278967	-0.0579249349	0.0794019742	0.1091801214	0.1086842445	0.0519871774	0.0795333328	-0.1056791981	0.0248693196	-0.022418948	-0.0481819023	0.0255250366	-0.0133233043	-0.1139768438	0.1008086998	-0.169694335	-5.80365e-05	0.0375129385	-0.0306657107	0.1349969948	0.0766294074	-0.0038494268	0.0753276764	-0.0783224768	0.0643661192	-0.0077902252	-0.0032546259	-0.0996977167	0.0437758275	0.0309154575	0.0922968071	-0.0305048754	-0.1200870814	-0.0895200457	-0.1606374535	0.0509082079	-0.1141866623	0.014876616	0.0780051871	0.0128087576	-0.1320089454	0.0722613717	-0.0110114755	0.0126814444	0.0306503953	0.1151599564	0.1142313295	0.112689161	-0.0215069	-2.699999999997843e-06	7.289999999988353e-12	0.0004625467476099	-0.0202601	-0.0150307	0.00041047165201	0.0002259219424899	0.0128714	-0.008588	7.3753744e-05	0.00016567293796	0.0008539189999999	0.0004031219999999	7.291776585608292e-07	1.625073468839194e-07	0.0007977699999999	-0.0002932200000001	6.364369728998404e-07	8.597796840005867e-08	-0.000407529	0.0	1.66079885841e-07	0.0	0.0
3064.174932988927	4.599075856414402	21.151498733053863	9389168.019957695	3860.746202495694	23.25872698575222	540.9683809977585	14905361.240084922	3291.348367677196	2.5677058382952964	6.593113272015751	10832974.077411344	3323.5543652573538	2984.7785137545347	0.983443	15.401432	0.04613161	0.024199	0.1025418829	0.0409950019	0.0185738306	0.0634024813	-0.0452578354	0.0374575154	-0.081644031	-0.056356156	0.086182702	-0.0120766821	-0.0649246262	-0.0627622709	0.00421693	-0.0293276255	0.0711895677	0.0435511146	0.0876070662	0.0062026472	0.0263699846	0.077758603	-0.1292085261	0.0844320553	0.0171527876	-0.0869439324	0.1099112486	0.0206920763	-0.1042692831	0.0462478433	0.0044434098	0.0165427528	-0.0670132398	0.0019641371	0.103163666	0.0041296044	-0.0708655176	0.0423885876	0.0927751211	0.0340111709	0.0887123827	-0.1261777694	-0.0717913855	0.1436924757	0.0504689682	0.0213124452	0.0054126904	-0.0559936019	0.0993095479	0.1093357994	-0.127390992	0.0090546506	0.0117133576	-0.0634816012	0.0119865506	0.0521015829	-0.0414296153	-0.0407250909	0.0461146075	0.0787983048	0.0058535693	0.0654440855	-0.1163077957	-0.1793603685	0.0951677573	-0.0396089515	0.0765389069	0.0053719019	0.0615701566	-0.1216705141	0.027730543	-0.0719281496	-0.1083115189	0.0577997742	0.0117155231	-0.0095869082	0.1016214477	0.0040439357	-0.2198218084	0.0418977045	0.01375039	-0.0279700322	0.1165731667	-0.0002601439	0.0442961368	0.0040909961	0.0086769843	0.0427713926	-0.0778714595	-0.1109512067	-0.0123646404	0.0179306638	0.1390808271	0.0247690934	-0.1498340359	-0.0477833579	-0.04519091	0.0268293743	-0.0314221661	-0.1123900563	-0.0252250694	0.0243032176	0.0383350509	0.0291840208	0.0585345267	-0.0006520341	-0.0731107313	0.1149575937	0.1134247617	0.1108851636	-0.0215061	7.999999999987184e-07	6.399999999979494e-13	0.00046251233721	-0.0117132	0.0085469	0.00013719905424	7.304949960999999e-05	-0.00376421	-0.01663561	0.000276743520072	1.41692769241e-05	0.0008539189999999	0.0	7.291776585608292e-07	0.0	0.00109099	0.0002932200000001	1.1902591801e-06	8.597796840005867e-08	-0.000281783	0.0001257459999999	7.940165908900002e-08	1.5812056515999995e-08	0.0
3056.5762903831696	-7.598642605757504	57.7393694500332	9342658.618932538	3872.695134989917	11.948932494222843	142.77698775149457	14997767.60857457	3289.178237652317	-2.1701300248791995	4.709464324882195	10818693.479045602	3317.2085982123326	2988.4459356928824	1.024236	16.040285	0.0489291355	0.0321138	-0.0901746757	-0.0203348343	0.0540979625	0.0594909406	0.1111061938	0.0487918962	0.0368167955	0.0269361337	0.0340450141	-0.0335559772	-0.0428156668	0.1009501728	-0.078720404	-0.0310360967	0.1315003849	-0.1260483906	0.0589654742	0.0171925847	0.0331826066	-0.0554071105	0.000542153	0.0136724044	0.0930219998	-0.0376886705	0.0117633388	-0.050088977	0.0557032509	0.0369899572	0.0499983563	0.0763261479	0.0195106379	0.1203851013	0.1280053717	0.100934918	-0.0117226591	-0.063890031	0.0603577436	-0.0324246483	-0.0690665602	-0.0815425777	-0.0065317771	0.0486869088	-0.0251973267	-0.0232907889	0.0392481629	-0.0931675929	0.0243389299	0.0138538603	0.0760936624	0.1177312145	0.0713747794	-0.0728034161	-0.035798517	0.0832595523	0.030473089	-0.0160133286	0.0228319155	-0.0749675137	-0.0794618879	0.074048078	-0.0018489768	-0.078013431	0.0071617939	0.0068005229	0.0233427792	0.0088167168	-0.0688735901	-0.0816059144	0.0001395812	0.0218950258	0.024408867	0.2192672711	0.0216529045	-0.0363993415	0.0425361071	0.1467407362	-0.0559776391	-0.0195408022	-0.0438633101	0.0206270404	-0.0414064905	-0.0158917011	0.0313487718	0.0052733443	0.0848229055	-0.0290471663	0.0243863371	-0.1110881865	-0.0591986914	-0.0577560413	0.0380923794	0.146508328	-0.0653367919	0.0092513013	0.0211393226	0.0262382851	-0.0494607945	-0.0604069179	0.0348160019	-0.0024407696	-0.0129466718	-0.0041038152	0.0265006864	0.1340493045	0.0444430217	0.1147048067	0.1124192083	0.108643553	-0.0214872	1.889999999999878e-05	3.5720999999995383e-10	0.00046169976384	-0.0136045	-0.0018913	0.00018508242025	3.577015690000001e-06	-7.83245e-05	0.0036858855	1.3585751919110253e-05	6.1347273002499996e-09	0.000714814	-0.0001391049999998	5.109590545960001e-07	1.935020102497217e-08	0.00048918	-0.00060181	2.392970724e-07	3.621752761000001e-07	-0.000407529	-0.0001257459999999	1.66079885841e-07	1.5812056515999995e-08	0.0
3052.641142422299	-3.935147960870836	15.4853894739459	9318617.944409318	3841.475273892283	-31.21986109763384	974.6797269555508	14756932.27992579	3287.091481411534	-2.086756240782961	4.354551608446635	10804970.407168273	3319.38398067869	2966.024798521629	1.046217	16.384525	0.0405612745	0.0263246	0.11315376	0.0561153917	-0.034392209	0.0488391264	-0.1048886042	0.0216675927	-0.049970216	0.0504282113	0.0482346702	-0.0327069188	-0.0050774344	-0.0828967789	0.0430449456	-0.0735482642	0.0326338483	-0.1165818515	0.1722276093	0.0466731576	0.1136071891	0.0703503274	-0.0862447549	0.0344513007	0.0003251649	-0.0097361611	0.1150282724	-0.0752761221	-0.0049484286	-0.0038345391	-0.0155665591	-0.1258138607	-0.0052573735	0.0206849925	-0.0826447824	0.062286988	-0.0973099842	0.0129018822	0.0799660532	-0.1054490418	-0.1335213312	-0.0258115441	-0.1024044665	0.0968246704	-0.0096953438	-0.0336526848	-0.0499843607	0.0766254358	0.0475438481	-0.0597560766	-0.1293011396	-0.0405673711	0.0470038946	-0.0065430486	-0.0527092932	0.0082922944	0.0161258119	-0.1578204753	0.1127930969	0.0087523865	-0.0669772554	0.1119250269	-0.0375926605	-0.1254978464	-0.018456878	-0.0262026346	0.0590284285	-0.0530438499	0.0487928141	0.0085682092	-0.0811403581	-0.1233884389	-0.0555880605	-0.0671758181	-0.0584813779	-0.0762501609	-0.0676057566	0.1110209647	-0.0881299221	-0.1250416922	0.1089045178	-0.029049597	0.0149839167	-0.0114100662	0.0330191752	-0.0391668075	-0.0199299863	0.0536649063	-0.1051894818	-0.0592400148	0.0466569084	0.0567700779	0.0281468457	0.0600031238	-0.036706493	-0.1414227175	-0.0443777677	0.0132129181	0.024937385	-0.0731001901	0.0315307619	0.0178407962	-0.0355024932	0.0421074071	0.0178506027	-0.0014868951	-0.0361091343	0.1144017065	0.1112164334	0.105973176	-0.0121823	0.0093049	8.658116401000003e-05	0.00014840843329	-0.0131334	0.0004711	0.0001724861955599	2.2193521000000035e-07	0.0214672	0.0215455245	0.0004642096259801	0.0004608406758399	0.000530019	-0.000184795	2.80920140361e-07	3.414919202500003e-08	0.00048918	0.0	2.392970724e-07	0.0	-0.000407529	0.0	1.66079885841e-07	0.0	0.0
3052.9274952582423	0.2863528359434895	0.081997946652879	9320366.291303763	3870.2665218308566	28.791247938573637	828.9359578604204	14978962.950004715	3284.12574040013	-2.965741011404134	8.795619746724416	10785481.8787587	3312.394107690556	2972.826904576049	1.084455	16.983351	0.05910012	0.030424	-0.1230753335	-0.0453562488	0.0082278918	0.0373850682	0.1365014439	0.0489667824	0.0651077182	0.030569894	0.0737475802	0.0154321421	0.0265270469	0.0518350961	-0.0842403269	0.136721499	0.0413142709	-0.0741256055	-0.0399309456	-0.0519965285	-0.0700127464	0.0612766667	-0.0120564248	0.0250485964	-0.1004668116	-0.1417008374	0.0730814276	-0.2294511541	0.028052086	0.0790666397	0.0315049669	0.0259588576	0.007536064	-0.1272415339	0.0503799243	0.0026996632	-0.0404722182	0.0284759926	0.1561053347	0.0700261186	-0.0420084402	-0.07718482	0.1079701379	0.0222874208	-0.0380738747	-0.0112482536	0.0447497232	0.0182660739	0.0629267648	0.0202495406	0.1357369057	0.0772047663	0.006671711	-0.0554350022	-0.0093191603	-0.0768596687	-0.0434844161	-0.065498302	0.0132806945	-0.0120738798	0.0446624335	0.0672305921	0.0126081541	-0.1243469676	0.0121168928	0.175521656	0.0088518294	-0.0632452999	-0.1274794978	-0.0999822054	-0.1338924519	-0.0008184655	-0.0488545439	-0.0171481095	-0.0020102068	0.0183777628	0.0495183291	-0.0568555388	-0.097477833	0.1063390404	0.0052208272	0.0760200157	-0.0019894224	-0.0043732952	0.0557213404	-0.0540722669	0.0677173847	-0.1200036102	0.0446376006	-0.098263163	-0.0451850597	0.0566641853	0.0182261222	0.0230703346	-0.0492676057	-0.0303013163	-0.0412095527	0.0151090944	-0.0875484022	-0.0832897438	-0.1004011649	-0.113299033	-0.0619138199	-0.0045820911	-0.1321903132	-0.0577977428	-0.0618474781	0.1140484259	0.1098185471	0.1028845713	-0.0069916	0.0051907	2.694336649e-05	4.888247055999999e-05	-0.00482763	0.00830577	2.33060114169e-05	6.898581529290001e-05	0.0214788	1.16000000000005e-05	1.3456000000001158e-10	0.00046133884944	0.00091394	0.000383921	8.352863236e-07	1.4739533424100006e-07	0.0008840989999999	0.0003949189999999	7.816310418008232e-07	1.5596101656092105e-07	-0.000274528	0.000133001	7.5365622784e-08	1.7689266000999998e-08	0.0
3045.9523993413086	-6.975095916933697	48.65196305042512	9277826.019053075	3834.0932021483777	-36.173319682478905	1308.5090568508158	14700270.6827604	3284.5916459677296	0.4659055675997479	0.2170679979204432	10788542.280761	3314.5157059679773	2941.637780181364	1.114378	17.451981	0.041618515	0.0244037	0.1174814498	-0.0191994791	-0.0740258049	0.0189415245	-0.0565846754	-0.0431762432	-0.0219095835	0.1078121266	0.0641821764	0.112666691	-0.0080333024	-0.0121249981	-0.0178604259	-0.1508906394	-0.0777602856	0.0238176342	0.0005812873	0.0580153981	-0.0777230899	-0.0123823828	0.0131835145	0.0780149222	-0.0159022091	0.0689098304	0.0162283972	0.0030880774	-0.0363699366	0.0779547887	0.1544024582	0.0255702774	0.0384421707	-0.108057222	-0.1685552637	0.0195674751	-0.1558251564	0.0632772774	-0.1388213956	-0.0644182553	0.116071977	-0.0074468914	0.0984521677	-0.0471150801	-0.040495802	0.1462096367	-0.1270708339	0.0903555504	0.1091905392	0.0548930806	-0.0954825228	-0.0351558464	-0.0316933893	-0.0071568143	-0.1382566926	0.008931591	0.0504897367	0.0676619136	-0.0144709054	0.0602846009	0.0353789393	0.0822102944	-0.0529721381	0.0634594712	0.0772368373	-0.0258231791	-0.0742578261	0.0420742343	0.0010276424	0.0170355781	0.0609673378	0.0406875435	-0.0899027252	-0.1710303091	-0.0302475723	-0.1669936039	-0.1346514559	-0.0377169942	0.0340086011	0.0865923814	-0.0479652608	0.0650630322	0.0957844161	-0.0127469832	0.0557340473	-0.0312194724	-0.0846494758	0.0642669158	-0.1160380044	-0.0612544308	-0.0094941387	0.0551882888	-0.0614642696	-0.0256271793	-0.0272132408	0.0658190568	0.0089853178	0.0969150506	-0.0228932079	-0.0687265444	0.050438107	-0.0119985585	-0.0741888298	0.1007192125	-0.0008313774	0.0105612725	-0.0813841056	0.1136451198	0.1082280018	0.0993899282	-0.00335562	0.0036359799999999	1.3220350560399998e-05	1.12601855844e-05	-0.00485532	-2.768999999999949e-05	2.35741323024e-05	7.667360999999714e-10	0.0214659	-1.2899999999999716e-05	1.6640999999999268e-10	0.00046078486281	0.000751193	-0.0001627469999999	5.642909232490001e-07	2.6486586008999998e-08	0.00048918	-0.0003949189999999	2.392970724e-07	1.5596101656092105e-07	-7.33551e-05	0.0002011729	5.38097069601e-09	4.047053569441e-08	0.0
3052.464152290569	6.511752949260426	42.40292647220186	9317537.401018985	3854.362610051036	20.26940790265826	410.8488967243451	14856111.129759436	3287.8947866729	3.3031407051703354	10.91073851815318	10810252.128230834	3313.2401536982634	2957.1304096778235	1.144947	17.93071	0.0759528149999999	0.0363253	-0.1466804548	-0.0157028873	-0.1059967604	-0.0298565039	0.0162316003	0.0841621199	0.1436583454	-0.0619174101	-0.0392325984	0.1706135729	-0.0232773296	0.0599389993	-0.0768561552	0.0083916991	0.1228485657	0.0238612848	-0.0867853109	-0.0812695185	-0.1450263989	0.0428512758	-0.0087309794	-0.0133672218	-0.1703822956	0.0008431461	-0.1859414312	0.0395374079	-0.1226593915	-0.1117646246	-0.0848389673	-0.0100398686	0.042747422	0.121935863	0.0827891461	0.0927374625	-0.0140164543	0.0467542141	-0.0854179213	0.0091629464	-0.2070414797	-0.0183378768	-0.0955294567	0.0584939579	-0.0222976616	0.0138833087	0.1279782906	-0.1013967427	0.1093413453	0.0840701315	0.0823684766	0.0267796831	0.0643226231	-0.0869918929	0.0718216629	0.0294852767	-0.0247479849	0.0392664255	-0.1565021132	0.1656953067	0.0131971457	0.0662726494	0.1083354664	0.0841538778	-0.0709100302	-0.0839816129	0.2172538185	0.0108755403	-0.0701931413	-0.1047823185	-0.0115068889	-0.0779736791	0.1807004995	-0.0037873511	-0.0806988702	-0.0357464399	-0.0736537506	0.0788288515	-0.0371152848	-0.0327843748	-0.1052558908	-0.0231172356	-0.0097664016	-0.0440053385	0.0235336784	-0.0825975372	0.0534473691	-0.0571190975	0.0967127147	0.0169479145	0.0562311875	-0.0462492999	-0.0988733905	-0.1051754738	-0.0775032668	0.0126807947	0.0158643203	-0.0747039039	0.015777881	-0.0212865118	-0.081633149	0.0454801809	-0.0426911254	0.0545565591	-0.0002833414	0.1483586846	-0.132267105	0.1131919653	0.1064475877	0.0955030384	-0.00610656	-0.0027509399999999	7.567670883599997e-06	3.72900750336e-05	-0.0235975	-0.01874218	0.00055684200625	0.0003512693111524	0.0407568	0.0192909	0.00037213882281	0.00166111674624	0.000418589	-0.000332604	1.75216750921e-07	1.1062542081600003e-07	0.00073918	0.00025	5.463870724e-07	6.25e-08	-0.000194127	-0.0001207719	3.7685292129e-08	1.458585182961e-08	0.0
